"","X.59.0000","X4814.0000","X2545.0000","X.57.7014","X4814.4934","X2546.4644"
"1",-61,4969,1118,-60.752,4967.0451,1125.7559
"2",-66,4907,423,-62.2877,4912.4627,426.0798
"3",-61,4466,1522,-52.8442,4462.6964,1524.0323
"4",-56,4089,2539,-50.6367,4090.2784,2540.94
"5",-59,4212,1830,-51.2981,4210.1975,1837.2748
"6",-54,4210,1123,-51.6169,4215.2352,1126.9652
"7",-56,4217,450,-51.726,4220.6399,451.1494
"8",-57,4224,5,-55.2904,4230.4525,6.8398
"9",-44,3231,2907,-38.0012,3238.235,2908.0803
"10",-47,3258,2537,-38.9633,3261.5599,2533.1685
"11",-54,3435,1841,-40.5311,3433.2135,1841.6642
"12",-47,3441,1115,-40.6349,3441.9592,1117.1318
"13",-53,3448,429,-43.1073,3453.0246,427.87
"14",-48,3420,13,-46.935,3423.745,13.1182
"15",-38,2551,2875,-32.4678,2560.0344,2867.3896
"16",-34,2564,2507,-33.0017,2570.4439,2507.9608
"17",-29,1714,2945,-22.9376,1721.5916,2942.0193
"18",-31,1758,2351,-24.8319,1762.7711,2350.9264
"19",-25,898,2945,-15.9084,898.5714,2939.552
"20",-21,853,2518,-11.8283,859.0942,2513.359
"21",-19,879,1904,-12.345,882.394,1903.7725
"22",-20,878,1152,-9.6189,882.5824,1154.627
"23",-12,872,511,-7.7676,872.852,510.5663
"24",-13,840,5,-9.1807,842.2699,3.8717
"25",-18,466,1594,-8.4377,467.5227,1592.7595
"26",-14,18,2476,-5.4414,23.1374,2471.707
"27",-12,38,1881,-0.6662,38.1888,1877.1929
"28",-9,25,1198,-1.7417,27.0479,1195.8281
"29",-10,18,581,3.6354,24.9313,579.2187
"30",-38,2537,822,-29.2612,2547.182,817.9666
"31",-48,3010,826,-34.622,3013.4343,830.659
"32",-41,3263,838,-37.5486,3271.6518,839.7656
"33",-49,3565,869,-41.5917,3570.218,873.1296
"34",-53,3566,1102,-41.8605,3565.838,1102.6573
"35",-46,3565,1212,-42.338,3567.9558,1211.1493
"36",-45,3565,1407,-42.022,3569.943,1409.197
"37",-52,3692,1493,-44.1119,3696.6411,1493.4963
"38",-51,3566,1563,-42.9212,3572.9861,1563.1622
"39",-47,3565,1719,-43.1083,3572.0232,1718.2487
"40",-47,3565,1842,-43.3535,3573.0079,1841.9534
"41",-41,3133,1848,-36.2321,3137.3274,1849.9244
"42",-49,2972,1963,-36.6843,2969.7574,1961.9988
"43",-45,2803,1845,-32.4168,2806.0122,1848.2133
"44",-40,2500,1835,-30.7422,2501.6851,1834.4096
"45",-41,2500,1618,-30.3736,2501.0682,1614.9382
"46",-39,2403,1470,-29.6066,2409.3405,1476.3541
"47",-40,2493,1350,-30.3596,2499.3487,1350.4399
"48",-36,2672,1025,-30.9294,2679.0845,1025.7035
"49",-41,3035,1025,-33.2289,3040.9218,1025.4607
"50",393,1859,1783,406.9527,1860.0459,1779.1006
"51",408,1409,1093,415.4511,1410.8754,1094.5426
"52",386,2199,1136,401.845,2208.0834,1138.1753
