"","time","rocky"
"1",1,64
"2",2,63
"3",3,57
"4",4,63
"5",5,57
"6",6,58
"7",7,65
"8",8,74
"9",9,61
"10",10,50
"11",11,60
"12",12,58
"13",13,64
"14",14,59
"15",15,55
"16",16,64
"17",17,54
"18",18,53
"19",19,60
"20",20,57
"21",21,63
"22",22,63
"23",23,60
"24",24,62
"25",25,61
"26",26,56
"27",27,63
"28",28,65
"29",29,60
"30",30,62
"31",31,64
"32",32,58
"33",33,63
"34",34,53
"35",35,63
"36",36,53
"37",37,60
"38",38,61
"39",39,58
"40",40,57
"41",41,55
"42",42,54
"43",43,58
"44",44,58
"45",45,58
"46",46,59
"47",47,55
"48",48,55
"49",49,62
"50",50,54
"51",51,55
"52",52,65
"53",53,67
"54",54,66
"55",55,59
"56",56,55
"57",57,50
"58",58,54
"59",59,57
"60",60,58
"61",61,61
"62",62,62
"63",63,66
"64",64,63
"65",65,63
"66",66,58
"67",67,59
"68",68,60
"69",69,63
"70",70,64
"71",71,60
"72",72,62
"73",73,58
"74",74,60
"75",75,60
"76",76,64
"77",77,58
"78",78,59
"79",79,58
"80",80,60
"81",81,62
"82",82,56
"83",83,52
"84",84,63
"85",85,57
"86",86,59
"87",87,57
"88",88,63
"89",89,59
"90",90,63
"91",91,60
"92",92,54
"93",93,55
"94",94,55
"95",95,53
"96",96,62
"97",97,62
"98",98,62
"99",99,50
"100",100,58
