"","Abbreviation","Measurement","ConventionalUnit","Conversion","SIUnit"
"1","","Acetaminophen","g/mL",6.62,"mol/L"
"2","","Acetoacetic acid","mg/dL",0.098,"mmol/L"
"3","","Acetone","mg/dL",0.172,"mmol/L"
"4","","Alanine","mg/dL",112.2,"mol/L"
"5","ALB","Albumin","g/dL",10,"g/L"
"6","","Aldosterone","ng/dL",0.0277,"nmol/L"
"7","","Aluminum","ng/mL",0.0371,"mol/L"
"8","","Aminobutyric acid","mg/dL",97,"mol/L"
"9","","Amitriptyline","ng/mL",3.61,"nmol/L"
"10","","Ammonia (as NH3)","g/dL",0.587,"mol/L"
"11","","Androstenedione","ng/dL",0.0349,"nmol/L"
"12","","Angiotensin I","pg/mL",0.772,"pmol/L"
"13","","Angiotensin II","pg/mL",0.957,"pmol/L"
"14","","Anion gap","mEq/L",1,"mmol/L"
"15","","Antidiuretic hormone","pg/mL",0.923,"pmol/L"
"16","","Antithrombin III","mg/dL",10,"mg/L"
"17","","alpha1-Antitrypsin","mg/dL",0.184,"mol/L"
"18","","Apolipoprotein A","mg/dL",0.01,"g/L"
"19","","Apolipoprotein B","mg/dL",0.01,"g/L"
"20","","Arginine","mg/dL",57.4,"mol/L"
"21","","Asparagine","mg/dL",75.7,"mol/L"
"22","","Bicarbonate","mEq/L",1,"mmol/L"
"23","","Bilirubin","mg/dL",17.1,"mol/L"
"24","","Bromide","mg/dL",0.125,"mmol/L"
"25","CPEP","C-peptide","ng/mL",0.333,"nmol/L"
"26","","C1 esterase inhibitor","mg/dL",10,"mg/L"
"27","","C3 complement","mg/mL",0.01,"g/L"
"28","","C4 complement","mg/mL",0.01,"g/L"
"29","","Calcitonin","pg/mL",1,"ng/L"
"30","CA","Calcium","mg/dL",0.25,"mmol/L"
"31","CA","Calcium","mEq/L",0.5,"mmol/L"
"32","","Carbon dioxide","mEq/L",1,"mmoI/L"
"33","","Carotene","g/dL",0.0186,"mol/L"
"34","","Ceruloplasmin","mg/dL",10,"mg/L"
"35","","Chloride","mEq/L",1,"mmol/L"
"36","CHOL","Cholesterol","mg/dL",0.0259,"mmol/L"
"37","","Citrate","mg/dL",52.05,"mol/L"
"38","CU","Copper","g/dL",0.157,"moI/L"
"39","","Coproporphyrins (urine)","g/24 hr",1.527,"nmol/d"
"40","","Corticotropin (ACTH)","pg/mL",0.22,"pmol/L"
"41","","Cortisol","g/dL",27.59,"nmol/L"
"42","","Cotinine","ng/mL",5.68,"nmol/L"
"43","","Creatine","mg/dL",76.26,"mol/L"
"44","CRE","Creatinine","mg/dL",88.4,"mol/L"
"45","","Creatinine clearance","mL/min",0.0167,"mL/s"
"46","","Cyanide","mg/L",23.24,"mol/L"
"47","DHEA","Dehydroepiandrosterone (DHEA)","ng/mL",3.47,"nmol/L"
"48","","Desipramine","ng/mL",3.75,"nmol/L"
"49","","Diazepam","g/mL",3.512,"mol/L"
"50","","Digoxin","ng/mL",1.281,"nmol/L"
"51","","Epinephrine","pg/mL",5.46,"pmol/L"
"52","","Estradiol","pg/mL",3.671,"pmol/L"
"53","","Estriol","ng/mL",3.467,"nmol/L"
"54","","Estrone","ng/dL",37,"pmoI/L"
"55","","Ethanol (ethyl alcohol)","mg/dL",0.217,"mmol/L"
"56","","Ethylene glycol","mg/L",16.11,"mol/L"
"57","","Ferritin","ng/mL",2.247,"pmol/L"
"58","","alpha -Fetoprotein","ng/mL",1,"g/L"
"59","","Fibrinogen","mg/dL",0.0294,"mol/L"
"60","","Fluoride","g/mL",52.6,"mol/L"
"61","","Folate","ng/mL",2.266,"nmol/L"
"62","","Follicle-stimulating hormone","mIU/mL",1,"IU/L"
"63","","Fructose","mg/dL",55.5,"mol/L"
"64","","Galactose","mg/dL",55.506,"mol/L"
"65","","Glucagon","pg/mL",1,"ng/L"
"66","","Glucose","mg/dL",0.0555,"mmol/L"
"67","","Glutamine","mg/dL",68.42,"mol/L"
"68","HBA1C","Glycated hemoglobin (glycosylated hemoglobin A1, A1C)","% of total hemoglobin",0.01,"Proportion of total hemoglobin"
"69","","Glycerol (free)","mg/dL",108.59,"mol/L"
"70","","Glycine","mg/dL",133.3,"mol/L"
"71","","Haptoglobin","mg/dL",0.1,"mol/L"
"72","","Hematocrit","%",0.01,"Proportion of 1.0"
"73","HGB","Hemoglobin (whole blood) Mass concentration","g/dL",10,"g/L"
"74","HDL","High-density lipoprotein cholesterol (HDL-C)","mg/dL",0.0259,"mmol/L"
"75","","Histidine","mg/dL",64.45,"mol/L"
"76","","Homocysteine (total)","mg/L",7.397,"mol/L"
"77","","Human chorionic gonadotropin (HCG)","mlU/mL",1,"IU/L"
"78","","Hydroxybutyric acid","mg/dL",96.05,"mol/L"
"79","","Hydroxyproline","mg/dL",76.3,"mol/L"
"80","IGA","Immunoglobulin A (IgA)","mg/dL",0.01,"g/L"
"81","IGD","Immunoglobulin D (IgD)","mg/dL",10,"mg/L"
"82","IGE","Immunoglobulin E (IgE)","mg/dL",10,"mg/L"
"83","IGG","Immunoglobulin G (IgG)","mg/dL",0.01,"g/L"
"84","IGM","Immunoglobulin M (IgM)","mg/dL",0.01,"g/L"
"85","","Insulin","IU/mL",6.945,"pmol/L"
"86","","Iron, total","g/dL",0.179,"mol/L"
"87","","Iron binding capacity, total","g/dL",0.179,"mol/L"
"88","","lsoleucine","mg/dL",76.24,"mol/L"
"89","","lsopropanol","mg/L",0.0166,"mmol/L"
"90","","Lactate (lactic acid)","mg/dL",0.111,"mmol/L"
"91","","Lactate dehydrogenase isoenzymes (LD1-LD5)","%",0.01,"Proportion of 1.0"
"92","","Lead","g/dL",0.0483,"mol/L"
"93","","Leucine","mg/dL",76.237,"mol/L"
"94","","Lipids (total)","mg/dL",0.01,"g/L"
"95","","Lipoprotein (a)","mg/dL",0.0357,"mol/L"
"96","","Lithium","mEq/L",1,"mmol/L"
"97","LDL","Low-density lipoprotein cholesterol (LDL-C)","mg/dL",0.0259,"mmol/L"
"98","","Lysine","mg/dL",68.5,"mol/L"
"99","","Magnesium","mg/dL",0.411,"mmol/L"
"100","","Magnesium","mEq/L",0.5,"mmol/L"
"101","","Manganese","ng/mL",18.2,"nmol/L"
"102","","Methanol","mg/L",0.0312,"mmol/L"
"103","","Methionine","mg/dL",67.02,"mol/L"
"104","","Myoglobin","g/L",0.0571,"nmol/L"
"105","","Nicotine","mg/L",6.164,"mol/L"
"106","","Nitrogen, nonprotein","mg/dL",0.714,"mmol/L"
"107","","Norepinephrine","pg/mL",0.00591,"nmol/L"
"108","","Ornithine","mg/dL",75.67,"mol/L"
"109","","Osteocalcin","g/L",0.171,"nmol/L"
"110","","Oxalate","mg/L",11.1,"mol/L"
"111","","Parathyroid hormone","pg/mL",1,"ng/L"
"112","","Phenobarbital","mg/L",4.31,"mol/L"
"113","","Phenylalanine","mg/dL",60.54,"mol/L"
"114","","Phenytoin","g/mL",3.96,"moI/L"
"115","","Phosphorus","mg/dL",0.323,"mmol/L"
"116","","Plasminogen","mg/dL",0.113,"mol/L"
"117","","Plasminogen activator inhibitor","mIU/mL",1,"IU/L"
"118","","Platelets (thrombocytes)","x 103/L",1,"x 109/L"
"119","","Potassium","mEq/L",1,"mmoI/L"
"120","","Pregnanetriol (urine)","mg/24 h",2.97,"mol/d"
"121","","Progesterone","ng/mL",3.18,"nmol/L"
"122","","Prolactin","g/L",43.478,"pmol"
"123","","Proline","mg/dL",86.86,"mol/L"
"124","","Prostate-specific antigen","ng/mL",1,"g/L"
"125","","Protein, total","g/dL",10,"g/L"
"126","","Prothrombin","g/L",13.889,"mol/L"
"127","","Protoporphyrin, erythrocyte","g/dL",0.01777,"mol/L"
"128","","Pyruvate","mg/dL",113.6,"moI/L"
"129","","Quinidine","g/mL",3.08,"mol/L"
"130","","Red blood cell count","x 106/L",1,"x 1012/L"
"131","","Renin","pg/mL",0.0237,"pmol/L"
"132","","Salicylate","mg/L",0.00724,"mmol/L"
"133","","Serine","mg/dL",95.2,"mol/L"
"134","","Serotonin (5-hydroxytryptamine)","ng/mL",0.00568,"mol/L"
"135","","Sodium","mEq/L",1,"mmol/L"
"136","","Somatomedin-C (insulinlike growth factor)","ng/mL",0.131,"nmol/L (coagulation factor II)"
"137","","Somatostatin","pg/mL",0.611,"pmol/L"
"138","","Testosterone","ng/dL",0.0347,"nmol/L"
"139","","Theophylline","g/mL",5.55,"mol/L"
"140","","Thiocyanate","mg/L",17.2,"mol/L"
"141","","Threonine","mg/dL",83.95,"mol/L"
"142","","Thyroglobulin","ng/mL",1,"g/L"
"143","","Thyroxine, free (T4)","ng/dL",12.87,"pmol/L"
"144","T4","Thyroxine, total (T4)","g/dL",12.87,"nmol/L"
"145","","Transferrin","mg/dL",0.01,"g/L"
"146","","Triglycerides","mg/dL",0.0113,"mmol/L"
"147","","Triiodothyronine Free (T3)","pg/dL",0.0154,"pmol/L"
"148","T3","Triiodothyronine Total (T3)","ng/dL",0.0154,"nmol/L"
"149","","Troponin I (cardiac)","ng/mL",1,"g/L"
"150","","Troponin T (cardiac)","ng/mL",1,"g/L"
"151","","Tryptophan","mg/dL",48.97,"mol/L"
"152","","Tyrosine","mg/dL",55.19,"mol/L"
"153","","Urea nitrogen","mg/dL",0.357,"mmol/L"
"154","","Uric acid","mg/dL",59.48,"mol/L"
"155","","Valine","mg/dL",85.5,"mol/L"
"156","","Vasoactive intestinal polypeptide","pg/mL",1,"ng/L"
"157","","Vitamin A (retinol)","g/dL",0.0349,"moI/L"
"158","","Vitamin B6 (pyridoxine)","ng/mL",4.046,"nmol/L"
"159","","Vitamin B12 (cyanocobalamin)","pg/mL",0.738,"pmol/L"
"160","","Vitamin C (ascorbic acid)","mg/dL",56.78,"mol/L"
"161","","Vitamin D 1,25-Dihydroxyvitamin D","pg/mL",2.6,"pmol/L"
"162","","Vitamin D 25-Hydroxyvitamin D","ng/mL",2.496,"nmol/L"
"163","","Vitamin E","mg/dL",23.22,"moI/L"
"164","","Vitamin K","ng/mL",2.22,"nmol/L"
"165","","Warfarin","g/mL",3.247,"mol/L"
"166","","White blood cell count","x 103/L",1,"x 109/L"
"167","","Zinc","g/dL",0.153,"moI/L"
