"","V1"
"1",-7.62
"2",-7.23
"3",-7.9
"4",-7.61
"5",-8.59
"6",-9.74
"7",-8.63
"8",-8.44
"9",-9.45
"10",-9.51
"11",-9.89
"12",-10.54
"13",-9.16
"14",-8.5
"15",-7.86
"16",-9.39
"17",-8.79
"18",-8.2
"19",-7.83
"20",-8.03
"21",-9.54
"22",-8.5
"23",-6.3
"24",-5.34
"25",-5.86
"26",-6.85
"27",-6.8
"28",-7.66
"29",-7.97
"30",-8.38
"31",-9.18
"32",-9.56
"33",-8.6
"34",-8.22
"35",-9.38
"36",-9.4
"37",-10.07
"38",-10.02
"39",-8.43
"40",-8.18
"41",-8.29
"42",-7.79
"43",-8.63
"44",-7.43
"45",-7.33
"46",-7.1
"47",-7.07
"48",-8.42
"49",-8.13
"50",-6.47
"51",-5.29
"52",-5.81
"53",-5.45
"54",-6.17
"55",-6.5
"56",-5.96
"57",-6.11
"58",-6.11
"59",-4.64
"60",-6.05
"61",-5.29
"62",-5.87
"63",-5.39
"64",-4.54
"65",-4.94
"66",-4.87
"67",-4.32
"68",-5.91
"69",-4.62
"70",-3.88
"71",-4.7
"72",-4.64
"73",-3.07
"74",-2.4
"75",-2.8
"76",-2.55
"77",-2.6
"78",-1.98
"79",-1.55
"80",-1.98
"81",-1.55
"82",-1.35
"83",-0.47
"84",-0.1
"85",0.74
"86",0.66
"87",0.81
"88",1.32
"89",1.37
"90",0.6
"91",0.43
"92",0.58
"93",0.63
"94",0.88
"95",1.64
"96",1.78
"97",1.88
"98",1.18
"99",1.24
"100",1.95
"101",1.71
"102",1.47
"103",1.99
"104",2.08
"105",3.3
"106",3.95
"107",4.71
"108",4.45
"109",3.97
"110",4.35
"111",5.37
"112",4.96
"113",4.62
"114",4.27
"115",4.48
"116",5.14
"117",6.14
"118",5.33
"119",5.5
"120",6.8
"121",7.02
"122",6.87
"123",7.12
"124",7.47
"125",7.56
"126",7.84
"127",7.49
"128",7.51
"129",8.33
"130",8.64
"131",8.65
"132",9.56
"133",9.44
"134",9.4
"135",9.92
"136",10.47
"137",10.58
"138",9.97
"139",10.91
"140",11.4
"141",11.8
"142",11.69
"143",10.88
"144",10.89
"145",10.64
"146",10.82
"147",11.54
"148",12.3
"149",13.78
"150",13.1
"151",13.83
"152",12.69
"153",12.91
"154",13.21
"155",12.68
"156",12.84
"157",12.78
"158",13.24
"159",13.87
"160",13.7
"161",13.33
"162",13.95
"163",14.12
"164",14.56
"165",14.63
"166",15
"167",15.76
"168",15.79
"169",16.46
"170",16.8
"171",16.42
"172",16.22
"173",16.68
"174",16.79
"175",17.01
"176",16.31
"177",16.1
"178",16.73
"179",17.49
"180",17.6
"181",17.78
"182",16.68
"183",17.02
"184",16.88
"185",17.21
"186",16.7
"187",16.84
"188",17.59
"189",18.14
"190",18.21
"191",18.58
"192",18.09
"193",17.88
"194",18.38
"195",18.21
"196",18.46
"197",19.35
"198",19.52
"199",19.42
"200",19.49
"201",19.33
"202",18.93
"203",18.37
"204",18.48
"205",18.97
"206",19.75
"207",19.41
"208",19.07
"209",18.99
"210",19.3
"211",19.43
"212",19.17
"213",18.65
"214",18.61
"215",18.62
"216",18.9
"217",18.57
"218",18.4
"219",18.63
"220",18.91
"221",18.99
"222",18.73
"223",18.67
"224",17.97
"225",18.05
"226",18.08
"227",17.71
"228",17.87
"229",18.4
"230",17.98
"231",17.03
"232",17.01
"233",16.68
"234",16.7
"235",16.44
"236",16.01
"237",16.37
"238",17.13
"239",17.37
"240",17.37
"241",17.1
"242",16.57
"243",16.45
"244",15.28
"245",15.23
"246",14.61
"247",14.02
"248",14.96
"249",14.73
"250",14.25
"251",14.55
"252",14.61
"253",14.7
"254",13.77
"255",13.6
"256",12.83
"257",12.95
"258",13.33
"259",12.49
"260",12.76
"261",12.51
"262",12.13
"263",11.99
"264",13.14
"265",12.44
"266",12.04
"267",11.34
"268",11.42
"269",11.84
"270",11.82
"271",11.57
"272",10.9
"273",11.15
"274",9.71
"275",10.82
"276",10.59
"277",8.63
"278",8.09
"279",8.98
"280",9.19
"281",8.73
"282",8.43
"283",8.29
"284",7.42
"285",8.03
"286",7.83
"287",7.75
"288",8.01
"289",7.71
"290",7
"291",7.12
"292",7.12
"293",6.05
"294",6.87
"295",6.61
"296",6.91
"297",7.15
"298",7.01
"299",6.6
"300",5.79
"301",5.76
"302",6.22
"303",4.71
"304",4.85
"305",4.77
"306",5.22
"307",4.92
"308",5.56
"309",4.55
"310",4.06
"311",3.78
"312",2.94
"313",3.29
"314",2.72
"315",3.01
"316",2.25
"317",1.89
"318",1.7
"319",1.58
"320",0.88
"321",1.41
"322",1.25
"323",-0.28
"324",0.51
"325",0.93
"326",0.94
"327",0.11
"328",0.45
"329",-0.38
"330",0.05
"331",0.14
"332",0.06
"333",-0.03
"334",-1.04
"335",-1.99
"336",-2.02
"337",-2.4
"338",-2.42
"339",-3.62
"340",-1.94
"341",-2.21
"342",-4.63
"343",-4.41
"344",-3.98
"345",-4.92
"346",-5.62
"347",-5.06
"348",-5.57
"349",-5.3
"350",-4.25
"351",-4.21
"352",-5.62
"353",-7.78
"354",-7.93
"355",-6.47
"356",-5.46
"357",-5.64
"358",-5.59
"359",-5.53
"360",-5.24
"361",-7.58
"362",-7.13
"363",-5.33
"364",-6.38
"365",-8.11
