"","Subject","Word","Affix","LogRT","PC1","PC2","PrevError","Rank","Sex","ResidSemRating","ResidFamSize","LogWordFreq","LogAffixFreq","LogCUP","LogUP","LogCUPtoEnd"
"1","2s14","appetitlig","lig",6.454238984,0.543860189784014,-0.233084217842282,"CORRECT",1.1293304595694,"M",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"2","2s17","appetitlig","lig",6.842854025,1.12905977939216,-0.486044032626045,"CORRECT",-0.83804128069674,"M",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"3","2s15","appetitlig","lig",6.839958121,0.654946046324747,0.247008622047672,"CORRECT",-0.757290948073876,"M",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"4","2s04","appetitlig","lig",6.834506937,-1.26022095846214,-2.43323446271935,"CORRECT",0.85037476505405,"M",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"5","2s06","appetitlig","lig",6.795191101,0.166829665344493,0.443001708426174,"CORRECT",0.101598953460221,"F",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"6","2s11","appetitlig","lig",7.062679945,-0.250044894579107,0.106701006065165,"CORRECT",0.373213708646218,"M",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"7","2s12","appetitlig","lig",7.466502118,-0.324489319422293,-1.50340498643503,"CORRECT",-0.6031312221575,"F",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"8","2s21","appetitlig","lig",6.926213866,0.81211797801608,-0.130209953103118,"CORRECT",-0.507699010875933,"F",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"9","2s10","appetitlig","lig",6.765822983,-0.241219178384057,0.521972139078066,"CORRECT",-0.221402377031234,"M",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"10","2s03","appetitlig","lig",6.707338996,-0.147223216748252,0.11761770310089,"CORRECT",0.431941223281028,"M",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"11","2s16","appetitlig","lig",6.649890875,1.08603051305425,0.113041378323486,"CORRECT",-0.617813100816202,"M",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"12","2s13","appetitlig","lig",6.703543878,0.638984762270664,0.178792842701351,"CORRECT",0.263099618705949,"F",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"13","2s05","appetitlig","lig",6.950249475,0.821473097829952,1.13244258611769,"CORRECT",-0.324175527642152,"F",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"14","2s22","appetitlig","lig",6.769538642,-3.03016904766214,0.0318906228463209,"CORRECT",-0.177356741055126,"F",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"15","2s08","appetitlig","lig",7.118866734,-1.00959553115736,0.994492681987373,"CORRECT",1.48903648670761,"F",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"16","2s09","appetitlig","lig",6.820954789,0.551713495967775,0.212471604264637,"CORRECT",1.1293304595694,"F",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"17","2s18","appetitlig","lig",6.750539908,0.871390730642592,-0.745225480979703,"CORRECT",0.0722351961428164,"F",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"18","2s07","appetitlig","lig",6.98953801,1.03935689030139,0.060679094628765,"CORRECT",1.08528482359329,"F",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"19","2s02","appetitlig","lig",6.853256854,-0.284524854695018,-1.39295496437325,"CORRECT",0.226394922059193,"F",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"20","2s01","appetitlig","lig",6.895540987,0.361755004612659,0.271043952665995,"CORRECT",-1.491384881009,"M",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"21","2s20","appetitlig","lig",6.742078427,1.41961147732753,-0.299001008105307,"CORRECT",0.431941223281028,"F",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"22","2s19","appetitlig","lig",6.743870712,0.28989061268607,-0.108633249652222,"CORRECT",0.307145254682057,"F",-1.23489356892417,-1.6035002124927,2.944438979,13.40717985,6.463029457,5.323009979,4.30406509320417
"23","2s11","arkiv","iv",6.720642261,0.128342851546518,0.0838316653971635,"CORRECT",-1.4620211236916,"M",-2.94303349553961,0.0777431852867317,5.361292166,11.00428079,5.908082938,5.605802066,3.93182563272433
