"","Subject","Rating","Trial","Sex","Word","Frequency","Class"
"1","A1",5,1,"F","horse",7.77191,"animal"
"2","A1",1,2,"F","gherkin",2.079442,"plant"
"3","A1",3,3,"F","hedgehog",3.637586,"animal"
"4","A1",1,4,"F","bee",5.700444,"animal"
"5","A1",1,5,"F","peanut",4.59512,"plant"
"6","A1",2,6,"F","pear",4.727388,"plant"
"7","A1",3,7,"F","pineapple",3.988984,"plant"
"8","A1",2,8,"F","frog",5.129899,"animal"
"9","A1",1,9,"F","blackberry",4.060443,"plant"
"10","A1",3,10,"F","pigeon",5.26269,"animal"
"11","A1",4,11,"F","tortoise",4.624973,"animal"
"12","A1",1,12,"F","tomato",5.545177,"plant"
"13","A1",5,13,"F","pig",6.660575,"animal"
"14","A1",5,14,"F","donkey",5.541264,"animal"
"15","A1",3,15,"F","magpie",2.995732,"animal"
"16","A1",1,16,"F","melon",4.127134,"plant"
"17","A1",1,17,"F","paprika",2.484907,"plant"
"18","A1",3,18,"F","squirrel",4.70953,"animal"
"19","A1",1,19,"F","beetroot",3.555348,"plant"
"20","A1",4,20,"F","snake",6.120297,"animal"
"21","A1",4,21,"F","goat",6.228511,"animal"
"22","A1",1,22,"F","cucumber",4.454347,"plant"
"23","A1",1,23,"F","strawberry",4.75359,"plant"
"24","A1",3,24,"F","fox",5.652489,"animal"
"25","A1",1,25,"F","walnut",4.49981,"plant"
"26","A1",1,26,"F","broccoli",2.833213,"plant"
"27","A1",3,27,"F","bat",5.918894,"animal"
"28","A1",4,28,"F","dog",7.667626,"animal"
"29","A1",2,29,"F","butterfly",5.214936,"animal"
"30","A1",1,30,"F","spider",4.844187,"animal"
"31","A1",1,31,"F","apricot",3.828641,"plant"
"32","A1",3,32,"F","owl",4.859812,"animal"
"33","A1",1,33,"F","mushroom",5.537334,"plant"
"34","A1",3,34,"F","gull",4.418841,"animal"
"35","A1",5,35,"F","dolphin",4.007333,"animal"
"36","A1",1,36,"F","clove",3.663562,"plant"
"37","A1",3,37,"F","reindeer",4.043051,"animal"
"38","A1",5,38,"F","shark",5.880533,"animal"
"39","A1",1,39,"F","olive",5.587249,"plant"
"40","A1",1,40,"F","almond",4.204693,"plant"
"41","A1",7,41,"F","whale",5.298317,"animal"
"42","A1",5,42,"F","moose",2.70805,"animal"
"43","A1",5,43,"F","camel",6.109248,"animal"
"44","A1",1,44,"F","wasp",4.682131,"animal"
"45","A1",1,45,"F","lettuce",4.812184,"plant"
"46","A1",1,46,"F","potato",6.461468,"plant"
"47","A1",4,47,"F","sheep",6.577861,"animal"
"48","A1",3,48,"F","cat",7.086738,"animal"
"49","A1",1,49,"F","cherry",4.997212,"plant"
"50","A1",1,50,"F","eggplant",1.791759,"plant"
"51","A1",2,51,"F","asparagus",3.663562,"plant"
"52","A1",5,52,"F","vulture",4.248495,"animal"
"53","A1",3,53,"F","bunny",3.332205,"animal"
"54","A1",3,54,"F","mouse",5.805135,"animal"
"55","A1",1,55,"F","leek",3.332205,"plant"
"56","A1",1,56,"F","badger",5.056246,"animal"
"57","A1",1,57,"F","ant",5.347108,"animal"
"58","A1",2,58,"F","grape",5.192957,"plant"
"59","A1",5,59,"F","eagle",5.117994,"animal"
"60","A1",5,60,"F","lion",6.098074,"animal"
"61","A1",1,61,"F","mustard",4.442651,"plant"
"62","A1",3,62,"F","woodpecker",2.890372,"animal"
"63","A1",3,63,"F","kiwi",3.044522,"plant"
"64","A1",1,64,"F","carrot",4.976734,"plant"
"65","A1",1,65,"F","radish",3.044522,"plant"
"66","A1",3,66,"F","beaver",3.951244,"animal"
"67","A1",1,67,"F","lemon",5.631212,"plant"
"68","A1",3,68,"F","squid",3.970292,"animal"
"69","A1",1,69,"F","mole",4.60517,"animal"
