"","Author","YearOfBirth","TextName","PubDate","Nwords","FullName"
"1","C",1916,"X14458gll",1983,2972,"Cela"
"2","C",1916,"X14459gll",1951,3040,"Cela"
"3","C",1916,"X14460gll",1956,3066,"Cela"
"4","C",1916,"X14461gll",1948,3044,"Cela"
"5","C",1916,"X14462gll",1942,3053,"Cela"
"6","M",1943,"X14463gll",1986,3013,"Mendoza"
"7","M",1943,"X14464gll",1992,3049,"Mendoza"
"8","M",1943,"X14465gll",1989,3042,"Mendoza"
"9","M",1943,"X14466gll",1982,3039,"Mendoza"
"10","M",1943,"X14467gll",2002,3045,"Mendoza"
"11","V",1936,"X14472gll",1965,3037,"VargasLLosa"
"12","V",1936,"X14473gll",1963,3067,"VargasLLosa"
"13","V",1936,"X14474gll",1977,3020,"VargasLLosa"
"14","V",1936,"X14475gll",1987,3016,"VargasLLosa"
"15","V",1936,"X14476gll",1981,3054,"VargasLLosa"
