"","Subject","RT","Item","SOA"
"1","S1",546,"W1","short"
"2","S2",566,"W1","short"
"3","S3",567,"W1","short"
"4","S4",556,"W1","short"
"5","S5",595,"W1","short"
"6","S6",569,"W1","short"
"7","S7",527,"W1","short"
"8","S8",551,"W1","short"
"9","S1",567,"W2","short"
"10","S2",556,"W2","short"
"11","S3",598,"W2","short"
"12","S4",565,"W2","short"
"13","S5",609,"W2","short"
"14","S6",578,"W2","short"
"15","S7",554,"W2","short"
"16","S8",575,"W2","short"
"17","S1",547,"W3","short"
"18","S2",538,"W3","short"
"19","S3",568,"W3","short"
"20","S4",536,"W3","short"
"21","S5",585,"W3","short"
"22","S6",560,"W3","short"
"23","S7",535,"W3","short"
"24","S8",558,"W3","short"
"25","S1",566,"W4","short"
"26","S2",566,"W4","short"
"27","S3",584,"W4","short"
"28","S4",550,"W4","short"
"29","S5",588,"W4","short"
"30","S6",583,"W4","short"
"31","S7",527,"W4","short"
"32","S8",556,"W4","short"
"33","S1",554,"W5","long"
"34","S2",512,"W5","long"
"35","S3",536,"W5","long"
"36","S4",516,"W5","long"
"37","S5",578,"W5","long"
"38","S6",501,"W5","long"
"39","S7",480,"W5","long"
"40","S8",588,"W5","long"
"41","S1",545,"W6","long"
"42","S2",523,"W6","long"
"43","S3",539,"W6","long"
"44","S4",522,"W6","long"
"45","S5",540,"W6","long"
"46","S6",535,"W6","long"
"47","S7",467,"W6","long"
"48","S8",563,"W6","long"
"49","S1",594,"W7","long"
"50","S2",569,"W7","long"
"51","S3",589,"W7","long"
"52","S4",560,"W7","long"
"53","S5",615,"W7","long"
"54","S6",568,"W7","long"
"55","S7",540,"W7","long"
"56","S8",631,"W7","long"
"57","S1",522,"W8","long"
"58","S2",524,"W8","long"
"59","S3",521,"W8","long"
"60","S4",486,"W8","long"
"61","S5",546,"W8","long"
"62","S6",514,"W8","long"
"63","S7",473,"W8","long"
"64","S8",558,"W8","long"
