"","begin","end","type","do","other"
"1",1390,1425,"affdecl",17,49583
"2",1425,1475,"affdecl",121,45379
"3",1475,1500,"affdecl",1059,58541
"4",1500,1525,"affdecl",396,28204
"5",1525,1535,"affdecl",494,18306
"6",1535,1550,"affdecl",1564,17636
"7",1550,1575,"affdecl",1360,13240
"8",1575,1600,"affdecl",1142,16858
"9",1600,1625,"affdecl",240,7660
"10",1625,1650,"affdecl",212,6988
"11",1650,1710,"affdecl",145,10555
"12",1390,1425,"negdecl",0,177
"13",1425,1475,"negdecl",11,892
"14",1475,1500,"negdecl",33,660
"15",1500,1525,"negdecl",47,558
"16",1525,1535,"negdecl",89,562
"17",1535,1550,"negdecl",205,530
"18",1550,1575,"negdecl",119,194
"19",1575,1600,"negdecl",150,479
"20",1600,1625,"negdecl",102,176
"21",1625,1650,"negdecl",109,235
"22",1650,1710,"negdecl",187,157
"23",1390,1425,"affquest",0,10
"24",1425,1475,"affquest",6,136
"25",1475,1500,"affquest",10,132
"26",1500,1525,"affquest",41,140
"27",1525,1535,"affquest",33,69
"28",1535,1550,"affquest",93,114
"29",1550,1575,"affquest",72,56
"30",1575,1600,"affquest",228,150
"31",1600,1625,"affquest",406,181
"32",1625,1650,"affquest",116,24
"33",1650,1710,"affquest",217,46
"34",1390,1425,"negquest",2,15
"35",1425,1475,"negquest",2,23
"36",1475,1500,"negquest",3,24
"37",1500,1525,"negquest",46,32
"38",1525,1535,"negquest",34,22
"39",1535,1550,"negquest",63,21
"40",1550,1575,"negquest",41,7
"41",1575,1600,"negquest",83,45
"42",1600,1625,"negquest",89,6
"43",1625,1650,"negquest",32,6
"44",1650,1710,"negquest",64,4
