"","Subject","Word","RT","RootFrequency","Condition","Rating","Frequency","BaseFrequency","LengthInLetters","FamilySize","NumberOfSynsets","RT4WordsBack","RT3WordsBack","RT2WordsBack","RT1WordBack","RT1WordLater","RT2WordsLater","RTtoPrime"
"1","PP016","lobbigheid",5.20948615284142,2.89037175789616,"baseheid",1.82,0,0,10,1.09861,3,5.15905529921453,5.11198778835654,5.83188247728352,5.20948615284142,5.21493575760899,5.75257263882563,6.40522845803084
"2","PP016","tembaarheid",6.12905021006055,5.25749537202778,"heidheid",3.73,0,0,11,1.79176,0,5.78382518232974,5.91889385427315,5.92425579741453,5.77455154554441,5.97888576490112,6.0591231955818,6.61338421837956
"3","PP016","pitloosheid",6.361302477573,4.77912349311153,"baseheid",1.86,0,0,11,2.70805,4,6.1779441140506,6.07073772800249,5.90263333340137,5.66296048013595,5.6021188208797,5.85793315448346,7.00397413672268
"4","PP016","tilbaarheid",6.67708346124714,7.25417784645652,"heidheid",3.18,0,0,11,2.48491,1,6.07073772800249,5.88332238848828,5.60947179518496,6.22059017009974,6.39359075395063,6.73340189183736,5.89715386763674
"5","PP016","blusbaarheid",6.7900972355139,4.99721227376411,"baseheid",2.91,0,0,12,2.30259,0,6.39526159811545,7.37838371299671,6.48004456192665,6.3750248198281,6.88243747099785,6.35610766069589,6.14418563412565
"6","PP016","saprijkheid",6.06145691892802,6.10255859461357,"heidheid",1.95,0,0,11,3.55535,2,6.14418563412565,6.0088131854426,5.97380961186926,5.94017125272043,5.98141421125448,5.77455154554441,7.94944442025063
"7","PP016","ondiepheid",5.35658627467201,9.3805049984995,"baseheid",2.77,0,5.66296048013595,10,3.80666,1,5.30826769740121,5.25227342804663,5.53733426701854,5.37989735354046,5.94017125272043,5.41164605185504,6.16331480403464
"8","PP016","kortafheid",5.50533153593236,9.59940505871657,"heidheid",2.36,0,5.86929691313377,10,4.07754,1,5.52146091786225,5.43372200355424,5.41164605185504,5.34710753071747,5.7268477475872,5.39362754635236,5.37989735354046
"9","PP016","gammelheid",5.35658627467201,4.90527477843843,"baseheid",2.55,0,4.91265488573605,10,0,0,5.26269018890489,5.95583736946483,5.40267738187228,6.31716468674728,5.26785815906333,6.15909538849193,5.34233425196481
"10","PP016","beschutheid",5.3890717298165,5.21493575760899,"heidheid",2.95,0,4.78749174278205,11,0.693147,0,5.71042701737487,5.52545293913178,5.41164605185504,5.42053499927229,5.58724865840025,5.41610040220442,5.57215403217776
"11","PP016","coulantheid",5.54517744447956,1.6094379124341,"baseheid",2.5,0,1.79175946922805,11,0,1,5.38449506278909,5.33271879326537,8.04012466444838,5.51745289646471,5.38449506278909,5.33271879326537,5.47646355193151
"12","PP016","onattentheid",5.48893772615669,5.94803498918065,"heidheid",2.73,0,1.6094379124341,12,0,0,5.82894561761021,6.04737217904628,5.95583736946483,6.09356977004514,6.42648845745769,5.89164421182577,6.53958595561767
"13","PP016","kalkrijkheid",5.31811999384422,6.16961073249146,"baseheid",2.09,0,3.13549421592915,12,3.4012,3,5.25227342804663,5.73979291217923,5.31320597904179,5.22035582507832,5.87773578177964,5.28826703069454,5.2257466737132
"14","PP016","visrijkheid",5.78074351579233,8.04044688130311,"heidheid",2.18,0,3.04452243772342,11,4.63473,4,5.77765232322266,5.58724865840025,6.08677472691231,5.14166355650266,7.47986413116503,5.4380793089232,5.53733426701854
"15","PP016","bebrildheid",5.76205138278018,7.34213173058472,"baseheid",1.41,0,3.61091791264422,11,2.89037,3,5.93224518744801,5.5834963087817,5.85507192220243,5.74939298590825,6.33327962813969,6.41017488196617,5.02388052084628
"16","PP016","pipsheid",5.31320597904179,3.29583686600433,"heidheid",1.86,0,3.3322045101752,8,0,0,5.36129216570943,5.22035582507832,5.36129216570943,5.29831736654804,5.33753807970132,5.27811465923052,5.33271879326537
"17","PP016","beuheid",5.84932477994686,5.06259503302697,"baseheid",1.73,0,5.06890420222023,7,0,0,5.58724865840025,5.84354441703136,5.00394630594546,6.53958595561767,5.89715386763674,5.71702770140622,6.06378520868761
"18","PP016","markantheid",5.4249500174814,5.15905529921453,"heidheid",2.73,0,5.16478597392351,11,0,0,5.66296048013595,5.54907608489522,5.72358510195238,5.63478960316925,5.96100533962327,5.37989735354046,6.361302477573
"19","PP016","riantheid",6.48004456192665,4.52178857704904,"baseheid",2.36,0,4.53259949315326,9,0,0,6.8679744089703,5.98645200528444,5.77765232322266,5.73657229747919,6.0088131854426,5.91620206260743,5.83773044716594
"20","PP016","labielheid",5.99146454710798,4.36944785246702,"heidheid",3.23,0,4.38202663467388,10,0.693147,0,5.74939298590825,5.75257263882563,5.92425579741453,5.98393628068719,5.98645200528444,5.98141421125448,5.9427993751267
"21","PP016","tactvolheid",6.16751649088834,5.24174701505964,"baseheid",2.55,0,4.75359019110636,11,2.48491,1,7.1268908088988,5.99146454710798,5.92425579741453,5.8805329864007,6.20455776256869,5.8348107370626,4.98360662170834
"22","PP016","bezweetheid",5.50938833662798,6.46769872610435,"heidheid",3.36,0,4.75359019110636,11,2.94444,1,5.91350300563827,5.80513496891649,5.20948615284142,6.13772705408623,5.83773044716594,7.06646697013696,5.88332238848828
"23","PP016","ovaalheid",5.52146091786225,5.85793315448346,"baseheid",2.23,0,5.86078622346587,9,0.693147,1,6.06378520868761,5.53733426701854,5.47646355193151,5.65948221575962,5.46806014113513,5.59842195899838,5.8171111599632
"24","PP016","banaalheid",6.95749737087695,5.73657229747919,"heidheid",2.64,0,5.73979291217923,10,0.693147,0,5.85507192220243,6.19236248947487,5.78996017089725,5.77455154554441,5.94542060860658,5.91079664404053,6.52795791762255
"25","PP016","ludiekheid",5.4510384535657,4.12713438504509,"baseheid",2.05,0,4.14313472639153,10,0,0,5.44673737166631,5.65599181081985,6.3491389913798,5.40717177146012,5.83773044716594,5.8171111599632,5.87493073085203
"26","PP016","aftandsheid",5.35658627467201,4.18965474202643,"heidheid",2.05,0,4.20469261939097,11,0,0,5.27299955856375,5.75574221358691,5.28320372873799,5.76519110278484,6.3456363608286,5.48893772615669,5.35658627467201
"27","PP016","dementheid",5.4380793089232,3.80666248977032,"baseheid",3.23,0,3.8286413964891,10,1.09861,0,5.20948615284142,5.74620319054015,5.26269018890489,6.42486902390539,5.36597601502185,5.82304589548302,5.46806014113513
"28","PP016","onwelheid",5.93753620508243,3.95124371858143,"heidheid",2,0,3.97029191355212,9,4.96284,1,6.13988455222626,5.94803498918065,6.1463292576689,6.35957386867238,6.16961073249146,7.11314210870709,5.93224518744801
"29","PP016","basaalheid",6.90475076996184,3.52636052461616,"baseheid",2.14,0,3.55534806148941,10,0,0,6.31173480915291,5.8636311755981,6.8001700683022,6.06610809010375,6.1779441140506,6.0591231955818,6.3578422665081
"30","PP016","jofelheid",5.4424177105218,3.29583686600433,"heidheid",2.64,0,3.3322045101752,9,0,0,5.8636311755981,5.5834963087817,5.38449506278909,5.37989735354046,5.36597601502185,5.4510384535657,6.79794041297493
"31","PP016","onbelastheid",6.37672694789863,6.74523634948436,"baseheid",2.55,0,3.17805383034795,12,4.63473,6,6.16120732169508,6.71901315438526,6.02344759296103,6.3491389913798,6.59030104819669,6.12905021006055,6.62671774924902
"32","PP016","geurloosheid",5.76205138278018,7.9885429827377,"baseheid",2.95,0,2.56494935746154,12,2.70805,1,5.56452040732269,6.58479139238572,5.55682806169954,5.4510384535657,5.4553211153577,5.71042701737487,5.4249500174814
"33","PP016","erkendheid",7.02908756414966,7.59588991771854,"baseheid",4.73,0,6.5191472879404,10,0,0,6.27287700654617,6.38519439899773,6.60934924316738,6.91968384984741,6.20657592672493,6.03548143252476,6.75576892198425
"34","PP016","royaalheid",5.87493073085203,6.08904487544685,"heidheid",3.36,0,6.0913098820777,10,0.693147,0,6.1463292576689,6.74993119378857,6.08221891037645,6.37331978957701,5.92958914338989,5.71702770140622,5.36129216570943
"35","PP016","contentheid",5.04342511691925,4.48863636973214,"baseheid",2.5,0,4.49980967033027,11,0,1,5.19849703126583,5.26269018890489,5.14166355650266,5.28320372873799,6.60394382460047,5.82894561761021,5.4249500174814
"36","PP016","koketheid",6.12686918411419,4.77912349311153,"heidheid",2,0,4.78749174278205,9,1.09861,0,5.94017125272043,5.90808293816893,5.94017125272043,5.96870755998537,6.58340922215876,6.68461172766793,6.51471269087253
"37","PP016","summierheid",5.42934562895444,5.29330482472449,"baseheid",2.14,0,5.29831736654804,11,0.693147,0,5.50533153593236,5.39816270151775,5.36597601502185,5.22035582507832,5.91889385427315,5.50125821054473,5.29330482472449
"38","PP016","ontroerdheid",6.10255859461357,6.289715570909,"heidheid",3.32,0,5.54907608489522,12,0,1,5.26785815906333,5.28320372873799,5.40717177146012,5.37989735354046,5.50938833662798,5.42053499927229,5.34710753071747
"39","PP016","antiekheid",5.48063892334199,6.74405918631135,"baseheid",2.23,0,6.74523634948436,10,1.38629,2,5.57594910314632,5.97126183979046,5.6021188208797,5.605802066296,5.67675380226828,5.72358510195238,5.77455154554441
"40","PP016","enormheid",6.4831073514572,8.42441979126388,"heidheid",3,0,8.42463920980563,9,0.693147,0,6.3279367837292,5.63478960316925,5.31320597904179,5.47227067367148,5.95842469302978,5.83188247728352,5.6937321388027
"41","PP002","lobbigheid",5.605802066296,2.89037175789616,"heidheid",1.82,0,0,10,1.09861,3,5.56068163101553,5.65599181081985,5.61312810638807,5.6021188208797,5.59842195899838,5.57972982598622,5.57594910314632
"42","PP002","tembaarheid",5.62040086571715,5.25749537202778,"baseheid",3.73,0,0,11,1.79176,0,5.68357976733868,5.61677109766657,5.68697535633982,5.72358510195238,5.74620319054015,5.8171111599632,5.72031177660741
"43","PP002","pitloosheid",5.79301360838414,4.77912349311153,"heidheid",1.86,0,0,11,2.70805,4,5.7268477475872,5.82008293035236,5.72358510195238,5.78382518232974,5.8171111599632,5.79301360838414,5.63121178182137
"44","PP002","tilbaarheid",5.84354441703136,7.25417784645652,"baseheid",3.18,0,0,11,2.48491,1,5.78689738136671,5.93753620508243,5.80211837537706,5.87773578177964,5.84643877505772,5.78689738136671,5.88610403145016
"45","PP002","blusbaarheid",5.65248918026865,4.99721227376411,"heidheid",2.91,0,0,12,2.30259,0,5.68697535633982,5.73334127689775,5.605802066296,5.59842195899838,5.62401750618734,5.63121178182137,5.72031177660741
"46","PP002","saprijkheid",5.77765232322266,6.10255859461357,"baseheid",1.95,0,0,11,3.55535,2,5.68697535633982,6.16751649088834,5.97635090929793,5.61677109766657,5.66988092298052,5.77765232322266,5.83188247728352
"47","PP002","ondiepheid",5.73334127689775,9.3805049984995,"heidheid",2.77,0,5.66296048013595,10,3.80666,1,5.78074351579233,5.73979291217923,5.76519110278484,5.78382518232974,5.71373280550937,5.78996017089725,5.87773578177964
"48","PP002","kortafheid",5.82600010738045,9.59940505871657,"baseheid",2.36,0,5.86929691313377,10,4.07754,1,5.73657229747919,5.80814248998044,5.8664680569333,5.75257263882563,5.90808293816893,5.93753620508243,5.76832099579377
"49","PP002","gammelheid",5.65948221575962,4.90527477843843,"heidheid",2.55,0,4.91265488573605,10,0,0,5.605802066296,5.6937321388027,5.64897423816121,5.66296048013595,5.68697535633982,5.6021188208797,5.46806014113513
