"","Verb","Aux","VerbalSynsets","Regularity"
"1","blijken","zijn",1,"irregular"
"2","gloeien","hebben",3,"regular"
"3","glimmen","zijnheb",2,"irregular"
"4","rijzen","zijn",4,"irregular"
"5","werpen","hebben",3,"irregular"
"6","delven","hebben",2,"irregular"
"7","snikken","hebben",1,"regular"
"8","laten","hebben",12,"irregular"
"9","snijden","zijnheb",10,"irregular"
"10","schrikken","zijnheb",3,"irregular"
"11","zetten","hebben",4,"regular"
"12","blazen","hebben",4,"irregular"
"13","spelen","hebben",11,"regular"
"14","spreken","hebben",6,"irregular"
"15","rijgen","hebben",3,"irregular"
"16","krabben","hebben",1,"regular"
"17","binden","hebben",10,"irregular"
"18","worden","zijn",2,"irregular"
"19","scheiden","zijnheb",7,"regular"
"20","smijten","hebben",1,"irregular"
"21","voegen","hebben",5,"regular"
"22","doemen","hebben",1,"regular"
"23","meten","hebben",3,"irregular"
"24","snoeren","hebben",1,"regular"
"25","schikken","hebben",5,"regular"
"26","stinken","hebben",1,"irregular"
"27","snappen","hebben",3,"regular"
"28","zeuren","hebben",1,"regular"
"29","vleien","hebben",2,"regular"
"30","zien","hebben",7,"irregular"
"31","klinken","hebben",5,"irregular"
"32","vlechten","hebben",1,"irregular"
"33","duiken","zijnheb",4,"irregular"
"34","leren","hebben",2,"regular"
"35","gieten","hebben",4,"irregular"
"36","wijken","zijn",3,"irregular"
"37","streven","hebben",1,"regular"
"38","strekken","hebben",4,"regular"
"39","zuigen","hebben",5,"irregular"
"40","scheuren","zijnheb",7,"regular"
"41","rijmen","hebben",4,"regular"
"42","bieden","hebben",4,"irregular"
"43","pluizen","hebben",2,"irregular"
"44","hebben","hebben",5,"irregular"
"45","vluchten","zijn",2,"regular"
"46","gooien","hebben",1,"regular"
"47","liegen","hebben",2,"irregular"
"48","zeggen","hebben",3,"irregular"
"49","storen","hebben",2,"regular"
"50","snuiten","hebben",2,"irregular"
"51","stichten","hebben",2,"regular"
"52","kopen","hebben",1,"irregular"
"53","treden","zijnheb",3,"irregular"
"54","vechten","hebben",4,"irregular"
"55","trachten","hebben",1,"regular"
"56","mikken","hebben",3,"regular"
"57","zakken","hebben",6,"regular"
"58","wringen","hebben",3,"irregular"
"59","wonen","hebben",1,"regular"
"60","branden","hebben",6,"regular"
"61","gaan","zijnheb",15,"irregular"
"62","zwieren","hebben",2,"regular"
"63","weten","hebben",4,"irregular"
"64","smeken","hebben",1,"regular"
"65","beven","hebben",2,"regular"
"66","sleuren","hebben",1,"regular"
"67","lijden","hebben",3,"irregular"
"68","zeilen","zijnheb",2,"regular"
"69","blijven","zijn",5,"irregular"
"70","dringen","zijnheb",3,"irregular"
"71","drinken","hebben",2,"irregular"
"72","delen","hebben",5,"regular"
"73","lopen","zijnheb",9,"irregular"
"74","grommen","hebben",2,"regular"
"75","houwen","hebben",2,"irregular"
"76","knijpen","hebben",1,"irregular"
"77","stikken","zijnheb",4,"regular"
"78","stijgen","zijn",3,"irregular"
"79","vellen","hebben",2,"regular"
"80","schamen","hebben",1,"regular"
"81","grijpen","hebben",2,"irregular"
"82","wijzen","hebben",5,"irregular"
"83","zwemmen","zijnheb",1,"irregular"
"84","wijden","hebben",3,"regular"
"85","zwaaien","zijnheb",3,"regular"
"86","spugen","hebben",3,"irregular"
"87","maken","hebben",4,"regular"
"88","kosten","hebben",2,"regular"
"89","sluiten","zijnheb",8,"irregular"
"90","voelen","hebben",7,"regular"
