"","Word","Frequency","Speaker","Sex","YearOfBirth","DurationOfPrefix","SpeechRate","NumberSegmentsOnset"
"1","geprikt",13,"N01159","male",1944,0.238703,3.144654,2
"2","gepresteerd",25,"N01077","male",1980,0.082057,6.882591,2
"3","gevolgd",309,"N01032","female",1939,0.120832,6.870229,1
"4","geprikkeld",16,"N01128","female",1979,0.106897,7.217848,2
"5","gestaakt",40,"N01204","female",1963,0.133441,5.866667,2
"6","geselecteerd",42,"N01151","female",1956,0.043315,5.745184,1
"7","gevraagd",1301,"N01168","male",1979,0.084604,7.07449,2
"8","gebreid",10,"N01005","female",1944,0.147149,5.788712,2
"9","gewaarschuwd",73,"N01033","male",1963,0.152435,4.385965,1
"10","gesplitst",19,"N01160","female",1974,0.107794,4.137931,3
"11","gecombineerd",39,"N01100","male",1929,0.167308,4.729149,1
"12","geprint",6,"N01025","female",1973,0.159996,6.04337,2
"13","gerekend",90,"N01045","male",1977,0.13739,4.950495,1
"14","geknuffeld",4,"N01022","female",1967,0.183546,4.363636,2
"15","gesprayd",2,"N01045","male",1977,0.109943,4.643963,3
"16","gecharmeerd",11,"N01038","female",1955,0.102306,6.796117,1
"17","gestofzuigd",7,"N01125","male",1949,0.091602,6.91085,2
"18","gehuppeld",1,"N01148","female",1981,0.095464,4.946996,1
"19","gespendeerd",6,"N01028","female",1938,0.08119,4.93479,2
"20","gemikt",3,"N01096","female",1978,0.131825,7.490637,1
"21","gedanst",41,"N01151","female",1956,0.097414,4.347826,1
"22","geweekt",3,"N01113","female",1943,0.136875,5.903188,1
"23","gedrild",4,"N01114","female",1936,0.219077,3.376097,2
"24","geleverd",104,"N01161","male",1958,0.114591,8.447044,1
"25","gepaft",1,"N01205","male",1961,0.110597,4.53772,1
"26","gekweekt",16,"N01005","female",1944,0.149793,4.990643,2
"27","geworteld",14,"N01142","male",1975,0.117328,5.488474,1
"28","gekleed",78,"N01155","female",1979,0.175443,5.789271,2
"29","geresulteerd",9,"N01204","female",1963,0.094501,5.165289,1
"30","geslacht",13,"N01215","male",1937,0.151159,2.505219,2
"31","gedokt",1,"N01044","female",1974,0.142789,5.845511,1
"32","geschaduwd",4,"N01027","female",1970,0.10423,5.428882,2
"33","gedraafd",1,"N01101","female",1936,0.087276,4.884857,2
"34","gecorrigeerd",23,"N01045","male",1977,0.22793,7.230658,1
"35","getikt",27,"N01157","male",1952,0.167936,6.802721,1
"36","geklaagd",23,"N01002","male",1952,0.106749,4.016064,2
"37","getoond",60,"N01068","female",1946,0.127911,6.013229,1
"38","gekruid",5,"N01088","male",1978,0.162997,3.992016,2
"39","geseculariseerd",2,"N01131","male",1939,0.129999,4.862237,1
"40","geschetst",33,"N01029","male",1939,0.066216,5.005562,2
"41","geplukt",28,"N01214","female",1940,0.128124,5.164319,2
"42","geblaft",1,"N01025","female",1973,0.174886,5.293806,2
"43","gepensioneerd",20,"N01150","female",1923,0.166665,6.681514,1
"44","gebotteld",3,"N01058","male",1975,0.145475,6.789525,1
"45","geramd",3,"N01090","female",1976,0.181237,3.625816,1
"46","gezegend",14,"N01033","male",1963,0.154295,4.316547,1
"47","gekaart",2,"N01031","female",1938,0.163182,8.450704,1
"48","geantwoord",80,"N01033","male",1963,0.205999,2.807674,0
"49","getackeld",6,"N01141","female",1943,0.087802,6.523157,1
"50","geoefend",48,"N01033","male",1963,0.109169,8.750994,0
"51","gebietst",1,"N01090","female",1976,0.129552,7.180157,1
"52","gespeculeerd",9,"N01205","male",1961,0.068495,4.208311,2
"53","geteeld",8,"N01109","female",1978,0.160304,5.678233,1
"54","gelet",133,"N01204","female",1963,0.10358,4,1
"55","gegijzeld",10,"N01038","female",1955,0.137569,5.797101,1
"56","geduurd",139,"N01149","female",1925,0.139694,5.809979,1
"57","gevoeld",123,"N01151","female",1956,0.081964,4.739336,1
"58","geschorst",50,"N01172","male",1980,0.091986,5.620082,2
"59","gerust",214,"N01082","female",1980,0.178271,6.024096,1
"60","geopereerd",114,"N01062","male",1948,0.073381,5.758157,0
"61","gewit",5,"N01137","male",NA,0.079454,4.424779,1
"62","gecondoleerd",8,"N01029","male",1939,0.246479,3.565062,1
"63","geschud",21,"N01052","female",1951,0.111114,4.347826,2
"64","gewurmd",2,"N01089","female",1975,0.204887,6.200177,1
"65","gekund",102,"N01026","male",1971,0.138176,4.449008,1
"66","gemist",171,"N01096","female",1978,0.053651,8.336642,1
"67","geveegd",17,"N01090","female",1976,0.116177,6.864162,1
"68","geopend",138,"N01128","female",1979,0.154491,4.660194,0
"69","getypt",11,"N01039","male",1969,0.179792,5.683837,1
"70","gekruist",8,"N01097","female",1980,0.147938,5.546075,2
"71","gekreund",1,"N01211","female",1981,0.126571,6.018054,2
"72","geplast",13,"N01204","female",1963,0.129235,7,2
"73","gewoond",196,"N01105","female",1980,0.088101,6.530612,1
"74","gesignaleerd",29,"N01017","male",1969,0.093665,6.289308,1
"75","gestraft",43,"N01083","female",1975,0.08153,6.52283,3
"76","gezoend",17,"N01155","female",1979,0.164472,4.370629,1
"77","gefocust",13,"N01088","male",1978,0.11416,5.95632,1
"78","gewaagd",14,"N01211","female",1981,0.109396,6.152584,1
"79","geblokkeerd",47,"N01062","male",1948,0.078681,7.082153,2
"80","gehuurd",73,"N01123","female",1943,0.15602,4.622496,1
"81","gedruppeld",1,"N01017","male",1969,0.190498,6.343907,2
"82","geveild",16,"N01048","female",1976,0.135896,5.857295,1
"83","gewerkt",742,"N01011","female",1966,0.061819,3.861004,1
"84","gemarkeerd",5,"N01014","male",1976,0.119637,7.664381,1
"85","geopperd",21,"N01019","male",1962,0.082345,7.220217,0
"86","getekend",138,"N01106","male",1977,0.137965,7.886435,1
"87","gedouwd",4,"N01096","female",1978,0.123918,6.25,1
"88","geschroefd",4,"N01159","male",1944,0.06615,4.339119,3
"89","geprogrammeerd",15,"N01058","male",1975,0.124852,6.25,2
"90","gesolliciteerd",36,"N01038","female",1955,0.077336,7.223942,1
"91","gevormd",75,"N01004","female",1971,0.095265,5.529226,1
"92","gesmaakt",8,"N01088","male",1978,0.061774,7.713249,2
"93","geouwehoerd",3,"N01048","female",1976,0.082615,5.623902,0
"94","genoemd",526,"N01010","male",1970,0.073603,5.77034,1
"95","gescand",7,"N01049","female",1974,0.09731,5.55115,2
"96","geweigerd",55,"N01045","male",1977,0.149894,6.581494,1
"97","gesloopt",22,"N01212","female",1983,0.083188,6.168609,2
"98","geprobeerd",416,"N01124","female",1951,0.121085,6,2
"99","gestrand",10,"N01133","male",1979,0.067798,5.762179,3
