"","nlfemaleHigh","nlfemaleMid","nlmaleHigh","nlmaleMid","vlfemaleHigh","vlfemaleMid","vlmaleHigh","vlmaleMid"
"afhankelijk",1,1,3,4,1,2,3,1
"belachelijk",7,4,7,3,6,4,3,7
"dadelijk",8,13,6,10,2,3,1,2
"degelijk",1,1,1,1,1,1,2,1
"duidelijk",11,6,14,8,6,5,13,6
"eerlijk",6,9,9,5,5,2,5,4
"eigenlijk",186,176,171,144,323,230,350,277
"eindelijk",6,5,4,5,4,4,2,5
"feitelijk",0,0,1,0,2,1,2,5
"gemakkelijk",1,1,1,2,11,16,19,8
"gevaarlijk",2,2,2,1,2,3,3,2
"hopelijk",1,0,1,1,3,3,3,2
"lelijk",4,2,3,1,2,6,1,2
"makkelijk",16,15,14,16,2,0,2,1
"moeilijk",25,22,20,21,32,32,35,35
"mogelijk",7,6,10,10,9,9,13,9
"natuurlijk",183,165,197,134,94,90,175,95
"ongelofelijk",1,0,2,1,1,1,4,2
"ongelooflijk",1,1,5,2,8,2,10,7
"onmiddellijk",1,0,1,1,13,4,16,7
"oorspronkelijk",1,0,1,1,2,1,1,1
"persoonlijk",2,2,2,2,3,2,3,6
"pijnlijk",1,0,1,0,1,1,1,2
"redelijk",9,4,14,9,14,13,18,17
"tamelijk",0,0,2,0,8,1,8,8
"tuurlijk",31,29,33,32,27,39,40,21
"uiteindelijk",14,7,15,8,31,32,32,18
"verschrikkelijk",10,8,9,8,9,14,6,9
"voornamelijk",2,2,2,1,1,0,2,1
"vriendelijk",1,2,1,1,3,8,2,4
"vrolijk",2,2,2,3,0,1,0,1
"waarschijnlijk",33,23,34,23,62,56,75,65
