"","X14461gll","X14473gll","X14466gll","X14459gll","X14462gll","X14474gll","X14467gll","X14475gll","X14476gll","X14463gll","X14464gll","X14460gll","X14472gll","X14465gll","X14458gll"
"P.A.N4",0.027494,0.006757,0.000814,0.024116,0.009658,0.017529,0.039187,0.029321,0.017895,0.009346,0.009858,0.042509,0.028832,0.000732,0.016043
"VDA.J6.N5",0.000786,0.010135,0.003257,0.001608,0.005268,0.003339,0.000726,0.005401,0.002147,0.002077,0.003286,0,0.003794,0.004389,0
"C.P.N5",0.008641,0.001126,0.001629,0.003215,0.001756,0.007513,0.003628,0.001543,0.002863,0.003115,0.002191,0.002787,0.004552,0.004389,0.008913
"P.A.N5",0.118617,0.118243,0.102606,0.131833,0.118525,0.09015,0.097968,0.103395,0.097351,0.097612,0.101862,0.119861,0.097117,0.106803,0.105169
"A.N5.JQ",0.011783,0.006757,0.014658,0.008039,0.000878,0.01586,0.019594,0.02392,0.012885,0.021807,0.026287,0.01324,0.01214,0.021214,0.01426
"J6.N5.P",0.011783,0.009009,0.008958,0.008039,0.017559,0.009182,0.002903,0.005401,0.011453,0.008307,0.007667,0.004878,0.006829,0.005852,0.00713
"A.N5.R6",0.01414,0.009009,0.001629,0.003215,0.00439,0.002504,0.002177,0.000772,0.000716,0.003115,0.006572,0.002787,0.012898,0.005121,0.010695
"N5.P.N4",0.021995,0.005631,0.004072,0.016077,0.006146,0.010851,0.002177,0.007716,0.010021,0.008307,0.004381,0.039721,0.008346,0.002195,0.023173
"N5.P.N5",0.032207,0.016892,0.03013,0.024116,0.021071,0.048414,0.04209,0.039352,0.04796,0.041537,0.041621,0.023693,0.022762,0.026335,0.032086
"N5.VDA.P",0,0.002252,0.003257,0.003215,0.001756,0.002504,0.002903,0.003086,0.004295,0.008307,0.003286,0,0.009105,0.002195,0
"P.N4.P",0.005499,0.002252,0.000814,0.006431,0.001756,0.005008,0.001451,0.00463,0.002863,0.001038,0.002191,0.008362,0.001517,0,0.005348
"C.N5.P",0.001571,0.001126,0.000814,0.001608,0.00439,0.006678,0.004354,0.005401,0.005727,0.004154,0.006572,0.001394,0.002276,0.002195,0.003565
"P.N5.RR",0.001571,0.001126,0.008958,0.003215,0.005268,0.008347,0.002903,0.003086,0.00859,0.001038,0.003286,0.002091,0.000759,0.002926,0
"P.A.JQ",0.003142,0.002252,0.002443,0.001608,0.003512,0.010017,0.007257,0.003858,0.003579,0.002077,0.003286,0.006969,0.003794,0.002926,0.003565
"JQ.N5.C",0.003142,0.003378,0.004886,0.004823,0.002634,0.004174,0.004354,0.005401,0.001432,0,0.003286,0.000697,0.002276,0.003658,0.003565
"N5.P.JP",0.003142,0.006757,0.004886,0.009646,0.006146,0.005008,0.008708,0.006944,0.004295,0.006231,0.007667,0.004181,0.008346,0.007315,0.005348
"D.P.A",0.006284,0.011261,0.006515,0.004823,0.014925,0.008347,0.008708,0.005401,0.006442,0.006231,0.009858,0.009059,0.011381,0.007315,0.010695
"N5.P.JQ",0.004713,0.003378,0.0057,0.004823,0.00439,0.005008,0.001451,0.003858,0.002863,0.008307,0.008762,0.003484,0.000759,0.005121,0.001783
"N4.A.N5",0.007855,0,0.000814,0.009646,0.002634,0.001669,0.001451,0.003858,0.002863,0.003115,0.001095,0.010453,0.009105,0.002195,0.01426
