"","Speaker","Sex","AgeYear","AgeGroup","ConversationType","EduLevel"
"410","N01001","female",1952,"age45to55",NA,"high"
"409","N01002","male",1952,"age45to55","maleFemale","high"
"1157","N01003","male",1949,"age45to55","maleFemale","high"
"252","N01004","female",1971,"age25to34",NA,"high"
"251","N01005","female",1944,"age56up","femaleOnly","mid"
"254","N01006","male",1969,"age25to34","maleFemale","high"
"974","N01010","male",1970,"age25to34",NA,"high"
"973","N01011","female",1966,"age25to34","maleFemale","high"
"602","N01019","male",1962,"age35to44",NA,"high"
"603","N01020","male",1961,"age35to44","maleOnly","high"
"605","N01021","female",1969,"age25to34","maleFemale","high"
"29","N01012","male",1973,"age25to34",NA,"high"
"31","N01013","female",1974,"age25to34","maleFemale","mid"
"30","N01014","male",1976,"age18to24","maleFemale","high"
"28","N01015","female",1974,"age25to34","maleFemale","high"
"534","N01016","female",1972,"age25to34",NA,"high"
"535","N01017","male",1969,"age25to34","maleFemale","high"
"533","N01018","male",1971,"age25to34","maleFemale","high"
"531","N01026","male",1971,"age25to34",NA,"high"
"532","N01027","female",1970,"age25to34","maleFemale","high"
"700","N01022","female",1967,"age25to34",NA,"high"
"699","N01023","male",1964,"age35to44","maleFemale","mid"
"88","N01028","female",1938,"age56up",NA,"high"
"89","N01029","male",1939,"age56up","maleFemale","high"
"1309","N01030","female",1971,"age25to34","maleFemale","high"
"96","N01031","female",1938,"age56up","maleFemale","high"
"97","N01032","female",1939,"age56up","femaleOnly","mid"
"402","N01024","male",1977,"age18to24",NA,"high"
"401","N01025","female",1973,"age25to34","maleFemale","high"
"791","N01033","male",1963,"age35to44",NA,"high"
"792","N01034","male",1964,"age35to44","maleOnly","high"
"351","N01035","female",1980,"age18to24",NA,"high"
"350","N01036","female",1980,"age18to24","femaleOnly","high"
"343","N01037","female",1981,"age18to24",NA,"mid"
"342","N01038","female",1955,"age45to55","femaleOnly","high"
"344","N01040","female",1982,"age18to24","femaleOnly","mid"
"1019","N01039","male",1969,"age25to34","maleFemale","mid"
"442","N01057","male",1979,"age18to24",NA,"high"
"441","N01058","male",1975,"age25to34","maleOnly","mid"
"1025","N01060","male",1981,"age18to24","maleFemale","mid"
"1034","N01059","female",1980,"age18to24",NA,"high"
"440","N01041","female",1980,"age18to24",NA,"mid"
"439","N01042","male",1979,"age18to24","maleFemale","high"
"1204","N01043","male",1981,"age18to24","maleFemale","mid"
"562","N01062","male",1948,"age45to55",NA,"high"
"566","N01063","female",1950,"age45to55",NA,"high"
"569","N01064","male",1982,"age18to24",NA,"mid"
"20","N01044","female",1974,"age25to34",NA,"high"
"21","N01045","male",1977,"age18to24","maleFemale","high"
"557","N01046","male",1978,"age18to24","maleFemale","high"
"5","N01048","female",1976,"age18to24",NA,"high"
"6","N01049","female",1974,"age25to34","femaleOnly","high"
"17","N01050","male",1974,"age25to34","maleFemale","high"
"173","N01051","female",1979,"age18to24",NA,"high"
"174","N01052","female",1951,"age45to55","femaleOnly","mid"
"731","N01053","male",1981,"age18to24","maleFemale","mid"
"181","N01054","male",1981,"age18to24",NA,"mid"
"182","N01055","female",1980,"age18to24","maleFemale","mid"
"183","N01056","female",1980,"age18to24","maleFemale","high"
"279","N01065","female",1978,"age18to24",NA,"high"
"280","N01066","female",1978,"age18to24","femaleOnly","high"
"369","N01081","male",1979,"age18to24",NA,"high"
"370","N01082","female",1980,"age18to24","maleFemale","high"
"191","N01083","female",1975,"age25to34",NA,"high"
"190","N01084","male",1968,"age25to34","maleFemale","high"
"175","N01085","male",1970,"age25to34",NA,"high"
"176","N01086","male",1969,"age25to34","maleOnly","high"
"4","N01068","female",1946,"age45to55",NA,"high"
"3","N01069","male",1937,"age56up","maleFemale","high"
"51","N01070","male",1978,"age18to24",NA,"high"
"50","N01071","male",1979,"age18to24","maleOnly","high"
"473","N01072","male",1979,"age18to24",NA,"high"
"474","N01073","male",1980,"age18to24","maleOnly","high"
"472","N01113","female",1943,"age56up",NA,"high"
"471","N01114","female",1936,"age56up","femaleOnly","high"
"464","N01087","female",1980,"age18to24","femaleOnly","high"
"463","N01088","male",1978,"age18to24","maleFemale","high"
"332","N01077","male",1980,"age18to24",NA,"high"
"333","N01078","male",1976,"age18to24",NA,"high"
"331","N01080","male",1980,"age18to24","maleFemale","high"
"291","N01089","female",1975,"age25to34",NA,"high"
"292","N01090","female",1976,"age18to24","femaleOnly","high"
"293","N01091","female",1976,"age18to24","femaleOnly","high"
"855","N01092","female",1980,"age18to24",NA,"high"
"856","N01093","female",1980,"age18to24",NA,"high"
"154","N01096","female",1978,"age18to24",NA,"high"
