"","Textlabels","Codes","Author","Topic","Genre","Region","Year"
"1","Abe","Abe.2","Meun","Other","prose","R2",1325
"2","Abe","Abe.3","Meun","Other","prose","R2",1325
"3","Abe","Abe.4","Meun","Other","prose","R2",1325
"4","Abe","Abe.5","Meun","Other","prose","R2",1325
"5","Abe","Abe.6","Meun","Other","prose","R2",1325
"6","Abe","Abe.7","Meun","Other","prose","R2",1325
"7","Abe","Abe.8","Meun","Other","prose","R2",1325
"8","Abe","Abe.9","Meun","Other","prose","R2",1325
"9","Art","Art.1","Meun","Other","poetry","R2",1340
"10","Art","Art.2","Meun","Other","poetry","R2",1340
"11","Art","Art.3","Meun","Other","poetry","R2",1340
"12","Art","Art.4","Meun","Other","poetry","R2",1340
"13","Arthur","Arthur.1","Anon","Knight","prose","R2",1250
"14","Arthur","Arthur.2","Anon","Knight","prose","R2",1250
"15","Arthur","Arthur.3","Anon","Knight","prose","R2",1250
"16","Arthur","Arthur.4","Anon","Knight","prose","R2",1250
"17","Arthur","Arthur.5","Anon","Knight","prose","R2",1250
"18","Arthur","Arthur.6","Anon","Knight","prose","R2",1250
"19","Bar","Bar.1","Anon","Saint","prose","R3",1290
"20","Bar","Bar.10","Anon","Saint","prose","R3",1290
"21","Bar","Bar.11","Anon","Saint","prose","R3",1290
"22","Bar","Bar.12","Anon","Saint","prose","R3",1290
"23","Bar","Bar.13","Anon","Saint","prose","R3",1290
"24","Bar","Bar.14","Anon","Saint","prose","R3",1290
"25","Bar","Bar.2","Anon","Saint","prose","R3",1290
"26","Bar","Bar.3","Anon","Saint","prose","R3",1290
"27","Bar","Bar.4","Anon","Saint","prose","R3",1290
"28","Bar","Bar.5","Anon","Saint","prose","R3",1290
"29","Bar","Bar.6","Anon","Saint","prose","R3",1290
"30","Bar","Bar.7","Anon","Saint","prose","R3",1290
"31","Bar","Bar.8","Anon","Saint","prose","R3",1290
"32","Bar","Bar.9","Anon","Saint","prose","R3",1290
"33","Cathy","Cathy.1","Anon","Saint","poetry","R2",NA
"34","Cathy","Cathy.2","Anon","Saint","poetry","R2",NA
"35","Cathy","Cathy.3","Anon","Saint","poetry","R2",NA
"36","Cathy","Cathy.4","Anon","Saint","poetry","R2",NA
"37","Cathy","Cathy.5","Anon","Saint","poetry","R2",NA
"38","Cathy","Cathy.6","Anon","Saint","poetry","R2",NA
"39","Cathy1","Cathy1.1","Anon","Saint","poetry","R3",1350
"40","Ch1","Ch1.1","ChretienDeTroyes","Knight","poetry","R1",1210
"41","Ch1","Ch1.2","ChretienDeTroyes","Knight","poetry","R1",1210
"42","Ch1","Ch1.3","ChretienDeTroyes","Knight","poetry","R1",1210
"43","Ch1","Ch1.4","ChretienDeTroyes","Knight","poetry","R1",1210
"44","Ch1","Ch1.5","ChretienDeTroyes","Knight","poetry","R1",1210
"45","Ch1","Ch1.6","ChretienDeTroyes","Knight","poetry","R1",1210
"46","Ch1","Ch1.7","ChretienDeTroyes","Knight","poetry","R1",1210
"47","Ch1","Ch1.8","ChretienDeTroyes","Knight","poetry","R1",1210
"48","Ch1","Ch1.9","ChretienDeTroyes","Knight","poetry","R1",1210
"49","Ch2","Ch2.1","ChretienDeTroyes","Knight","poetry","R2",1250
"50","Ch2","Ch2.2","ChretienDeTroyes","Knight","poetry","R2",1250
"51","Ch2","Ch2.3","ChretienDeTroyes","Knight","poetry","R2",1250
"52","Ch2","Ch2.4","ChretienDeTroyes","Knight","poetry","R2",1250
"53","Ch2","Ch2.5","ChretienDeTroyes","Knight","poetry","R2",1250
