"","X14458gll","X14463gll","X14459gll","X14464gll","X14460gll","X14465gll","X14461gll","X14466gll","X14462gll","X14472gll","X14467gll","X14473gll","X14474gll","X14475gll","X14476gll"
"bien",0.008159,0.000938,0,0.001015,0.000609,0.000667,0.000617,0.002596,0.00347,0.000659,0.002594,0.004988,0.002045,0.000679,0
"les",0.002331,0.00469,0.002301,0.00203,0,0.002,0.004316,0.000649,0.000578,0.003955,0.002594,0.00187,0.001363,0.002038,0.003211
"fue",0.002331,0.001876,0.002301,0.00203,0.007922,0.002667,0.003083,0.002596,0.002313,0.003296,0.001946,0.00187,0.000682,0.003397,0.003211
"al",0.006993,0.016886,0.021864,0.014213,0.013406,0.016,0.021578,0.013628,0.009832,0.015821,0.018158,0.010599,0.019087,0.012908,0.017983
"hay",0.003497,0,0.003452,0.00203,0.000609,0.001333,0.003083,0.001947,0.000578,0.000659,0,0.003117,0.002727,0.000679,0.001927
"aun",0.002331,0.001876,0.001151,0.001015,0.001219,0.001333,0.003699,0.001298,0.000578,0,0.001946,0,0.000682,0.001359,0.000642
"anos",0.003497,0.003752,0.003452,0.00203,0.004266,0.001333,0.001233,0,0,0.001318,0.000649,0.001247,0.002045,0.002717,0.002569
"unos",0.001166,0.003752,0.003452,0.004061,0.002438,0.003333,0.001233,0.002596,0.001157,0.003296,0.002594,0.000623,0,0.001359,0.000642
"hasta",0.008159,0.003752,0.005754,0.006091,0.006703,0.003333,0.002466,0.007787,0.009832,0.00791,0.000649,0.003117,0.006135,0.002717,0.003211
"mismo",0.003497,0.000938,0,0.00203,0.001219,0.002,0,0.000649,0.001735,0.001318,0.003243,0.001247,0.001363,0,0
"antes",0,0.000938,0,0,0.003656,0.000667,0,0.001947,0,0,0.003891,0.00187,0.003408,0.000679,0.000642
"ciudad",0,0.002814,0.001151,0.00203,0.003047,0.002667,0.004316,0.001298,0.000578,0.001978,0,0,0.002727,0,0.000642
"nada",0.001166,0.000938,0.004603,0.00203,0,0,0.001233,0.003245,0.002313,0.000659,0.003243,0,0,0.001359,0
"habia",0,0.023452,0.006904,0.025381,0.001219,0.010667,0.001233,0.020766,0.009832,0.006592,0.014916,0.006234,0.012952,0.004076,0.016699
"el",0.050117,0.051595,0.036824,0.064975,0.080439,0.050667,0.056104,0.071382,0.042799,0.06526,0.063554,0.048005,0.042263,0.05231,0.045601
"por",0.011655,0.02439,0.018412,0.019289,0.021938,0.027333,0.018496,0.01817,0.0214,0.015162,0.031777,0.010599,0.019768,0.023098,0.023121
"en",0.029138,0.056285,0.032221,0.064975,0.04997,0.055333,0.046239,0.044776,0.048005,0.044825,0.048638,0.030549,0.060668,0.059783,0.038536
"era",0.003497,0.012195,0.008055,0.007107,0.001219,0.008667,0.000617,0.004543,0.013302,0.00791,0.003891,0.006858,0.010907,0.015625,0.004496
"y,",0,0,0.001151,0,0.002438,0,0.005549,0.001947,0.002892,0.00791,0.003891,0.000623,0.004772,0.002038,0.003211
"del",0.013986,0.021576,0.01611,0.024365,0.037782,0.016667,0.01603,0.011032,0.013302,0.007251,0.029831,0.007481,0.00818,0.024457,0.021837
"es",0.034965,0,0.008055,0.001015,0.011578,0.001333,0.019112,0.001298,0.006362,0.001978,0.002594,0.009975,0.002045,0.002717,0.004496
"despues",0.002331,0,0.004603,0,0.004266,0,0.001233,0.000649,0.001157,0.001978,0.000649,0.003117,0.001363,0,0.001927
"entre",0,0.002814,0.004603,0.00203,0.003656,0.002,0.000617,0.001947,0,0.003955,0.003891,0.00187,0.001363,0.007473,0.005138
"habian",0,0.012195,0,0.024365,0,0.006667,0.000617,0.001298,0,0.004614,0.011673,0.000623,0.002727,0.01019,0.003211
"con",0.018648,0.016886,0.019563,0.017259,0.0195,0.015333,0.022195,0.028553,0.023135,0.022413,0.018158,0.023067,0.012952,0.018342,0.01991
"vez",0.003497,0,0.003452,0,0,0.001333,0.000617,0.004543,0,0.002637,0.001946,0.004364,0.003408,0.002717,0.000642
"hombre",0.001166,0.000938,0.002301,0.001015,0.001219,0.000667,0.000617,0,0.001735,0.001318,0,0.002494,0.000682,0.001359,0.00578
"los",0.040793,0.051595,0.025316,0.033503,0.02925,0.028,0.031443,0.015574,0.019665,0.046803,0.041505,0.027431,0.048398,0.055027,0.04817
"pero",0.011655,0.006567,0.009206,0.006091,0,0.006,0.006165,0.005191,0.008097,0.011206,0.007782,0.014339,0.00818,0.004755,0.005138
"me",0.002331,0,0.003452,0.004061,0,0.002,0,0.043478,0.041643,0.000659,0.015564,0.025561,0.004772,0.006793,0.003211
"horas",0,0.002814,0.001151,0.003046,0,0.002,0.002466,0.001947,0.001157,0.000659,0,0,0.002045,0,0.001927
"para",0.01049,0.008443,0.008055,0.013198,0.007922,0.006,0.011714,0.008436,0.012146,0.00857,0.009079,0.015586,0.00818,0.009511,0.01413
"tiene",0.01049,0,0.003452,0,0.002438,0,0.004316,0,0.001157,0,0.000649,0.001247,0.001363,0,0
"ellos",0,0.001876,0,0.00203,0,0,0,0.001298,0.001735,0.001318,0,0.000623,0.000682,0.005435,0.001927
"mis",0,0,0,0.001015,0,0.000667,0,0.00584,0.001157,0.000659,0.003891,0.001247,0.002727,0,0.000642
"mi",0.004662,0,0.004603,0,0,0,0,0.009734,0.010411,0.000659,0.006485,0.007481,0.006135,0,0
"que,",0,0,0.002301,0.001015,0.006094,0.000667,0.003699,0.003245,0.002313,0.000659,0.003891,0,0.005453,0.004076,0.005138
"-",0.009324,0,0.010357,0,0.005484,0.002,0.003083,0,0.001735,0.004614,0,0,0.001363,0.001359,0
"sido",0,0.00469,0.002301,0.003046,0.000609,0.002,0.000617,0.001298,0.000578,0.000659,0.003243,0.001247,0.002045,0.003397,0.000642
"tiempo",0,0.001876,0.001151,0.00203,0.001219,0.002667,0,0.004543,0.002313,0.001318,0,0.000623,0.002045,0,0.001927
"san",0.001166,0,0.001151,0.001015,0.014016,0.000667,0.003083,0,0,0,0,0,0.001363,0,0.000642
"donde",0.001166,0.002814,0.001151,0.003046,0.003656,0.004667,0.006782,0.002596,0.005205,0.005933,0.001297,0.001247,0.001363,0.005435,0.007065
"casa",0.001166,0.000938,0.004603,0.00203,0.007313,0.000667,0.000617,0.000649,0.004627,0.003296,0,0.000623,0.002045,0.000679,0
"que2",0.062937,0.055347,0.067894,0.053807,0.056063,0.06,0.048705,0.07852,0.07808,0.034278,0.059014,0.066085,0.055215,0.059103,0.07386
"mujer",0.001166,0,0.003452,0,0.001219,0.004667,0,0.001298,0.002892,0,0,0,0.002045,0.000679,0.002569
"como",0.015152,0.006567,0.010357,0.007107,0.005484,0.005333,0.007398,0.006489,0.02487,0.009229,0.008431,0.013092,0.005453,0.009511,0.008349
"que",0.001166,0.000938,0.004603,0.001015,0,0,0,0.003245,0.001157,0,0,0.009975,0.003408,0,0.001285
"ahora",0,0.000938,0.003452,0.006091,0,0.007333,0,0.000649,0.000578,0.000659,0.001946,0.00187,0.000682,0,0
"se",0.031469,0.028143,0.034522,0.033503,0.030469,0.032,0.041924,0.01817,0.019665,0.047462,0.026589,0.052369,0.021132,0.016304,0.024406
"don",0.004662,0,0.004603,0,0.006703,0,0.008015,0,0.001157,0.00857,0,0,0.001363,0,0.000642
"casi",0.001166,0.001876,0.003452,0.00203,0.001828,0.000667,0.002466,0.000649,0.001157,0,0,0.002494,0,0.003397,0
"si",0.006993,0.003752,0.004603,0,0,0.006667,0.000617,0.008436,0.005784,0.000659,0.006485,0.006858,0.00409,0.003397,0.001285
"cada",0.003497,0,0.003452,0,0.000609,0.001333,0.00185,0.000649,0.001157,0.001978,0.000649,0.000623,0.002727,0.002717,0.002569
"dos",0.002331,0,0.011507,0.007107,0.001828,0.003333,0.008631,0.001947,0.002313,0.003296,0.003891,0.003741,0.001363,0.003397,0.005138
"ser",0,0.000938,0.001151,0.004061,0.001219,0.004667,0.001233,0.001947,0.002313,0,0.001297,0.003741,0.002045,0.000679,0.003854
"de",0.099068,0.120075,0.097814,0.123858,0.146252,0.113333,0.131936,0.085659,0.090226,0.070534,0.129702,0.051746,0.124744,0.129755,0.116249
"alli",0,0.002814,0,0.00203,0,0.002667,0.000617,0.000649,0.00347,0.002637,0.001297,0,0.001363,0,0.004496
"eran",0,0.006567,0.001151,0,0,0.003333,0,0.001947,0.001157,0,0.001946,0.001247,0.004772,0.004755,0.001285
"todo",0.004662,0.001876,0.009206,0.004061,0.000609,0.004,0.001233,0.00584,0.004627,0.002637,0.003243,0.004988,0.002727,0.004076,0.000642
"mas",0.006993,0.008443,0.010357,0.004061,0.012188,0.008667,0.005549,0.001947,0.010411,0.004614,0.003243,0.009352,0.00818,0.007473,0.003854
"poco",0.001166,0.001876,0.003452,0.001015,0.005484,0.001333,0.004316,0.000649,0.001735,0.001318,0.000649,0,0.000682,0.002038,0.001285
"una",0.015152,0.014071,0.027618,0.014213,0.007922,0.011333,0.030826,0.02401,0.012146,0.018457,0.013619,0.008105,0.021132,0.02106,0.01991
"su",0.015152,0.006567,0.017261,0.016244,0.0195,0.026,0.01233,0.007787,0.009832,0.021094,0.016213,0.014963,0.014997,0.025815,0.017341
"un",0.019814,0.02439,0.029919,0.016244,0.015844,0.028667,0.043157,0.031798,0.027183,0.026368,0.014267,0.01995,0.018405,0.022418,0.02569
"ya",0.009324,0.002814,0.008055,0.004061,0.001828,0.000667,0.006165,0.002596,0.004049,0.006592,0.003243,0.005611,0.002727,0.001359,0.003854
"todas",0,0.00469,0.002301,0.00203,0.000609,0.001333,0.002466,0.000649,0.000578,0.001318,0.001297,0.001247,0.001363,0.002717,0.002569
"tanto",0.001166,0,0,0.003046,0,0,0,0.001947,0.001157,0,0.001297,0.003741,0.001363,0,0.003854
"tan",0.003497,0.000938,0.001151,0.001015,0,0.003333,0.000617,0.001947,0.005784,0.001978,0.002594,0.002494,0.002727,0.001359,0.001927
"sin",0.008159,0.011257,0.005754,0.006091,0.000609,0.012667,0.007398,0.00584,0.001735,0.001978,0.008431,0.002494,0.003408,0.000679,0.00578
"menos",0.001166,0,0,0.00203,0.000609,0.001333,0,0.003245,0.001157,0.001978,0.000649,0.00187,0.002727,0.001359,0.000642
"ha",0.001166,0,0,0.001015,0.000609,0.001333,0.004932,0,0,0,0,0.003741,0.003408,0.000679,0.002569
"desde",0,0.000938,0.006904,0.00203,0.001828,0.001333,0.001233,0,0.001157,0.004614,0.001946,0.001247,0.006135,0.002038,0.004496
"estaban",0,0.003752,0.002301,0.003046,0.000609,0.001333,0.000617,0.000649,0.00347,0,0.001297,0.00187,0.000682,0.004755,0.000642
"solo",0.002331,0.002814,0,0.003046,0,0,0.001233,0.001947,0.000578,0.002637,0.001946,0.006234,0.002045,0.000679,0.001285
"uno",0.003497,0.001876,0,0.00203,0.001219,0.000667,0.001233,0.001298,0.002892,0.000659,0.001297,0.000623,0,0.001359,0.000642
"esta",0.003497,0,0.001151,0,0.003047,0,0.01233,0.000649,0,0.000659,0,0.004364,0,0,0
"calle",0,0.000938,0.002301,0,0.014016,0.000667,0.002466,0.000649,0.001735,0.000659,0,0,0.002045,0,0.000642
"otro",0.001166,0.000938,0.001151,0.00203,0.000609,0.002,0.00185,0.001298,0.001157,0.001318,0.000649,0.001247,0.002045,0.000679,0
"nadie",0.004662,0,0.001151,0.00203,0,0.002,0.001233,0,0.000578,0.003296,0.000649,0.00187,0.000682,0,0.001927
"unas",0,0,0.004603,0.00203,0.000609,0.003333,0.001233,0.001298,0.002892,0.001318,0.000649,0.001247,0.001363,0.001359,0.000642
"esta2",0,0.002814,0,0.004061,0.006703,0.003333,0,0.000649,0.000578,0.001318,0.003243,0,0.002045,0.002717,0
"yo",0.002331,0,0.003452,0,0,0.002,0,0.004543,0.00694,0,0.00454,0.011845,0.003408,0.001359,0
"muy",0.013986,0.002814,0.004603,0.001015,0.001219,0.004,0.004316,0.001947,0.004049,0.001318,0.002594,0.004364,0.003408,0.002038,0.002569
"nos",0,0,0,0,0,0,0.001233,0,0.00347,0,0.001946,0.003741,0.000682,0.006114,0
"ese",0,0,0,0,0,0,0.000617,0.000649,0.000578,0.001318,0,0.004988,0.006817,0.002038,0.003211
"este",0,0.005629,0,0.006091,0.003047,0.004,0.00185,0.001298,0.000578,0,0.003891,0.00187,0.000682,0.000679,0.000642
"la",0.052448,0.060976,0.067894,0.060914,0.105424,0.068667,0.077065,0.072031,0.064777,0.078444,0.073281,0.072319,0.083845,0.077446,0.089917
"tenia",0.001166,0.002814,0.005754,0.001015,0,0.000667,0,0.005191,0.002313,0.003296,0.000649,0.00187,0.001363,0.000679,0.001285
"porque",0.005828,0,0.002301,0.001015,0.000609,0.002,0,0.001947,0.008097,0.001318,0.001946,0.003117,0.002727,0.002038,0.000642
"podia",0,0,0,0.003046,0,0.002667,0,0.001298,0.002313,0.001318,0.003243,0.003117,0,0.001359,0.000642
"a",0.040793,0.061914,0.049482,0.038579,0.032907,0.058,0.033909,0.047372,0.043378,0.06526,0.055772,0.048628,0.04499,0.045516,0.061015
"tambien",0.005828,0.001876,0,0.003046,0.001828,0.003333,0.003083,0,0.002892,0.001978,0.000649,0.004364,0.001363,0.000679,0.003211
"le",0.022145,0.0197,0.011507,0.013198,0.006703,0.018667,0.008631,0.011032,0.002313,0.009888,0.002594,0.026185,0.007498,0.001359,0.007707
"son",0.003497,0,0.001151,0.00203,0,0,0.003083,0.000649,0.000578,0,0.000649,0.003117,0.002045,0,0.002569
"dia",0,0.002814,0.003452,0,0.000609,0.002,0.003083,0.000649,0.002892,0.003296,0,0.001247,0.002727,0,0.001285
"e",0.001166,0.000938,0,0.003046,0.001219,0.001333,0.000617,0.002596,0,0.000659,0.002594,0,0.002045,0.002038,0.001927
"tres",0.002331,0,0.004603,0.001015,0.003047,0.002,0.002466,0.003894,0.002313,0,0,0.003117,0.002045,0.000679,0.002569
"hecho",0,0.001876,0,0.003046,0.000609,0.000667,0.00185,0.002596,0.000578,0.000659,0.001946,0.001247,0,0.001359,0.001285
"aquel",0,0.001876,0,0.003046,0,0.005333,0,0.001298,0.001157,0,0.001297,0,0,0.003397,0
"el2",0,0.002814,0,0.00203,0.001219,0.001333,0,0.001947,0.004049,0.005274,0.002594,0.002494,0.002045,0,0.001927
"estaba",0,0,0.001151,0.001015,0.000609,0.003333,0,0.004543,0.007519,0.002637,0.00454,0.008105,0.000682,0.000679,0.000642
"lo",0.024476,0.006567,0.01496,0.010152,0.005484,0.003333,0.005549,0.012979,0.0214,0.017139,0.014916,0.024938,0.010907,0.006793,0.007707
"aquella",0,0.000938,0,0.001015,0.000609,0.004667,0.000617,0.001298,0.001735,0,0.001946,0,0.000682,0.004076,0
"ni",0.006993,0.001876,0.001151,0,0,0.005333,0.006165,0.002596,0.008097,0.005274,0.002594,0.007481,0.001363,0.001359,0.003854
"cosas",0.004662,0.002814,0,0.001015,0,0.000667,0.003699,0,0.001157,0,0.001946,0.00187,0,0,0.001285
"o",0.012821,0.014071,0.001151,0.007107,0.005484,0.012,0.006782,0.004543,0.004627,0.007251,0.001946,0.003741,0.009543,0.009511,0.00578
"las",0.029138,0.031895,0.036824,0.029442,0.0195,0.024667,0.023428,0.017521,0.023713,0.029005,0.02594,0.010599,0.02454,0.025136,0.024406
"asi",0,0.00469,0.001151,0.00203,0,0.002,0,0.001947,0.000578,0.004614,0.001946,0.001247,0,0,0.000642
"no",0.037296,0.020638,0.021864,0.02132,0.01036,0.016,0.011714,0.029202,0.026605,0.019117,0.014916,0.028055,0.014997,0.01019,0.008349
"plaza",0,0.000938,0,0,0.005484,0.000667,0.006782,0.000649,0.000578,0.001978,0,0,0.000682,0,0.001927
"siempre",0.003497,0.00469,0.001151,0.00203,0,0,0.001233,0.000649,0.004049,0.005274,0.000649,0.003741,0.003408,0.002038,0.003854
"cuando",0.003497,0.002814,0.003452,0.003046,0.002438,0.006,0.00185,0.004543,0.011567,0.009888,0.005188,0.011845,0.004772,0.002717,0.002569
"ella",0,0.000938,0.003452,0,0.001219,0.000667,0,0.000649,0.002313,0.001978,0.000649,0.001247,0.002727,0.001359,0.006423
"algo",0.002331,0.001876,0,0,0.001828,0.002,0.000617,0.001298,0.001735,0,0.000649,0.003741,0.001363,0.002038,0.002569
"y",0.078089,0.058161,0.059839,0.063959,0.068251,0.068,0.066584,0.081765,0.059572,0.096902,0.058366,0.086035,0.078391,0.076766,0.062299
"algun",0,0.003752,0.004603,0,0,0.002667,0.001233,0.003245,0.000578,0,0.001946,0.000623,0,0,0.001285
"hubiera",0.004662,0.000938,0,0.001015,0.000609,0.002,0.00185,0.000649,0.001735,0.001978,0.001297,0.002494,0.001363,0.002038,0.000642
"sus",0.003497,0.009381,0.010357,0.009137,0.00975,0.011333,0.004316,0.005191,0.002892,0.011206,0.002594,0.004364,0.015678,0.01019,0.010276
