"","Word","CelS","Fdif","Vf","Dent","Ient","NsyS","NsyC","Len","Ncou","Bigr","InBi","spelV","spelN","phonV","phonN","friendsV","friendsN","ffV","ffN","fbV","fbN","ffNonzero","NVratio"
"1","doe",3.912023,1.021651,1.3862944,0.14144,0.02114,0.6931472,0,3,8,7.036333,12.02268,10,3.7376696,41,8.8378264,8,3.2958369,0.6931472,2.7080502,3.4965076,8.8338999,1,3.912023005
"2","whore",4.5217886,0.350483,1.3862944,0.42706,0.94198,1.0986123,0,5,5,9.537878,12.5978,20,7.8709296,38,9.7758246,20,7.8709296,0,0,2.944439,9.6147382,0,4.96284463
"3","stress",6.5057841,2.089356,1.6094379,0.06197,1.44339,2.4849066,1.9459101,6,0,9.883931,13.30069,10,6.6933237,13,7.0405364,10,6.6933237,0,0,1.3862944,5.8171112,0,0.177386757
"4","pork",5.0172798,-0.5263339,1.9459101,0.43035,0,1.0986123,2.6390573,4,8,8.30918,12.07807,5,6.6770835,6,3.8286414,4,3.5263605,0.6931472,6.6346334,1.0986123,2.5649494,1,5.017279837
"5","plug",4.8903491,-1.044545,2.1972246,0.3592,1.75393,2.4849066,2.4849066,4,3,7.943717,11.92678,17,4.7621739,17,4.7621739,17,4.7621739,0,0,0,0,0,0.345873011
"6","prop",4.7706846,0.9248014,1.3862944,0.06268,1.7473,1.6094379,1.3862944,4,9,8.34962,12.19724,19,6.2344107,21,6.2499752,19,6.2344107,0,0,1.0986123,2.1972246,0,-0.802072762
"7","dawn",6.3835066,-0.01542102,1.0986123,0,0.77898,1.7917595,1.0986123,4,6,7.699792,11.32815,10,4.7791235,13,8.8643227,10,4.7791235,0,0,1.3862944,8.8475036,0,1.658656985
"8","dog",7.1592919,-1.048219,3.6888795,1.03052,1.05129,2.0794415,4.4659081,3,13,7.139341,12.02268,13,4.7957905,7,4.7706846,6,3.7612001,1.9459101,1.3862944,0,0,1,3.287626243
"9","arc",4.8903491,2.916268,1.6094379,0.15894,0.57715,1.6094379,2.0794415,3,3,7.747861,13.29079,1,3.7376696,11,6.0913099,0,0,0,0,2.3978953,5.9939614,0,3.36729583
"10","skirt",5.9295891,-0.07873252,1.7917595,0.06664,1.34797,1.9459101,2.0794415,5,3,8.561149,10.3889,7,4.6249728,14,5.164786,7,4.6249728,0,0,2.0794415,4.3040651,0,1.793673345
"11","spree",3.4011974,1.427116,0.6931472,0,0.44886,1.0986123,0,5,1,9.153887,11.50982,15,7.5137092,38,10.132812,14,7.5137092,0.6931472,0,3.2188758,10.0571953,0,3.496507561
"12","are",11.2796937,0.2841352,2.7080502,1.91032,0.00022,0.6931472,0,3,9,8.369135,13.29079,21,8.51037,15,8.571492,0,0,3.0445224,6.3508857,2.7080502,6.786717,1,0.693147181
"13","sprig",3.5263605,2.245427,1.0986123,0.50326,0.89604,1.0986123,0,5,1,8.913321,11.50982,16,6.1903154,15,6.1882641,15,6.1882641,0.6931472,0.6931472,0,0,1,3.891820298
"14","pipe",5.9989366,0.3359761,3.1354942,1.33777,1.3377,2.3025851,3.8501476,4,6,7.912189,11.17479,8,3.9512437,9,5.5294291,8,3.9512437,0,0,0.6931472,5.3033049,0,2.02208438
"15","guard",6.5944135,1.552279,3.1780538,1.50704,1.58535,2.6390573,3.4011974,5,0,8.44458,10.6147,1,3.8918203,14,5.811141,1,3.8918203,0,0,2.6390573,5.6559918,0,1.042522822
"16","tile",4.0775374,-0.6691323,1.7917595,0.118,1.61022,1.3862944,1.7917595,4,13,8.942925,13.2514,11,6.8211075,19,6.9373141,11,6.8211075,0,0,2.1972246,4.7361984,0,1.05391211
"17","slope",5.8021184,1.813134,1.0986123,0,1.60693,1.3862944,1.3862944,5,1,8.733826,10.60569,13,5.7235851,15,5.7930136,13,5.7235851,0,0,1.0986123,3.1354942,0,1.172224106
"18","pile",6.1612073,0.347674,2.1972246,0.29719,1.65206,2.3025851,2.5649494,4,14,8.334696,11.17479,11,6.8211075,19,6.9373141,11,6.8211075,0,0,2.1972246,4.7361984,0,0.35962757
"19","greed",5.0304379,1.351609,1.9459101,0.9975,0,1.0986123,0,5,4,9.137255,11.50271,16,6.5191473,24,6.7604147,16,6.5191473,0,0,2.1972246,5.2257467,0,5.030437921
"20","plum",3.9702919,-0.3551644,1.3862944,0.29338,0.99901,1.0986123,3.988984,4,4,7.852441,11.92678,15,4.5951199,23,8.817594,15,4.5951199,0,0,2.1972246,8.8029735,0,4.691347882
"21","pith",2.4849066,1.203973,1.6094379,0.96662,0,0.6931472,1.0986123,4,2,8.764146,11.17479,4,8.9020473,6,8.9067999,4,8.9020473,0,0,1.0986123,3.5835189,0,2.48490665
"22","whorl",0.6931472,-0.5877867,1.0986123,1,0.54356,1.3862944,0,5,1,9.118241,12.5978,1,0,1,0,0,0,0,0,0,0,0,2.197224577
"23","tide",6.0844994,1.58469,2.7080502,1.10931,0.71751,1.9459101,2.3978953,4,11,8.864618,13.2514,13,6.5581978,27,7.0335065,13,6.5581978,0,0,2.7080502,6.0637852,0,6.304448802
"24","jet",5.4071718,1.487181,2.0794415,0.32577,1.11657,2.0794415,2.3025851,3,10,6.631623,9.70814,13,7.7169061,18,7.7523352,12,7.7039102,0,0,1.7917595,4.4067192,0,3.425150623
"25","blitz",4.1896547,1.299283,1.0986123,0,0.99616,1.3862944,1.0986123,5,0,8.259939,11.84506,1,1.3862944,10,7.5464463,1,1.3862944,0,0,2.3025851,7.5448611,0,0.857450232
"26","weed",5.123964,0.3772942,2.4849066,1.30404,1.54592,1.0986123,3.5835189,4,9,8.750966,12.52566,16,6.5191473,24,6.7604147,16,6.5191473,0,0,2.1972246,5.2257467,0,1.476603141
"27","prow",2.9957323,1.714798,0.6931472,0,0.2864,0.6931472,0,4,8,8.462284,12.19724,28,8.2271082,17,7.7052625,12,7.6980292,2.8332133,7.3382382,1.7917595,2.8332133,1,3.044522438
"28","port",6.0844994,1.369578,2.8332133,1.99394,0.80085,2.0794415,2.3025851,4,9,8.519622,12.07807,8,6.1590954,12,6.5806391,7,6.1590954,0.6931472,0,1.7917595,5.5174529,0,6.363028104
"29","beach",6.9669671,1.291584,1.7917595,0.04335,0.92735,1.0986123,3.0445224,5,5,9.223267,12.85978,9,7.004882,14,7.064759,9,7.004882,0,0,1.7917595,4.2341065,0,4.446105491
"30","while",9.3061959,1.033166,1.9459101,0.48209,0,0.6931472,0.6931472,5,4,9.333076,12.5978,11,6.8211075,19,6.9373141,11,6.8211075,0,0,2.1972246,4.7361984,0,7.95927596
"31","jaw",5.4071718,0.9481841,1.9459101,0.35139,1.09316,1.9459101,1.6094379,3,11,6.032764,8.49433,19,6.6846117,20,6.6908423,18,6.664409,0,0,0.6931472,1.7917595,0,4.015095191
"32","arm",7.548029,0.8918167,3.6635616,1.72528,1.11762,2.1972246,2.5649494,3,3,7.844349,13.29079,6,5.8318825,4,5.6021188,3,5.1761497,1.0986123,4.2626799,0,0,1,3.618913691
"33","plan",7.4627892,1.537464,1.7917595,0.25135,1.94513,2.0794415,3.0445224,4,2,8.602686,11.92678,18,9.1018639,15,9.1010834,15,9.1010834,1.3862944,2.0794415,0,0,1,-0.220740998
"34","pill",5.4553211,1.038893,1.3862944,0.23689,0.99528,1.3862944,2.7080502,4,14,8.304366,11.17479,28,8.1928471,31,8.1942293,28,8.1928471,0,0,1.3862944,1.7917595,0,6.230481448
"35","loft",3.8501476,-0.8647734,2.0794415,1.58512,0.78574,2.0794415,1.6094379,4,3,8.256064,12.33756,3,4.1743873,3,4.1743873,3,4.1743873,0,0,0,0,0,2.890371758
"36","grouch",1.3862944,0.1053605,1.6094379,1,1.09646,1.0986123,0,6,1,9.333099,11.50271,7,4.7004804,6,3.1354942,6,3.1354942,0.6931472,4.4773368,0,0,1,1.609437912
"37","spire",4.5643482,2.590267,1.6094379,0.99738,0.85586,0.6931472,0,5,7,8.952497,11.50982,12,5.6312118,14,5.6347896,12,5.6312118,0,0,1.0986123,0.6931472,0,4.890349128
"38","plate",6.487684,-0.1868774,3.3322045,0.58484,0.99811,2.7725887,3.6109179,5,4,9.226255,11.92678,19,7.3072023,31,7.865188,19,7.3072023,0,0,2.5649494,7.0166097,0,4.505851985
"39","week",8.4875584,-0.8843905,2.7725887,0.72114,0.95122,1.3862944,1.3862944,4,8,8.100316,12.52566,10,6.1180972,32,6.496775,10,6.1180972,0,0,3.1354942,5.3471075,0,8.950662496
"40","spine",5.32301,1.844852,1.9459101,1.20923,0.62714,1.6094379,0,5,7,9.109736,11.50982,20,6.5820251,23,6.7262334,20,6.5820251,0,0,1.3862944,4.7273878,0,5.493061443
"41","glove",4.4188406,-0.08096906,1.7917595,0.29148,0.7877,1.3862944,2.3978953,5,3,8.595285,10.43834,17,6.3595739,4,10.5093051,3,5.4971682,2.7080502,5.8141305,0.6931472,10.5026537,1,5.855071922
"42","beast",5.7004436,1.85456,2.1972246,0.81437,0.96752,1.0986123,0.6931472,5,3,9.43884,12.85978,6,6.3117348,6,6.3207683,5,6.2915691,0.6931472,2.4849066,0.6931472,2.8332133,1,6.200509174
"43","art",7.9973268,1.904209,2.944439,1.15037,0.08936,1.6094379,3.4011974,3,7,8.024234,13.29079,15,6.8575141,12,7.0085052,10,6.5861717,1.6094379,2.944439,0.6931472,5.1590553,1,8.008698183
"44","lisle",1.6094379,0.3285041,0.6931472,0,0,1.0986123,0,5,0,8.963221,12.78698,2,1.9459101,19,6.9373141,2,1.9459101,0,0,2.8903718,6.9314718,0,1.609437912
"45","ant",4.2484952,-0.3282755,5.5174529,5.20728,0.91507,1.0986123,3.1780538,3,5,8.365496,13.96953,11,6.25575,11,5.3565863,9,5.2149358,0.6931472,5.805135,0.6931472,3.1354942,1,5.347107531
"46","chunk",4.1431347,0.2972515,1.0986123,0.60025,0.98356,1.3862944,0,5,3,8.583471,12.67433,18,4.5108595,18,4.6634391,17,4.4998097,0.6931472,0.6931472,0.6931472,2.8332133,1,4.990432587
"47","ease",6.3630281,2.191723,2.7725887,1.41627,1.22471,2.3025851,2.0794415,4,1,8.711285,13.02967,8,4.9836066,30,7.622664,4,4.7095302,1.6094379,3.5835189,3.2958369,7.5673457,1,0.026798193
