"","Condition","BehavioralScore","FilteredSignal"
"1","semantics",-23,41.25
"2","semantics",2.18811881188119,61.25
"3","semantics",1.13861386138614,65
"4","semantics",3.23762376237624,65
"5","semantics",7.43564356435643,62.5
"6","semantics",11.6336633663366,61.25
"7","semantics",14.2574257425743,63.75
"8","semantics",13.2079207920792,63.75
"9","semantics",11.6336633663366,66.875
"10","semantics",8.48514851485148,68.125
"11","semantics",13.7326732673267,66.875
"12","semantics",15.3069306930693,64.375
"13","semantics",17.4059405940594,66.875
"14","semantics",17.4059405940594,71.25
"15","semantics",14.7821782178218,75
"16","semantics",19.5049504950495,73.125
"17","semantics",26.8514851485148,68.125
"18","semantics",27.9009900990099,69.375
"19","irregulars",26.8514851485148,40
"20","irregulars",30,71.875
"21","irregulars",26.8514851485148,65.625
"22","irregulars",24.7524752475248,66.875
"23","irregulars",23.7029702970297,67.5
"24","irregulars",23.7029702970297,60
"25","irregulars",22.1287128712871,62.5
"26","irregulars",20.029702970297,74.375
"27","irregulars",17.9306930693069,63.75
"28","irregulars",15.8316831683168,62.5
"29","irregulars",15.3069306930693,66.875
"30","irregulars",13.7326732673267,63.75
"31","irregulars",12.6831683168317,63.75
"32","irregulars",11.6336633663366,68.75
"33","irregulars",11.1089108910891,70.625
"34","irregulars",10.0594059405941,66.25
"35","irregulars",6.91089108910891,66.25
