"","Verb","WrittenFrequency","NcountStem","MeanBigramFrequency","InflectionalEntropy","Auxiliary","Regularity","LengthInLetters","Denominative","FamilySize","EtymAge","Valency","NVratio","WrittenSpokenRatio"
"1","blijken",9.883183,6,13.84,2.00458,"zijn","irregular",5,"N",1.7917595,"Germanic",4,-3.1923405217772,-1.52605630349505
"2","gloeien",6.908755,4,12.95,2.56009,"hebben","regular",5,"N",2.0794415,"Germanic",5,-6.90875477931522,1.79175946922805
"3","glimmen",7.025538,7,12.86,2.25871,"zijnheb","irregular",4,"N",1.7917595,"Germanic",2,-7.02553831463852,0.693147180559945
"4","rijzen",7.373374,15,13.43,2.22852,"zijn","irregular",4,"N",2.1972246,"Germanic",2,-6.27476202124194,1.09861228866811
"5","werpen",8.493515,8,13.68,2.14988,"hebben","irregular",4,"N",3.9512437,"Germanic",4,-8.49351506406166,1.79175946922805
"6","delven",6.173786,2,14.12,1.91076,"hebben","irregular",4,"N",2.0794415,"WestGermanic",2,-6.17378610390194,1.38629436111989
"7","snikken",6.719013,8,13.24,2.1447,"hebben","regular",4,"N",1.7917595,"Germanic",2,-1.5773495978826,-0.810930216216329
"8","laten",11.109279,16,14.36,1.8393,"hebben","irregular",4,"N",4.1588831,"Germanic",14,-11.1092787026688,0.0791907979244417
"9","snijden",7.894691,0,13.33,2.28617,"zijnheb","irregular",5,"N",3.9318256,"Germanic",8,-7.89469085042562,0.780158557549575
"10","schrikken",8.195058,2,13.49,2.18699,"zijnheb","irregular",6,"N",3.4011974,"DutchGerman",6,-1.01574972139104,-1.01435194505037
"11","zetten",9.778661,19,14.75,1.90597,"hebben","regular",3,"N",4.9052748,"WestGermanic",14,-5.14393203135965,-0.0310905870700307
"12","blazen",7.46049,6,13.84,2.26788,"hebben","irregular",5,"N",3.6888795,"Germanic",8,-2.0488442539703,1.25276296849537
"13","spelen",9.687568,7,13.84,2.27762,"hebben","regular",5,"N",4.9487599,"WestGermanic",13,-9.68756784631124,0.506561224979533
"14","spreken",10.132335,2,13.71,2.3582,"hebben","irregular",6,"N",4.4659081,"WestGermanic",12,-10.132334806767,0.792026061577176
"15","rijgen",4.919981,9,13.32,1.82268,"hebben","irregular",4,"N",2.0794415,"DutchGerman",3,-4.91998092582813,0
"16","krabben",6.558198,8,12.25,2.15739,"hebben","regular",4,"N",2.4849066,"Germanic",4,-1.6094379124341,0.8754687373539
"17","binden",7.590852,9,14.13,2.10731,"hebben","irregular",4,"N",4.2904594,"IndoEuropean",8,-7.59085212368858,2.63905732961526
"18","worden",12.681947,12,14,2.08966,"zijn","irregular",4,"N",2.7080502,"Germanic",4,-12.6819465111743,0.877948589833682
"19","scheiden",7.620705,1,13.92,2.04099,"zijnheb","regular",6,"N",3.8501476,"IndoEuropean",9,-7.62070508683826,0.182321556793955
"20","smijten",6.854355,2,13.03,2.05856,"hebben","irregular",5,"N",2.3978953,"Germanic",3,-6.85435450225502,0.802346472524937
"21","voegen",8.260234,9,14.09,2.10668,"hebben","regular",4,"N",3.3672958,"Germanic",6,-3.431920554305,1.72662016705709
"22","doemen",6.57368,11,13.85,2.09649,"hebben","regular",4,"N",2.1972246,"Germanic",3,-2.49614272305493,0
"23","meten",7.36897,16,14.84,1.85026,"hebben","irregular",4,"N",4.2484952,"Germanic",3,-1.55782940921809,-0.619039208406223
"24","snoeren",5.164786,7,13.7,2.40936,"hebben","regular",5,"Den",2.7080502,"Germanic",1,0.268936029630725,-0.356674943938733
"25","schikken",7.613325,4,13.83,1.89454,"hebben","regular",5,"N",3.4965076,"DutchGerman",8,-2.87712653114614,-0.470003629245735
"26","stinken",6.97073,3,13.91,2.56101,"hebben","irregular",5,"N",2.3978953,"Germanic",2,-6.97073007814353,1.79175946922805
"27","snappen",7.026427,5,12.76,2.13769,"hebben","regular",4,"N",2.5649494,"DutchGerman",3,-5.92781452003153,-0.679749850988124
"28","zeuren",6.380123,10,13.78,2.33323,"hebben","regular",4,"N",2.0794415,"Dutch",2,-3.16124671203156,1.23676262714893
"29","vleien",5.771441,3,13.18,2.65696,"hebben","regular",4,"N",1.6094379,"Germanic",3,-5.77144112313002,0.916290731874155
"30","zien",11.496552,8,14.8,2.28379,"hebben","irregular",3,"N",4.4998097,"Germanic",12,-11.4965521508523,1.02993600646198
"31","klinken",8.998631,6,13.58,1.87326,"hebben","irregular",5,"N",3.0910425,"DutchGerman",5,-4.21950770517611,-1.02961941718116
"32","vlechten",5.771441,4,13.7,1.63227,"hebben","irregular",6,"Den",2.0794415,"IndoEuropean",3,-0.270182912585288,-1.38629436111989
"33","duiken",7.578657,13,13.74,2.29936,"zijnheb","irregular",4,"N",3.4339872,"WestGermanic",6,-3.15981624279816,0.470003629245736
"34","leren",9.594718,24,14.6,1.86583,"hebben","regular",4,"N",4.9199809,"Germanic",7,-2.08483496659895,0.434965772504862
"35","gieten",6.888572,13,14.36,2.09079,"hebben","irregular",4,"N",3.2580965,"Germanic",5,-6.88857245956536,1.97716269255942
"36","wijken",6.777647,12,14,2.55012,"zijn","irregular",4,"N",3.7841896,"IndoEuropean",2,0.0346985005423619,-2.99573227355399
"37","streven",7.672292,5,13.74,2.01546,"hebben","regular",6,"N",2.5649494,"DutchGerman",2,-7.67229245562876,1.79175946922806
"38","strekken",7.579168,3,13.87,2.4363,"hebben","regular",5,"N",2.3025851,"WestGermanic",6,-6.48055567872797,0.78845736036427
"39","zuigen",7.18007,8,13.36,2.41438,"hebben","irregular",4,"N",3.7135721,"IndoEuropean",7,-7.1800698743028,2.07944154167984
"40","scheuren",7.297768,3,13.81,2.70738,"zijnheb","regular",6,"Den",2.9957323,"Germanic",6,-1.58734126515651,0.385662480811984
"41","rijmen",5.549076,9,12.67,1.82273,"hebben","regular",4,"Den",2.7080502,"IndoEuropean",6,-0.312634122065271,-1.70474809223843
"42","bieden",8.947676,9,13.97,2.14783,"hebben","irregular",4,"N",1.7917595,"IndoEuropean",6,-8.94767606249969,0.732367893713227
"43","pluizen",4.025352,3,13.23,1.64757,"hebben","irregular",5,"N",2.1972246,"DutchGerman",3,1.38629436111989,-1.79175946922805
"44","hebben",13.070999,13,13.37,2.38787,"hebben","irregular",3,"N",3.8066625,"IndoEuropean",25,-13.0709985015075,0.18971110299591
"45","vluchten",7.515889,4,13.21,2.57335,"zijn","regular",6,"Den",3.9318256,"Germanic",5,0.285911316693848,-0.980829253011727
"46","gooien",8.432724,10,12.79,2.34347,"hebben","regular",4,"N",3.1780538,"DutchGerman",5,-4.93621647332331,-0.130053128248197
"47","liegen",7.349231,8,13.99,2.30179,"hebben","irregular",4,"N",1.6094379,"Germanic",3,-7.34923082461333,2.30258509299405
"48","zeggen",11.81157,11,14.06,1.73996,"hebben","irregular",3,"N",3.8286414,"Germanic",13,-7.36891847591526,-0.60171849094386
"49","storen",7.238497,10,14.23,2.96007,"hebben","regular",5,"N",3.7841896,"Germanic",2,-7.23849684089437,0.719122666963206
"50","snuiten",5.159055,5,13.23,1.76753,"hebben","irregular",5,"N",1.3862944,"Germanic",2,5.46383180502561,-2.484906649788
"51","stichten",7.25347,0,14.04,2.09206,"hebben","regular",6,"N",3.0910425,"DutchGerman",2,-4.30903140351809,1.67397643357167
"52","kopen",8.845489,16,13.72,2.17676,"hebben","irregular",4,"N",4.5432948,"IndoEuropean",5,-2.0667043390681,-0.234532198278218
"53","treden",8.49167,5,14.06,2.09475,"zijnheb","irregular",5,"N",3.2188758,"Germanic",4,-8.49167023418515,0.82098055206983
"54","vechten",7.883069,5,14.13,2.18075,"hebben","irregular",5,"N",4.2046926,"WestGermanic",4,-7.88306935130575,1.51982575374441
"55","trachten",8.406932,6,13.83,2.20494,"hebben","regular",6,"N",1.6094379,"IndoEuropean",1,-8.4069317971587,2.39789527279837
"56","mikken",5.780744,20,13.84,2.43748,"hebben","regular",3,"N",1.0986123,"Germanic",4,-3.47815842279828,0
"57","zakken",7.955074,16,13.58,2.10039,"hebben","regular",3,"N",4.5849675,"DutchGerman",6,0.521921728402129,-2.86029430265889
