"","Subject","Word","Trial","RT","Condition","Rating","Frequency","BaseFrequency","LengthInLetters","FamilySize","NumberOfSynsets","ResponseToPrime","RTtoPrime","RTmin1","RTmin2","RTmin3","RTmin4"
"1","pp1","basaalheid",81,6.69332366826995,"heid",2.14,0,3.55534806148941,10,0,0,"correct",6.88448665204278,1267,1750,716,1025
"2","pp1","markantheid",83,6.80903930604298,"baseheid",2.73,0,5.16478597392351,11,0,0,"correct",6.55819780281227,1019,807,1267,1750
"3","pp1","ontroerdheid",89,6.50876913697168,"baseheid",3.32,0,5.54907608489522,12,0,1,"correct",6.65157187358973,566,675,660,1358
"4","pp1","contentheid",95,6.57646956904822,"heid",2.5,0,4.49980967033027,11,0,1,"correct",6.96034772910131,854,762,928,669
"5","pp1","riantheid",96,6.85751406254539,"heid",2.36,0,4.53259949315326,9,0,0,"correct",6.8265452235566,718,854,762,928
"6","pp1","tembaarheid",111,6.3491389913798,"baseheid",3.73,0,0,11,1.02667222131998,0,"incorrect",6.82437367004309,997,540,706,598
"7","pp1","onattentheid",115,6.69332366826995,"baseheid",2.73,0,1.6094379124341,12,0,0,"correct",6.84054652928869,590,655,679,572
"8","pp1","bebrildheid",130,7.16780918431644,"heid",1.41,0,3.61091791264422,11,1.35850426878838,3,"incorrect",7.44249272279444,1051,537,757,486
"9","pp1","geurloosheid",143,6.57646956904822,"baseheid",2.95,0,2.56494935746154,12,1.31050613197084,1,"correct",6.26149168432104,794,1169,1674,1277
"10","pp1","ovaalheid",157,6.98100574072173,"heid",2.23,0,5.86078622346587,9,0.526588927497426,1,"correct",6.55393340402581,927,760,766,1038
"11","pp1","erkendheid",172,6.3818160174061,"heid",4.73,0,6.5191472879404,10,0,0,"correct",6.383506634884,703,468,1169,684
"12","pp1","coulantheid",174,6.67329796776765,"heid",2.5,0,1.79175946922805,11,0,1,"correct",7.20489251020467,547,591,703,468
"13","pp1","labielheid",196,6.70808408385307,"baseheid",3.23,0,4.38202663467388,10,0.526588927497426,0,"correct",6.83195356556585,683,1044,1165,1141
"14","pp1","visrijkheid",200,6.53813982376767,"baseheid",2.18,0,3.04452243772342,11,1.72894923152569,4,"correct",6.62007320653036,818,588,596,819
"15","pp1","ondiepheid",206,6.32076829425058,"heid",2.77,0,5.66296048013595,10,1.57000245622518,1,"incorrect",6.96696713861398,660,821,1750,1556
"16","pp1","onwelheid",207,6.99759598298193,"baseheid",2,0,3.97029191355212,9,1.7855468776495,1,"correct",6.57228254269401,556,660,821,1750
"17","pp1","blusbaarheid",209,6.73578001424233,"heid",2.91,0,0,12,1.19470700912477,0,"correct",7.06390396147207,640,1094,556,660
"18","pp1","tilbaarheid",215,6.54678541076052,"baseheid",3.18,0,0,11,1.24844221891489,1,"correct",6.73340189183736,1523,633,605,598
"19","pp1","gammelheid",221,6.54534966033442,"heid",2.55,0,4.91265488573605,10,0,0,"correct",6.82437367004309,1028,1004,789,782
"20","pp1","koketheid",228,6.85329909318608,"baseheid",2,0,4.78749174278205,9,0.741275220811803,0,"correct",7.32778053842163,830,657,1018,614
