"","Word","Frequency","Speaker","Sex","YearOfBirth","DurationOfPrefix","DurationPrefixVowel","DurationPrefixNasal","DurationPrefixPlosive","NumberOfSegmentsOnset","PlosivePresent","SpeechRate"
"24","ontbeten",3.09104245335832,"N01143","female",72,0.113372,0.069467,0.043905,0,1,"no",3.923767
"58","ontbijt",4.84418708645859,"N01041","female",80,0.100478,0.03538,0.065099,0,1,"no",6.884682
"40","ontbijtbuffet",0,"N01157","male",52,0.139806,0.047352,0.092454,0,1,"no",3.533569
"42","ontbijten",3.76120011569356,"N01162","female",60,0.160739,0.095909,0.06483,0,1,"no",5.390836
"60","ontbijtje",1.94591014905531,"N01145","male",74,0.161283,0.064021,0.097262,0,1,"no",6.726457
"21","ontbijtservies",0.693147180559945,"N01134","female",70,0.176658,0.090997,0.085662,0,1,"no",3.131524
"69","ontbinding",1.09861228866811,"N01078","male",76,0.148544,0.066349,0.082195,0,1,"no",5.293806
"83","ontbindt",0.693147180559945,"N01078","male",76,0.158397,0.081294,0.077103,0,1,"no",4.173187
"30","ontbreekt",4.26267987704132,"N01217","male",76,0.086736,0.044805,0.041931,0,2,"no",4.886717
"10","ontbreken",3.71357206670431,"N01011","female",66,0.160132,0.087864,0.072269,0,2,"no",3.992016
"41","ontgaan",3.04452243772342,"N01205","male",61,0.1573,0.071526,0.043838,0.041935,1,"yes",2.542912
"62","ontging",2.19722457733622,"N01069","male",37,0.169992,0.092452,0,0.07754,1,"yes",5.61511
"48","ontgraven",0,"N01020","male",61,0.161262,0.054594,0.03262,0.074047,2,"yes",3.584229
"63","ontgroening",1.09861228866811,"N01147","female",45,0.198056,0.081048,0.051412,0.065595,2,"yes",5.503956
"70","ontheven",0,"N01029","male",39,0.172546,0.04523,0.063658,0.063658,1,"yes",5.089059
"46","onthoud",3.43398720448515,"N01103","female",77,0.168078,0.060065,0.054177,0.053836,1,"yes",4.739336
"45","onthouden",5.40717177146012,"N01132","male",78,0.174686,0.077307,0.097379,0,1,"no",7.289596
"51","onthoudt",3.40119738166216,"N01012","male",73,0.179994,0.082134,0.051035,0.046826,1,"yes",2.893519
"100","onthuld",1.79175946922805,"N01214","female",40,0.232413,0.069477,0.062471,0.100466,1,"yes",4.535147
"43","onthulde",2.07944154167984,"N01089","female",75,0.165369,0.081858,0.029989,0.053523,1,"yes",5.847953
"55","onthullen",1.94591014905531,"N01065","female",78,0.185638,0.093105,0.065116,0.027417,1,"yes",6.396588
"98","ontkend",3.43398720448515,"N01214","female",40,0.170969,0.058683,0.036693,0.075593,1,"yes",6.535948
"78","ontkende",2.83321334405622,"N01096","female",78,0.186745,0.097927,0.047183,0.041636,1,"yes",6.072874
"16","ontkennen",4.12713438504509,"N01058","male",75,0.160937,0.069457,0.040658,0.050822,1,"yes",5.391804
"26","ontkent",3.68887945411394,"N01066","female",78,0.17915,0.064185,0.054051,0.060915,1,"yes",5.678233
"19","ontkom",2.07944154167984,"N01209","female",49,0.215504,0.106594,0.048536,0.060374,1,"yes",6.449423
"50","ontkracht",1.6094379124341,"N01042","male",79,0.140938,0.066415,0.074523,0,2,"no",5.924171
"6","ontlast",1.94591014905531,"N01156","female",42,0.192938,0.078932,0.069001,0.045004,1,"yes",7.264957
"27","ontlasten",1.6094379124341,"N01159","male",44,0.166283,0.060793,0.049661,0.055829,1,"yes",5.188067
"99","ontlasting",2.39789527279837,"N01102","female",77,0.174332,0.086506,0.087826,0,1,"no",5.464481
"18","ontleent",1.6094379124341,"N01068","female",46,0.160403,0.07697,0.036815,0.046618,1,"yes",6.004367
"54","ontloopt",1.6094379124341,"N01147","female",45,0.175413,0.078868,0.044427,0.052119,1,"yes",5.072923
"1","ontluikende",1.6094379124341,"N01068","female",46,0.160924,0.07158,0.034484,0.05486,1,"yes",4.662005
"20","ontmaskerd",0.693147180559945,"N01051","female",79,0.19007,0.088295,0.072045,0.029731,1,"yes",5.91922
"32","ontmaskeren",1.6094379124341,"N01051","female",79,0.143948,0.079394,0.064554,0,1,"no",5.334428
"31","ontmoet",5.08759633523238,"N01212","female",83,0.119349,0.037293,0.028064,0.053992,1,"yes",6.736842
"14","ontmoetingspunt",0.693147180559945,"N01001","female",52,0.161911,0.064651,0.050119,0.047141,1,"yes",5.11883
"28","ontmoette",3.36729582998647,"N01029","male",39,0.201341,0.042246,0.094379,0.064716,1,"yes",4.645761
"77","ontmoetten",2.77258872223978,"N01157","male",52,0.167576,0.06534,0,0.102235,1,"yes",4.261364
"53","ontneemt",1.38629436111989,"N01019","male",62,0.109592,0.038829,0.070763,0,1,"no",5.774278
"101","ontploffing",3.66356164612965,"N01083","female",75,0.115718,0.063117,0.052601,0,2,"no",6.344171
"93","ontploffingen",1.38629436111989,"N01171","female",76,0.11452,0.046475,0.068045,0,2,"no",5.128205
"74","ontploft",3.43398720448515,"N01086","male",69,0.147802,0.087554,0.060248,0,2,"no",4.861631
"90","ontregel",0.693147180559945,"N01031","female",38,0.191336,0.045368,0.081719,0.064248,1,"yes",5.942734
"47","ontroerd",2.30258509299405,"N01089","female",75,0.157852,0.058198,0.041652,0.058002,1,"yes",6.628003
"13","ontroerend",2.484906649788,"N01144","male",71,0.171721,0.070056,0.039766,0.061899,1,"yes",4.427227
"94","ontruimen",1.38629436111989,"N01020","male",61,0.111411,0.058165,0.037272,0.015974,1,"yes",4.574565
"75","ontslaan",3.29583686600433,"N01132","male",78,0.106138,0.046793,0.059345,0,2,"no",5.689001
"39","ontslag",4.63472898822964,"N01151","female",56,0.101774,0.050492,0.051282,0,2,"no",6.076389
"82","ontslagen",4.26267987704132,"N01149","female",25,0.159804,0.065463,0.040167,0.054174,2,"yes",5.167959
"44","ontsloten",2.07944154167984,"N01019","male",62,0.117869,0.074342,0.029348,0.014179,2,"yes",8.310249
