"","Year","Frequency"
"1",1993,12068
"2",1992,6338
"3",1991,3791
"4",1990,3713
"5",1989,2639
"6",1988,1496
"7",1987,1383
"8",1986,1086
"9",1985,1061
"10",1984,855
"11",1983,749
"12",1982,820
"13",1981,667
"14",1980,821
"15",1979,587
"16",1978,538
"17",1977,434
"18",1976,528
"19",1975,528
"20",1974,629
"21",1973,439
"22",1972,580
"23",1971,383
"24",1970,565
"25",1969,508
"26",1968,576
"27",1967,528
"28",1966,393
"29",1965,357
"30",1964,392
"31",1963,355
"32",1962,341
"33",1961,358
"34",1960,430
"35",1959,345
"36",1958,352
"37",1957,331
"38",1956,359
"39",1955,309
"40",1954,357
"41",1953,370
"42",1952,327
"43",1951,287
"44",1950,454
"45",1949,461
"46",1948,449
"47",1947,298
"48",1946,361
"49",1945,1138
"50",1944,472
"51",1943,277
"52",1942,214
"53",1941,257
"54",1940,344
"55",1939,351
"56",1938,404
"57",1937,272
"58",1936,276
"59",1935,244
"60",1934,310
"61",1933,430
"62",1932,234
"63",1931,175
"64",1930,245
"65",1929,215
"66",1928,209
"67",1927,195
"68",1926,155
"69",1925,194
"70",1924,221
"71",1923,179
"72",1922,198
"73",1921,160
"74",1920,267
"75",1919,262
"76",1918,311
"77",1917,203
"78",1916,109
"79",1915,140
"80",1914,316
"81",1913,172
"82",1912,198
"83",1911,128
"84",1910,179
"85",1909,139
"86",1908,122
"87",1907,110
"88",1906,111
"89",1905,131
"90",1904,107
"91",1903,112
"92",1902,84
"93",1901,96
"94",1900,280
"95",1899,75
"96",1898,93
"97",1897,80
"98",1896,84
"99",1895,89
"100",1894,129
"101",1893,80
"102",1892,129
"103",1891,80
"104",1890,58
"105",1889,57
"106",1888,113
"107",1887,78
"108",1886,61
"109",1885,47
"110",1884,63
"111",1883,55
"112",1882,62
"113",1881,50
"114",1880,61
"115",1879,46
"116",1878,92
"117",1877,50
"118",1876,64
"119",1875,57
"120",1874,62
"121",1873,70
"122",1872,49
"123",1871,64
"124",1870,56
"125",1869,105
"126",1868,125
"127",1867,61
"128",1866,53
"129",1865,60
"130",1864,64
"131",1863,49
"132",1862,45
"133",1861,51
"134",1860,33
"135",1859,43
"136",1858,70
"137",1857,53
"138",1856,31
"139",1855,43
"140",1854,43
"141",1853,42
"142",1852,41
"143",1851,39
"144",1850,38
"145",1849,41
"146",1848,111
"147",1847,37
"148",1846,112
"149",1845,42
"150",1844,42
"151",1843,37
"152",1842,51
"153",1841,36
"154",1840,39
"155",1839,39
"156",1838,49
"157",1837,28
"158",1836,35
"159",1835,29
"160",1834,32
"161",1833,32
"162",1832,30
"163",1831,18
"164",1830,34
"165",1829,30
"166",1828,69
"167",1827,35
"168",1826,32
"169",1825,33
"170",1824,29
"171",1823,26
"172",1822,32
"173",1821,23
"174",1820,29
"175",1819,33
"176",1818,37
"177",1817,38
"178",1816,21
"179",1815,37
"180",1814,35
"181",1813,65
"182",1812,36
"183",1811,30
"184",1810,27
"185",1809,26
"186",1808,42
"187",1807,23
"188",1806,30
"189",1805,26
"190",1804,41
"191",1803,34
"192",1802,25
"193",1801,34
"194",1800,57
"195",1799,21
"196",1798,20
"197",1797,50
"198",1796,24
"199",1795,38
"200",1794,25
"201",1793,24
"202",1792,44
"203",1791,48
"204",1790,69
"205",1789,26
"206",1788,25
"207",1787,19
"208",1786,27
"209",1785,32
"210",1784,21
"211",1783,18
"212",1782,13
"213",1781,46
"214",1780,17
"215",1779,28
"216",1778,11
"217",1777,42
"218",1776,30
"219",1775,20
"220",1774,16
"221",1773,25
"222",1772,13
"223",1771,38
"224",1770,11
"225",1769,11
"226",1768,14
"227",1767,10
"228",1766,16
"229",1765,14
"230",1764,16
"231",1763,16
"232",1762,6
"233",1761,32
"234",1760,12
"235",1759,11
"236",1758,6
"237",1757,14
"238",1756,23
"239",1755,14
"240",1754,13
"241",1753,10
"242",1752,12
"243",1751,56
"244",1750,8
"245",1749,11
"246",1748,11
"247",1747,6
"248",1746,17
"249",1745,19
"250",1744,12
"251",1743,14
"252",1742,8
"253",1741,25
"254",1740,5
"255",1739,11
"256",1738,9
"257",1737,12
"258",1736,15
"259",1735,16
"260",1734,8
"261",1733,9
"262",1732,7
"263",1731,34
"264",1730,5
"265",1729,6
"266",1728,4
"267",1727,14
"268",1726,17
"269",1725,9
"270",1724,8
"271",1723,6
"272",1722,6
"273",1721,12
"274",1720,7
"275",1719,5
"276",1718,12
"277",1717,7
"278",1716,10
"279",1715,14
"280",1714,16
"281",1713,18
"282",1712,3
"283",1711,18
"284",1710,5
"285",1709,9
"286",1708,16
"287",1707,8
"288",1706,10
"289",1705,8
"290",1704,9
"291",1703,4
"292",1702,10
"293",1701,35
"294",1700,4
"295",1699,7
"296",1698,4
"297",1697,4
"298",1696,7
"299",1695,22
"300",1694,4
"301",1693,3
"302",1692,1
"303",1691,15
"304",1690,13
"305",1689,18
"306",1688,10
"307",1687,3
"308",1686,8
"309",1685,4
"310",1684,5
"311",1683,5
"312",1682,4
"313",1681,16
"314",1680,5
"315",1679,4
"316",1678,8
"317",1677,3
"318",1676,3
"319",1675,5
"320",1674,12
"321",1673,4
"322",1672,8
"323",1671,8
"324",1670,4
"325",1669,4
"326",1668,6
"327",1667,13
"328",1666,5
"329",1665,3
"330",1664,13
"331",1663,4
"332",1662,11
"333",1661,13
"334",1660,7
"335",1659,4
"336",1658,7
"337",1657,7
"338",1656,11
"339",1655,5
"340",1654,12
"341",1653,6
"342",1652,28
"343",1651,8
"344",1650,24
"345",1649,12
"346",1648,5
"347",1647,3
"348",1646,8
"349",1645,7
"350",1644,6
"351",1643,5
"352",1642,21
"353",1641,8
"354",1640,14
"355",1639,13
"356",1638,3
"357",1637,12
"358",1636,7
"359",1635,6
"360",1634,14
"361",1633,7
"362",1632,15
"363",1631,7
"364",1630,11
"365",1629,5
"366",1628,8
"367",1627,8
"368",1626,8
"369",1625,11
"370",1624,4
"371",1623,8
"372",1622,22
"373",1621,10
"374",1620,10
"375",1619,3
"376",1618,10
"377",1617,10
"378",1616,6
"379",1615,5
"380",1614,6
"381",1613,9
"382",1612,11
