"","Variable","Class","Explanation"
"1","CelS","Meaning","Token frequency"
"2","Fdif","Meaning","Frequency Difference spoken and written language"
"3","Vf","Meaning","Familysize"
"4","Dent","Meaning","Derivational Entropy"
"5","Ient","Meaning","Inflectional Entropy"
"6","NsyS","Meaning","Number of synsets with simple word"
"7","NsyC","Meaning","Number of synsets with word in compound or phrase"
"8","Len","Form","Length in letters"
"9","Ncou","Form","Neighborhood density"
"10","Bigr","Form","Mean log bigram frequency"
"11","InBi","Form","Log initial biphone frequency"
"12","spelV","Form","spelling consistency measure"
"13","spelN","Form","spelling consistency measure"
"14","phonV","Form","spelling consistency measure"
"15","phonN","Form","spelling consistency measure"
"16","friendsV","Form","spelling consistency measure"
"17","friendsN","Form","spelling consistency measure"
"18","ffV","Form","spelling consistency measure"
"19","ffN","Form","spelling consistency measure"
"20","fbV","Form","spelling consistency measure"
"21","fbN","Form","spelling consistency measure"
"22","ffNonzero","Form","spelling consistency measure"
"23","NVratio","Meaning","ratio of frequency as noun versus verb"
