"","Rating","Subject","Word","Class","Naive","Language","MeanFamiliarity"
"1",6,"Jer","horse","animal","naive","English",3.3322045
"2",2,"Jer","gherkin","plant","naive","English",0
"3",3,"Jer","hedgehog","animal","naive","English",0
"4",2,"Jer","bee","animal","naive","English",1.7917595
"5",1,"Jer","peanut","plant","naive","English",0.6931472
"6",2,"Jer","pear","plant","naive","English",0
"7",3,"Jer","pineapple","plant","naive","English",0
"8",3,"Jer","frog","animal","naive","English",2.0794415
"9",1,"Jer","blackberry","plant","naive","English",0.6931472
"10",2,"Jer","pigeon","animal","naive","English",1.0986123
"11",3,"Jer","tortoise","animal","naive","English",0
"12",3,"Jer","tomato","plant","naive","English",0
"13",5,"Jer","pig","animal","naive","English",2.7725887
"14",6,"Jer","donkey","animal","naive","English",0
"15",3,"Jer","magpie","animal","naive","English",0
"16",3,"Jer","melon","plant","naive","English",1.0986123
"17",2,"Jer","paprika","plant","naive","English",0
"18",3,"Jer","squirrel","animal","naive","English",0
"19",2,"Jer","beetroot","plant","naive","English",0
"20",3,"Jer","snake","animal","naive","English",1.6094379
"21",4,"Jer","goat","animal","naive","English",1.9459101
"22",2,"Jer","cucumber","plant","naive","English",0
"23",1,"Jer","strawberry","plant","naive","English",0
"24",4,"Jer","fox","animal","naive","English",1.7917595
"25",1,"Jer","walnut","plant","naive","English",0
"26",3,"Jer","broccoli","plant","naive","English",0
"27",3,"Jer","bat","animal","naive","English",2.1972246
"28",4,"Jer","dog","animal","naive","English",3.1354942
"29",2,"Jer","butterfly","animal","naive","English",0
"30",2,"Jer","spider","animal","naive","English",0.6931472
"31",3,"Jer","apricot","plant","naive","English",0
"32",3,"Jer","owl","animal","naive","English",1.3862944
"33",2,"Jer","mushroom","plant","naive","English",0.6931472
"34",3,"Jer","gull","animal","naive","English",1.6094379
"35",4,"Jer","dolphin","animal","naive","English",0
"36",2,"Jer","clove","plant","naive","English",0
"37",6,"Jer","reindeer","animal","naive","English",0
"38",6,"Jer","shark","animal","naive","English",0.6931472
