"","Word","Onset1Type","Onset2Type","VowelType","ConsonantType","Obstruent","Nsyll","Stress","Voice"
"1","madelief","None","Sonorant","iuy","None","F",3,"F","voiced"
"2","boes","None","Obstruent","iuy","None","S",1,"F","voiced"
"3","accuraat","None","Sonorant","long","None","T",3,"F","voiceless"
"4","soort","None","Obstruent","long","Sonorant","T",1,"F","voiceless"
"5","pof","None","Obstruent","short","None","F",1,"F","voiceless"
"6","dras","Obstruent","Sonorant","short","None","S",1,"F","voiceless"
"7","boog","None","Obstruent","long","None","X",1,"F","voiced"
"8","keest","None","Obstruent","long","Obstruent","T",1,"F","voiceless"
"9","trots","Obstruent","Sonorant","short","Obstruent","S",1,"F","voiceless"
"10","kruif","Obstruent","Sonorant","long","None","F",1,"F","voiced"
"11","gild","None","Obstruent","short","Sonorant","T",1,"F","voiced"
"12","kort","None","Obstruent","short","Sonorant","T",1,"F","voiceless"
"13","rot","None","Sonorant","short","None","T",1,"F","voiceless"
"14","nerf","None","Sonorant","short","Sonorant","F",1,"F","voiced"
"15","tjirp","Obstruent","Sonorant","short","Sonorant","P",1,"F","voiceless"
"16","serieus","None","Sonorant","long","None","S",3,"F","voiced"
"17","plant","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiceless"
"18","lot","None","Sonorant","short","None","T",1,"F","voiceless"
"19","piet","None","Obstruent","iuy","None","T",1,"F","voiceless"
"20","nest","None","Sonorant","short","Obstruent","T",1,"F","voiceless"
"21","vlees","Obstruent","Sonorant","long","None","S",1,"F","voiced"
"22","voet","None","Obstruent","iuy","None","T",1,"F","voiceless"
"23","wend","None","Sonorant","short","Sonorant","T",1,"F","voiced"
"24","zerp","None","Obstruent","short","Sonorant","P",1,"F","voiceless"
"25","peg","None","Obstruent","short","None","X",1,"F","voiced"
"26","smelt","Obstruent","Sonorant","short","Sonorant","T",1,"F","voiceless"
"27","rapport","None","Obstruent","short","Sonorant","T",2,"F","voiceless"
"28","suf","None","Obstruent","short","None","F",1,"F","voiceless"
"29","jens","None","Sonorant","short","Sonorant","S",1,"F","voiced"
"30","mot","None","Sonorant","short","None","T",1,"F","voiceless"
"31","plemp","Obstruent","Sonorant","short","Sonorant","P",1,"F","voiceless"
"32","dorst","None","Obstruent","short","Obstruent","T",1,"F","voiceless"
"33","stelp","Obstruent","Obstruent","short","Sonorant","P",1,"F","voiceless"
"34","tred","Obstruent","Sonorant","short","None","T",1,"F","voiced"
"35","klop","Obstruent","Sonorant","short","None","P",1,"F","voiceless"
"36","toef","None","Obstruent","iuy","None","F",1,"F","voiceless"
"37","etiket","None","Obstruent","short","None","T",3,"F","voiceless"
"38","wijd","None","Sonorant","long","None","T",1,"F","voiced"
"39","draag","Obstruent","Sonorant","long","None","X",1,"F","voiced"
