"","Verb","WrittenFrequency","FamilySize","LengthInLetters","VerbalSynsets","MeanBigramFrequency","NcountStem","Regularity","InflectionalEntropy","Auxiliary","Valency","NVratio","WrittenSpokenRatio"
"1","stelen",1.6094379124341,2.56494935746154,5,1,14.47,9,"regular",1,"hebben",3,4.36691299686383,-2.30258509299405
"2","tollen",5.41164605185504,2.39789527279837,3,1,13.61,26,"regular",2.4864,"zijnheb",3,-0.0789272585896708,-2.35137525716348
"3","blijken",9.88318279919576,1.79175946922805,5,1,13.84,6,"irregular",2.00458,"zijn",4,-3.1923405217772,-1.52605630349505
"4","gloeien",6.90875477931522,2.07944154167984,5,3,12.95,4,"regular",2.56009,"hebben",5,-6.90875477931522,1.79175946922805
"5","kakken",3.78418963391826,2.07944154167984,3,1,13.48,24,"regular",1.99257,"hebben",2,-0.526093095896779,-1.38629436111989
"6","morren",5.4380793089232,0.693147180559945,3,1,14.2,19,"regular",2.55696,"hebben",2,-5.4380793089232,2.83321334405622
"7","glimmen",7.02553831463852,1.79175946922805,4,2,12.86,7,"irregular",2.25871,"zijnheb",2,-7.02553831463852,0.693147180559945
"8","rijzen",7.37337430991005,2.19722457733622,4,4,13.43,15,"irregular",2.22852,"zijn",2,-6.27476202124194,1.09861228866811
"9","tieren",5.77765232322266,1.38629436111989,4,3,14.61,19,"regular",2.51751,"hebben",2,-5.77765232322266,0.693147180559945
"10","werpen",8.49351506406166,3.95124371858143,4,3,13.68,8,"irregular",2.14988,"hebben",4,-8.49351506406166,1.79175946922805
"11","knutselen",4.70048036579242,1.38629436111989,7,3,12.8,1,"regular",2.31476,"hebben",2,-4.70048036579242,0.405465108108164
"12","dempen",6.16961073249146,1.94591014905531,4,2,13.76,4,"regular",2.2606,"hebben",1,-6.16961073249146,0.693147180559945
"13","delven",6.17378610390194,2.07944154167984,4,2,14.12,2,"irregular",1.91076,"hebben",2,-6.17378610390194,1.38629436111989
"14","delven",6.17378610390194,2.07944154167984,4,2,14.12,2,"irregular",1.91076,"hebben",2,-6.17378610390194,1.38629436111989
"15","snikken",6.71901315438526,1.79175946922805,4,1,13.24,8,"regular",2.1447,"hebben",2,-1.5773495978826,-0.810930216216329
"16","laten",11.1092787026688,4.15888308335967,4,12,14.36,16,"irregular",1.8393,"hebben",14,-11.1092787026688,0.0791907979244417
"17","doven",6.37842618365159,2.77258872223978,4,2,13.73,13,"regular",2.58435,"hebben",2,-6.37842618365159,-1.64222773525709
"18","rusten",7.83161727635261,3.98898404656427,4,3,13.59,13,"regular",1.87861,"hebben",7,0.36784692125955,-0.77786935395544
"19","snijden",7.89469085042562,3.93182563272433,5,10,13.33,0,"irregular",2.28617,"zijnheb",8,-7.89469085042562,0.780158557549575
"20","veinzen",5.12989871492307,1.09861228866811,5,1,14.27,3,"regular",2.38589,"hebben",3,-5.12989871492307,1.38629436111989
"21","schrikken",8.19505769089508,3.40119738166216,6,3,13.49,2,"irregular",2.18699,"zijnheb",6,-1.01574972139104,-1.01435194505037
"22","schrikken",3.55534806148941,3.40119738166216,6,3,13.49,2,"regular",0.834347,"zijnheb",6,3.62395990801462,-5.2040066870768
