"","PlateID","Test.Substance","Teratogenicity.in.vivo","Sample","Rep..","Label","Conc..ug.ml.","Detector","Avg.delta.Ct","delta.Ct.SD","delta.delta.Ct","RQ","X..RQ","X100..Custom..","X100...Custom..","Custom..","Custom...1","RQ.Min","RQ.Max","Threshold"
"1","A0046011","Compound G","Non","Sample 13","Rep 16","Ctrl",0,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62
"2","A0046011","Compound G","Non","Sample 30","Rep 16","P9",183,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62
"3","A0046011","Compound G","Non","Sample 48","Rep 16","P8",269,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62
"4","A0046011","Compound G","Non","Sample 67","Rep 16","P7",396,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62
"5","A0046011","Compound G","Non","Sample 86","Rep 16","P6",582,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62
"6","A0046011","Compound G","Non","Sample 105","Rep 16","P5",856,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62
"7","A0046011","Compound G","Non","Sample 123","Rep 16","P4",1259,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62
"8","A0046011","Compound G","Non","Sample 140","Rep 16","P3",1851,"ProbeType 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62
"9","A0046011","Compound G","Non","Sample 13","Rep 16","Ctrl",0,"ProbeType 1",-2.35,0.07,0,1,100,12.53,11.14,0.13,0.11,0.89,1.13,0.51
"10","A0046011","Compound G","Non","Sample 30","Rep 16","P9",183,"ProbeType 1",-3.95,0.1,-1.59,3.01,301.37,54.7,46.3,0.55,0.46,2.55,3.56,0.51
"11","A0046011","Compound G","Non","Sample 48","Rep 16","P8",269,"ProbeType 1",-1.91,0.04,0.44,0.74,73.62,5.11,4.78,0.05,0.05,0.69,0.79,0.51
"12","A0046011","Compound G","Non","Sample 67","Rep 16","P7",396,"ProbeType 1",-1.23,0.08,1.12,0.46,45.88,6.62,5.79,0.07,0.06,0.4,0.52,0.51
"13","A0046011","Compound G","Non","Sample 86","Rep 16","P6",582,"ProbeType 1",-1.03,0.05,1.33,0.4,39.84,3.81,3.48,0.04,0.03,0.36,0.44,0.51
"14","A0046011","Compound G","Non","Sample 105","Rep 16","P5",856,"ProbeType 1",-1.14,0.05,1.21,0.43,43.13,3.62,3.34,0.04,0.03,0.4,0.47,0.51
"15","A0046011","Compound G","Non","Sample 123","Rep 16","P4",1259,"ProbeType 1",1.45,0.17,3.8,0.07,7.16,2.36,1.78,0.02,0.02,0.05,0.1,0.51
"16","A0046011","Compound G","Non","Sample 140","Rep 16","P3",1851,"ProbeType 1",0.8,0.15,3.16,0.11,11.21,3.14,2.45,0.03,0.02,0.09,0.14,0.51
"17","A0046011","Compound G","Non","Sample 13","Rep 16","Ctrl",0,"ProbeType 2",-4.64,0.04,0,1,100,6.96,6.51,0.07,0.07,0.93,1.07,0.5
"18","A0046011","Compound G","Non","Sample 30","Rep 16","P9",183,"ProbeType 2",-5.51,0.09,-0.86,1.82,182.13,28.49,24.63,0.28,0.25,1.57,2.11,0.5
"19","A0046011","Compound G","Non","Sample 48","Rep 16","P8",269,"ProbeType 2",-4.32,0.05,0.32,0.8,80.22,6.62,6.12,0.07,0.06,0.74,0.87,0.5
"20","A0046011","Compound G","Non","Sample 67","Rep 16","P7",396,"ProbeType 2",-3.06,0.07,1.58,0.33,33.38,4.23,3.76,0.04,0.04,0.3,0.38,0.5
"21","A0046011","Compound G","Non","Sample 86","Rep 16","P6",582,"ProbeType 2",-2.14,0.06,2.51,0.18,17.62,1.87,1.69,0.02,0.02,0.16,0.19,0.5
"22","A0046011","Compound G","Non","Sample 105","Rep 16","P5",856,"ProbeType 2",-2.69,0.03,1.95,0.26,25.82,1.37,1.3,0.01,0.01,0.25,0.27,0.5
"23","A0046011","Compound G","Non","Sample 123","Rep 16","P4",1259,"ProbeType 2",-1.46,0.08,3.18,0.11,11.01,1.59,1.39,0.02,0.01,0.1,0.13,0.5
