"","Maastricht","Single European Act","Marriage","Right to Life","Divorce","Electorate 92","Abortion","Right to Travel","Right to Information"
"Carlow Kilkenny",0.714868,0.719522,0.318548,0.687952,0.456686,81192,0.379596,0.615757,0.592
"Cavan Monaghan",0.700179,0.798314,0.274747,0.814445,0.374015,79004,0.395759,0.542822,0.51943
"Clare",0.744427,0.772537,0.315868,0.738507,0.437776,65579,0.371309,0.61579,0.596633
"Cork East",0.694868,0.66399,0.294516,0.718819,0.431651,58160,0.317943,0.531393,0.52276
"Cork Nth Central",0.654847,0.541488,0.305204,0.646638,0.466064,68209,0.316082,0.579916,NA
"Cork North West",0.703931,0.720383,0.209767,0.814084,0.339257,44578,0.296031,0.489793,0.464602
"Cork Sth Central",0.706618,0.616047,0.375786,0.557946,0.528643,75747,0.323734,0.647688,0.6164
"Cork South West",0.704315,0.692447,0.269099,0.769995,0.394246,44627,0.325379,0.531144,0.505933
"Donegal Nth East",0.590882,0.654261,0.266048,0.829145,0.405839,46934,0.278876,0.411313,0.414091
"Donegal Sth West",0.582488,0.684272,0.301847,0.821745,0.408787,48494,0.304818,0.386107,0.417696
"Dublin Central",0.594219,0.580301,0.391343,0.620149,0.572593,59941,0.325742,0.61722,0.584672
"Dublin North",0.735884,0.730799,0.506181,0.537738,0.653376,62917,0.378713,0.770102,0.74168
"Dublin Nth Central",0.652594,0.659534,0.439733,0.573155,0.582718,64349,0.316998,0.682867,0.649086
"Dublin Nth East",0.63693,0.632376,0.510463,0.491956,0.648958,57888,0.36231,0.749376,0.721728
"Dublin Nth West",0.568469,0.543266,0.476036,0.52453,0.607872,57951,0.339857,0.692711,0.662491
"Dublin South",0.739824,0.740583,0.5443,0.454157,0.645022,84767,0.273562,0.780151,0.743856
"Dublin Sth Central",0.629448,0.610915,0.454904,0.565159,0.584937,63316,0.31783,0.69964,0.649294
"Dublin Sth East",0.66137,0.677436,0.537151,0.492992,0.648514,68366,0.262583,0.710103,0.678686
"Dublin Sth West",0.652204,0.590775,0.535387,0.492209,0.669226,69654,0.399222,0.761384,0.735124
"Dublin West",0.655921,0.614614,0.488449,0.547371,0.654513,57755,0.393829,0.709681,0.714597
"Dun Laoghaire",0.741837,0.762454,0.587863,0.420345,0.666922,85924,0.299098,0.805834,0.758645
"Galway East",0.749632,0.83116,0.232289,0.802712,0.349798,42604,0.381085,0.566139,0.543804
"Galway West",0.674706,0.733322,0.369437,0.644964,0.488285,78539,0.331748,0.634513,0.608364
"Kerry North",0.644299,0.597934,0.269967,0.770056,0.408895,48606,0.315321,0.528107,0.503042
"Kerry South",0.669967,0.666744,0.240264,0.817811,0.382694,44034,0.367327,0.562544,0.540971
"Kildare",0.736526,0.735582,0.449821,0.594366,0.576606,77798,0.391093,0.718539,NA
"Laois Offaly",0.677577,0.732004,0.266484,0.777836,0.401194,77226,0.371889,0.565439,0.538377
"Limerick East",0.722987,0.714836,0.351591,0.684236,0.500831,71004,0.317582,0.613296,0.577542
"Limerick West",0.718348,0.805101,0.249141,0.793271,0.368739,44768,0.306266,0.513105,0.491005
"Longford Westmeath",0.738801,0.765349,0.292167,0.762698,0.35268,60452,0.385966,0.549082,0.532266
"Louth",0.701702,0.701088,0.358674,0.702941,0.517706,65666,0.388374,0.593695,0.571522
"Mayo East",0.741693,0.819839,0.242719,0.837853,0.370938,43392,0.371047,0.552368,0.528892
"Mayo West",0.747756,0.806959,0.263355,0.812358,0.4147,43407,0.40513,0.594496,0.578409
"Meath",0.711779,0.736976,0.317236,0.72952,0.479479,77900,0.397296,0.648033,0.616381
"Roscommon",0.718506,0.800286,0.22676,0.837864,0.411319,60675,0.373187,0.565924,0.543882
"Sligo Leitrim",0.715775,0.754597,0.294969,0.771336,0.383713,42633,0.33905,0.537214,0.513143
"Tipperary North",0.671471,0.745827,0.255431,0.794046,0.422835,56705,0.337528,0.527112,0.529799
"Tipperary South",0.671712,0.747933,0.271665,0.7614,0.497466,63692,0.324374,0.624072,0.616377
"Waterford",0.73214,0.679764,0.330656,0.688104,0.417252,46128,0.372798,0.561288,0.541387
"Wexford",0.708413,0.722634,0.307661,0.728451,0.485075,75553,0.369959,0.613187,0.568658
"Wicklow",0.686927,0.694026,0.468976,0.5722,0.589961,76707,0.366355,0.660588,0.688603
