"","P","A","B","C","D","E"
"AI161452",-0.754622313,-2.244790958,-2.415724103,-0.818182919,1.012189243,0.883981888
"AI161500",-2.062193413,0.212753199,0.355684191,0.221973944,-0.671480836,0.347747148
"AI161513",0.170834213,1.326561676,0.409324676,-1.200352569,-3.331698962,-2.019494393
"AI161572",-1.183727925,-1.529204294,-2.151225411,-1.014534919,1.184428173,-0.403386909
"AI161573",-1.863785718,-2.149577862,-2.510841176,-0.84447055,1.495222259,-1.766225869
"AI161629",1.59173599,1.0212036,-0.151936992,-1.354313601,-2.709931505,-1.312941124
"AI161638",-1.823619852,-2.543644193,-2.450672823,-0.462952584,1.432740296,-0.810631148
"AI161674",-2.13757838,-2.524851841,-2.406512322,-0.505969472,1.310381229,-0.865249401
"AI161694",-1.477888213,-1.013910266,-0.695239279,0.720162023,1.079090435,-1.684463384
"AI161697",-2.052714393,-2.795053237,-2.670051013,-0.664452763,1.417345028,0.034590467
"AI161730",-1.839687535,-1.577624799,-0.831584135,0.87035369,1.047366616,-0.207565788
"AI161823",-1.955497998,-2.399615804,-2.663801508,-0.961078876,1.619897498,0.172045181
"AI161827",-1.675897578,-1.255387652,-1.524824733,-0.505770741,1.2587875,1.141937341
"AI161899",-1.52451681,-1.087318594,-0.707950144,0.750181595,1.03748138,-1.694302605
"AI162004",-1.123471885,0.236794151,0.652923544,0.581161784,-1.887549776,-2.384019882
"AI162060",-1.954108377,-2.950466296,-2.487413589,-0.217765652,1.320583299,-0.410103552
"AI162092",-2.341702488,-2.928362112,-2.7103028,-0.60613867,1.330597346,-0.813097161
"AI162094",-1.840017788,-2.039463723,-2.668271039,-1.306845715,1.410364574,-0.688382703
"AI162148",-1.374710934,-0.77402056,-1.102364436,-0.047122071,1.214190382,-1.936337707
"AI162157",-1.076386714,-1.850668282,-0.605549762,1.39789276,0.102788763,-1.912652338
"AI162158",-0.402554996,0.612814734,0.303156644,0.456866953,-0.151737993,-2.617929024
"AI162215",-1.559065372,-2.598873304,-2.029919212,0.190677696,1.171162024,-0.947856361
"AI162216",3.532746283,1.108934007,-1.125136023,-2.345339749,-1.965282143,-1.140025489
"AI162249",-1.979704209,-1.27848979,-0.411268608,0.283575066,-0.965466179,1.918652764
"AI162318",-2.334179894,-2.793818737,-2.329785429,-0.367523136,1.178821516,1.099231217
"AI162370",-0.173795611,0.74194749,0.683179866,0.089331509,-2.492106909,-2.638876378
"AI162402",-0.933759247,-2.314811657,-2.521775092,-0.897675774,1.138191055,0.920777964
"AI162429",0.615278676,-1.549276698,-1.044210083,0.925884047,0.956321366,-0.674992429
"AI162452",-1.7665722,-1.959784278,-1.085933812,0.6682951,0.800620704,1.118880994
"AI162521",2.161814105,0.74787424,-0.640818684,-1.549220565,-2.037491601,-0.616943967
"AI162561",1.775580827,0.774707899,0.209072018,-0.074778101,-1.560309236,-1.758685083
"AI162593",-0.672398242,0.290456151,0.645175203,0.578938163,-1.896889034,-2.277559191
"AI162600",-1.990214293,-2.056740983,-2.430500115,-0.918341999,1.340724685,-1.418203977
"AI162652",0.836685916,0.986648169,0.396004793,-0.206046232,-1.877617361,-2.506810392
"AI162684",-1.956124778,-2.607012464,-2.700270652,-0.906343073,1.273698837,-0.264661762
"AI162710",-2.189622786,-2.958017802,-2.83120054,-0.987113582,1.064745222,1.062886984
"AI162729",-2.088029456,-2.950650141,-2.725113226,-0.69274459,1.181342943,0.076921151
"AI162809",0.072576996,1.151523583,0.304713614,-1.125717695,-3.108041058,-1.988022665
