"","occurMA","occurWP"
"Acartauchenius scurrilis",3,22
"Achaearanea riparia",2,27
"Achaearanea simulans",3,26
"Aculepeira ceropegia",2,41
"Aelurillus v-insignitus",10,35
"Agalenatea redii",28,51
"Agelena labyrinthica",20,45
"Agraecina lineata",1,7
"Agroeca brunnea",15,28
"Agroeca cuprea",7,29
"Agroeca inopina",16,8
"Agroeca lusatica",6,21
"Agroeca proxima",18,29
"Agyneta cauta",2,27
"Agyneta conigera",5,29
"Agyneta decora",1,22
"Agyneta ramosa",2,25
"Agyneta subtilis",7,26
"Alioranus pauper",1,6
"Allagelena gracilens",6,27
"Allomengea vidua",1,19
"Alopecosa accentuata",8,23
"Alopecosa albofasciata",6,30
"Alopecosa barbipes",15,18
"Alopecosa cuneata",21,36
"Alopecosa cursor",5,29
"Alopecosa fabrilis",7,25
"Alopecosa pulverulenta",24,44
"Alopecosa striatipes",7,17
"Alopecosa trabalis",5,30
"Altella lucida",3,11
"Amaurobius erberi",14,27
"Amaurobius fenestralis",10,34
"Amaurobius ferox",34,28
"Amaurobius similis",25,23
"Anelosimus pulchellus",3,20
"Anelosimus vittatus",26,32
"Antistea elegans",19,32
"Anyphaena accentuata",35,40
"Aphantaulax trifasciata",6,22
"Aphileta misera",5,20
"Apostenus fuscus",2,23
"Araeoncus humilis",8,37
"Araneus alsine",5,30
"Araneus angulatus",14,42
"Araneus diadematus",56,52
"Araneus marmoreus",3,37
"Araneus pallidus",2,5
"Araneus quadratus",17,37
"Araneus sturmi",8,34
"Araneus triguttatus",12,28
"Araniella cucurbitina",31,49
"Araniella inconspicua",2,26
"Araniella opisthographa",7,31
"Archaeodictyna ammophila",1,13
"Arctosa cinerea",8,49
"Arctosa fulvolineata",11,11
"Arctosa leopardus",25,41
"Arctosa perita",19,41
"Arctosa villica",2,6
"Argenna patula",8,26
"Argenna subnigra",9,30
"Argiope bruennichi",50,41
"Argyroneta aquatica",8,36
"Attulus helveolus",1,3
"Atypus affinis",28,29
"Atypus piceus",3,20
"Aulonia albimana",29,35
"Ballus chalybeius",22,35
"Ballus rufipes",1,9
"Baryphyma pratense",5,13
"Baryphyma trifrons",2,18
"Bathyphantes approximatus",9,28
"Bathyphantes gracilis",38,39
"Bathyphantes nigrinus",3,29
"Bathyphantes parvulus",9,23
"Bianor albobimaculatus",1,16
"Carrhotus xanthogramma",2,27
"Centromerita bicolor",15,34
