"","Year","Flow","Winter","Spring","Summer","Fall"
"1",1924,43000,59.14,82.35,133.86,111.03
"2",1925,9000,70.73,90.63,127.72,98.3
"3",1926,21000,50.71,78.66,129.42,115.67
"4",1927,40000,77.42,102.34,128.67,102.29
"5",1928,2600,61.42,87.01,125.08,110.35
"6",1929,15000,70.95,91.35,129.01,101.9
"7",1930,8300,45.76,96.01,134.34,104.37
"8",1931,22000,58.77,100.67,133.38,118.98
"9",1932,57000,74.73,98.04,128.01,105.1
"10",1933,4200,64.8,96.95,131.74,102.99
"11",1934,5500,62.58,91.29,129.38,98.66
"12",1935,15200,65.08,90.7,126.1,105.7
"13",1936,13800,67.11,91.3,130.02,98.98
"14",1937,88000,72.41,89.32,123.98,105.68
"15",1938,24100,65.6,90.65,127.39,105.7
"16",1939,9050,57.72,89.33,116.36,100.74
"17",1940,4610,58.31,89.32,122.65,113.69
"18",1941,117000,71.47,105.32,141.35,125.14
"19",1942,5140,91.14,101.62,145.42,112.74
"20",1943,16500,79.19,95.59,123.73,96.32
"21",1944,4560,60.02,90.02,125.61,97.33
"22",1945,5450,72.11,97.96,135.38,109.04
"23",1946,15100,64,91.21,124.74,107.7
"24",1947,6170,63.61,101.98,134.7,112.4
"25",1948,5960,70.58,96.67,124.65,101.05
"26",1949,15500,68.41,91.35,123.97,100.7
"27",1950,5930,69.09,91.23,132.98,101.96
"28",1951,27600,47.48,80.37,116.1,92.36
"29",1952,111000,49.28,94.34,125.82,111.36
"30",1953,4320,75.77,96.26,127.02,99
"31",1954,40800,75.41,100.12,131.4,111.3
"32",1955,8640,67.49,85.09,121.65,105.68
"33",1956,1460,62.49,83.27,113.38,92.67
"34",1957,6720,57.22,80.98,113.34,99.31
"35",1958,24000,61.59,98.71,129.04,114.67
"36",1959,12100,77.89,93.04,118.7,100.62
"37",1960,78200,76.67,87.32,131.37,100.38
"38",1961,2590,64.27,85.34,125,99.75
"39",1962,8540,69.51,99.75,130.36,105.65
"40",1963,31300,63.67,94.29,123.76,96.34
"41",1964,3620,70.36,85,130.64,118.07
"42",1965,20400,78.15,88.64,119.68,92.36
"43",1966,68800,65.61,97.51,144.04,120.37
"44",1967,5600,69.41,102.71,129.29,107.73
"45",1968,17200,60.82,96.22,127.02,108
"46",1969,6100,56.79,91.27,125.37,110
"47",1970,17300,64.72,100.58,132.05,108.08
"48",1971,12800,74.41,92.59,125.41,87.66
"49",1972,30200,51.89,81.35,123.93,95.33
"50",1973,70000,55.77,103.3,134.74,120.4
"51",1974,1500,84.03,89.33,116.4,90.44
"52",1975,10100,50.2,84.29,123.66,94.35
"53",1976,16000,64.52,82.72,114.67,90.98
"54",1977,10200,53.32,91.59,135.77,101.97
"55",1978,89400,60.13,95.7,135.67,117.4
"56",1979,95800,83.83,96.28,114.37,104.69
"57",1980,99000,67.62,95.99,123.3,106.04
"58",1981,2550,69.13,93.97,130.39,108.32
"59",1982,15200,62,101.02,119.04,103.42
"60",1983,17600,69.31,98.3,143.72,125.33
"61",1984,59800,97.83,106.39,139.4,107.64
"62",1985,46600,70.03,97.63,128.63,108.05
"63",1987,7560,63.83,97.72,119.43,108.01
"64",1988,11000,80.89,116.01,140.43,112
"65",1989,2040,74.49,92.24,130.58,90.34
"66",1990,6710,62.14,83.41,127.33,100.98
"67",1991,71300,85.53,94.3,129.05,110.98
"68",1992,24600,68.44,106.75,135.7,114.96
"69",1993,143000,87.9,108.65,134.1,106.4
"70",1994,7930,68.48,112.99,141.7,114.73
"71",1995,38000,67.41,107.33,139.78,117.35
"72",1996,6610,80.41,94.65,129.66,103.32
"73",1997,3630,64.73,95.39,124.34,94.69
"74",1998,6370,59.37,107.88,147,131.69
"75",1999,4820,88.22,108.64,124.71,95.01
