"","obs","Year","Dam"
"1",1,1926,1.775
"2",2,1926,0.307
"3",3,1926,72.303
"4",4,1928,13.795
"5",5,1929,0.033
"6",6,1929,0.102
"7",7,1932,1.814
"8",8,1933,1.687
"9",9,1933,1.141
"10",10,1933,0.481
"11",11,1933,0.159
"12",12,1934,0.014
"13",13,1934,0.195
"14",14,1934,0.158
"15",15,1935,0.981
"16",16,1935,2.191
"17",17,1936,0.057
"18",18,1936,0.009
"19",19,1936,0.038
"20",20,1938,0.008
"21",21,1938,16.629
"22",22,1940,0.092
"23",23,1940,0.419
"24",24,1941,0.818
"25",25,1941,0.181
"26",26,1942,0.06
"27",27,1942,1.108
"28",28,1943,1.512
"29",29,1944,0.093
"30",30,1944,6.536
"31",31,1944,16.864
"32",32,1945,0.747
"33",33,1945,6.313
"34",34,1946,0.553
"35",35,1946,1.69
"36",36,1947,0.048
"37",37,1947,8.308
"38",38,1947,0.025
"39",39,1947,0.131
"40",40,1947,2.263
"41",41,1948,0.021
"42",42,1948,1.31
"43",43,1948,0.36
"44",44,1949,5.838
"45",45,1949,0.336
"46",46,1950,0.541
"47",47,1950,2.266
"48",48,1951,0.182
"49",49,1952,0.063
"50",50,1953,0.023
"51",51,1953,0.006
"52",52,1954,9.066
"53",53,1954,1.415
"54",54,1954,7.039
"55",55,1955,1.142
"56",56,1955,10.232
"57",57,1955,1.819
"58",58,1956,0.349
"59",59,1957,2.396
"60",60,1957,0.048
"61",61,1959,0.015
"62",62,1959,0.072
"63",63,1959,0.156
"64",64,1959,0.203
"65",65,1960,0.063
"66",66,1960,0.08
"67",67,1960,12.048
"68",68,1960,0.017
"69",69,1961,7.069
"70",70,1961,0.094
"71",71,1962,0.033
"72",72,1962,0.009
"73",73,1963,0.149
"74",74,1964,0.011
"75",75,1964,2.435
"76",76,1964,3.108
"77",77,1964,1.284
"78",78,1964,0.213
"79",79,1965,12.434
"80",80,1965,0.264
"81",81,1966,0.108
"82",82,1966,0.058
"83",83,1967,2.05
"84",84,1968,0.016
"85",85,1968,0.02
"86",86,1968,0.284
"87",87,1969,10.965
"88",88,1970,3.338
"89",89,1971,0.776
"90",90,1971,0.151
"91",91,1971,0.199
"92",92,1971,0.086
"93",93,1972,10.705
"94",94,1972,0.014
"95",95,1973,0.095
"96",96,1974,0.649
"97",97,1974,0.066
"98",98,1975,1.757
"99",99,1976,0.307
"100",100,1977,0.033
"101",101,1978,0.076
"102",102,1979,0.045
"103",103,1979,1.026
"104",104,1979,1.249
"105",105,1979,0.025
"106",106,1979,6.293
"107",107,1980,0.865
"108",108,1981,0.078
"109",109,1982,0.004
"110",110,1982,0.024
"111",111,1983,4.056
"112",112,1984,0.128
"113",113,1984,0.002
"114",114,1985,0.082
"115",115,1985,2.064
"116",116,1985,1.409
"117",117,1985,2.399
"118",118,1985,0.568
"119",119,1986,0.003
"120",120,1986,0.002
"121",121,1987,0.011
"122",122,1987,0.001
"123",123,1988,0.004
"124",124,1988,0.001
"125",125,1988,0.003
"126",126,1988,0.075
"127",127,1988,0.005
"128",128,1989,0.69
"129",129,1989,0.137
"130",130,1989,9.38
"131",131,1989,0.097
"132",132,1990,0.074
"133",133,1991,1.714
"134",134,1992,33.094
"135",135,1993,0.025
"136",136,1993,0.039
"137",137,1994,0.53
"138",138,1994,0.077
"139",139,1994,0.424
"140",140,1995,0.002
"141",141,1995,0.001
"142",142,1995,0.7
"143",143,1995,0.026
"144",144,1995,3
