"","Year","Month","Day","MaxT","MinT"
"1",48,7,1,110,82
"2",48,7,2,109,78
"3",48,7,3,109,78
"4",48,7,4,108,70
"5",48,7,5,107,74
"6",48,7,6,110,72
"7",48,7,7,112,73
"8",48,7,8,113,74
"9",48,7,9,111,67
"10",48,7,10,113,71
"11",48,7,11,111,70
"12",48,7,12,108,71
"13",48,7,13,108,77
"14",48,7,14,112,74
"15",48,7,15,115,71
"16",48,7,16,108,79
"17",48,7,17,108,79
"18",48,7,18,110,82
"19",48,7,19,112,82
"20",48,7,20,101,77
"21",48,7,21,103,78
"22",48,7,22,91,77
"23",48,7,23,101,77
"24",48,7,24,102,80
"25",48,7,25,95,75
"26",48,7,26,107,77
"27",48,7,27,103,78
"28",48,7,28,105,75
"29",48,7,29,102,72
"30",48,7,30,108,72
"31",48,7,31,104,74
"32",48,8,1,104,79
"33",48,8,2,103,80
"34",48,8,3,103,78
"35",48,8,4,103,80
"36",48,8,5,105,76
"37",48,8,6,107,74
"38",48,8,7,98,72
"39",48,8,8,104,77
"40",48,8,9,103,79
"41",48,8,10,105,80
"42",48,8,11,106,80
"43",48,8,12,104,78
"44",48,8,13,106,80
"45",48,8,14,107,80
"46",48,8,15,105,77
"47",48,8,16,106,74
"48",48,8,17,109,78
"49",48,8,18,112,83
"50",48,8,19,107,82
"51",48,8,20,107,81
"52",48,8,21,101,75
"53",48,8,22,106,76
"54",48,8,23,108,74
"55",48,8,24,106,74
"56",48,8,25,106,71
"57",48,8,26,105,72
"58",48,8,27,107,67
"59",48,8,28,112,68
"60",48,8,29,114,77
"61",48,8,30,109,77
"62",48,8,31,107,79
"63",49,7,1,105,78
"64",49,7,2,101,78
"65",49,7,3,104,78
"66",49,7,4,101,79
"67",49,7,5,99,79
"68",49,7,6,104,80
"69",49,7,7,105,70
"70",49,7,8,108,74
"71",49,7,9,107,81
"72",49,7,10,103,80
"73",49,7,11,97,75
"74",49,7,12,104,82
"75",49,7,13,109,77
"76",49,7,14,113,78
"77",49,7,15,108,84
"78",49,7,16,109,80
"79",49,7,17,110,80
"80",49,7,18,101,83
"81",49,7,19,107,83
"82",49,7,20,106,81
"83",49,7,21,97,78
"84",49,7,22,91,74
"85",49,7,23,93,76
"86",49,7,24,95,74
"87",49,7,25,103,77
"88",49,7,26,103,70
"89",49,7,27,105,72
"90",49,7,28,104,72
"91",49,7,29,105,73
"92",49,7,30,101,81
"93",49,7,31,104,76
"94",49,8,1,110,78
"95",49,8,2,110,80
"96",49,8,3,106,81
"97",49,8,4,108,80
"98",49,8,5,105,79
"99",49,8,6,104,70
"100",49,8,7,94,73
"101",49,8,8,98,78
"102",49,8,9,98,73
"103",49,8,10,98,65
"104",49,8,11,101,61
"105",49,8,12,100,64
"106",49,8,13,101,65
"107",49,8,14,99,68
"108",49,8,15,100,66
"109",49,8,16,103,63
"110",49,8,17,104,64
"111",49,8,18,104,62
"112",49,8,19,104,64
"113",49,8,20,108,64
"114",49,8,21,108,71
"115",49,8,22,100,77
"116",49,8,23,101,74
"117",49,8,24,106,74
"118",49,8,25,103,77
"119",49,8,26,105,72
"120",49,8,27,107,67
"121",49,8,28,109,73
"122",49,8,29,110,76
"123",49,8,30,110,75
"124",49,8,31,110,73
"125",50,7,1,112,83
"126",50,7,2,115,81
"127",50,7,3,112,84
"128",50,7,4,106,79
"129",50,7,5,91,78
"130",50,7,6,96,77
"131",50,7,7,97,75
"132",50,7,8,96,75
"133",50,7,9,99,74
"134",50,7,10,102,75
"135",50,7,11,106,74
"136",50,7,12,110,68
"137",50,7,13,112,75
"138",50,7,14,111,81
"139",50,7,15,110,80
"140",50,7,16,109,84
"141",50,7,17,105,82
"142",50,7,18,98,80
"143",50,7,19,103,80
"144",50,7,20,107,82
"145",50,7,21,104,80
"146",50,7,22,100,77
"147",50,7,23,100,76
"148",50,7,24,100,74
"149",50,7,25,105,78
"150",50,7,26,106,78
"151",50,7,27,108,76
"152",50,7,28,104,80
"153",50,7,29,103,78
"154",50,7,30,95,75
"155",50,7,31,81,68
"156",50,8,1,100,66
"157",50,8,2,106,71
"158",50,8,3,108,71
"159",50,8,4,103,77
"160",50,8,5,96,73
"161",50,8,6,104,74
"162",50,8,7,107,75
"163",50,8,8,110,70
"164",50,8,9,112,71
"165",50,8,10,108,76
"166",50,8,11,102,75
"167",50,8,12,101,72
"168",50,8,13,105,70
"169",50,8,14,107,69
"170",50,8,15,109,70
"171",50,8,16,111,72
"172",50,8,17,113,71
"173",50,8,18,110,77
"174",50,8,19,110,75
"175",50,8,20,110,73
"176",50,8,21,109,78
"177",50,8,22,106,76
"178",50,8,23,106,75
"179",50,8,24,103,81
"180",50,8,25,107,70
"181",50,8,26,108,75
"182",50,8,27,108,73
"183",50,8,28,110,73
"184",50,8,29,112,73
"185",50,8,30,111,73
"186",50,8,31,115,73
"187",51,7,1,107,76
"188",51,7,2,104,72
"189",51,7,3,104,73
"190",51,7,4,107,73
"191",51,7,5,104,77
"192",51,7,6,112,77
"193",51,7,7,111,78
"194",51,7,8,111,80
"195",51,7,9,109,76
"196",51,7,10,109,77
"197",51,7,11,105,75
"198",51,7,12,106,79
"199",51,7,13,108,77
"200",51,7,14,106,84
"201",51,7,15,106,85
"202",51,7,16,107,79
"203",51,7,17,107,81
"204",51,7,18,108,77
"205",51,7,19,105,76
"206",51,7,20,109,82
"207",51,7,21,110,82
"208",51,7,22,107,79
"209",51,7,23,105,81
"210",51,7,24,103,81
"211",51,7,25,103,82
"212",51,7,26,102,80
"213",51,7,27,106,74
"214",51,7,28,98,74
"215",51,7,29,105,78
"216",51,7,30,111,81
"217",51,7,31,110,83
"218",51,8,1,98,74
"219",51,8,2,93,77
"220",51,8,3,85,71
"221",51,8,4,96,74
"222",51,8,5,103,77
"223",51,8,6,106,79
"224",51,8,7,103,75
"225",51,8,8,104,76
"226",51,8,9,102,76
"227",51,8,10,103,70
"228",51,8,11,104,68
"229",51,8,12,107,74
"230",51,8,13,106,83
"231",51,8,14,105,82
"232",51,8,15,105,80
"233",51,8,16,108,81
"234",51,8,17,107,80
"235",51,8,18,106,83
"236",51,8,19,106,82
"237",51,8,20,103,80
"238",51,8,21,101,76
"239",51,8,22,104,78
"240",51,8,23,105,77
"241",51,8,24,106,74
