"","Year","Mn","Dy","MxT","MnT","Prec","Snow","SnCv"
"1",1900,1,1,39,10,0,0,NA
"2",1900,1,2,43,9,0,0,NA
"3",1900,1,3,55,23,0,0,NA
"4",1900,1,4,50,24,0,0,NA
"5",1900,1,5,50,16,0,0,NA
"6",1900,1,6,52,10,0,0,NA
"7",1900,1,7,50,14,0,0,NA
"8",1900,1,8,48,9,0,0,NA
"9",1900,1,9,47,25,0,0,NA
"10",1900,1,10,48,10,0,0,NA
"11",1900,1,11,44,11,0,0,NA
"12",1900,1,12,51,19,0,0,NA
"13",1900,1,13,60,25,0,0,NA
"14",1900,1,14,58,25,0,0,NA
"15",1900,1,15,45,31,10,10,NA
"16",1900,1,16,35,29,3,5,NA
"17",1900,1,17,45,27,0,0,NA
"18",1900,1,18,50,14,0,0,NA
"19",1900,1,19,63,18,0,0,NA
"20",1900,1,20,48,20,0,0,NA
"21",1900,1,21,52,13,0,0,NA
"22",1900,1,22,60,15,0,0,NA
"23",1900,1,23,55,15,0,0,NA
"24",1900,1,24,51,28,0,0,NA
"25",1900,1,25,40,5,0,0,NA
"26",1900,1,26,40,9,0,0,NA
"27",1900,1,27,27,10,0.0000000000000001,0.0000000000000001,NA
"28",1900,1,28,18,-6,8,9,NA
"29",1900,1,29,49,-2,4,7,NA
"30",1900,1,30,46,6,0,0,NA
"31",1900,1,31,48,11,0,0,NA
"32",1900,2,1,48,11,0,0,NA
"33",1900,2,2,47,14,0,0,NA
"34",1900,2,3,48,29,0,0,NA
"35",1900,2,4,47,14,0,0,NA
"36",1900,2,5,44,15,0,0,NA
"37",1900,2,6,56,15,0,0,NA
"38",1900,2,7,49,9,2,2,NA
"39",1900,2,8,33,-7,0.0000000000000001,0.0000000000000001,NA
"40",1900,2,9,37,12,0,0,NA
"41",1900,2,10,49,7,0,0,NA
"42",1900,2,11,58,23,4,8,NA
"43",1900,2,12,24,-2,25,32,NA
"44",1900,2,13,25,-7,19,32,NA
"45",1900,2,14,8,0,29,37,NA
"46",1900,2,15,6,-17,8,10,NA
"47",1900,2,16,24,-23,3,5,NA
"48",1900,2,17,26,-18,0,0,NA
"49",1900,2,18,41,5,0,0,NA
"50",1900,2,19,39,17,0,0,NA
"51",1900,2,20,44,18,0,0,NA
"52",1900,2,21,40,26,0,0,NA
"53",1900,2,22,50,22,0.0000000000000001,0.0000000000000001,NA
"54",1900,2,23,40,28,0,0,NA
"55",1900,2,24,45,19,0,0,NA
"56",1900,2,25,53,31,0,0,NA
"57",1900,2,26,34,29,11,10,NA
"58",1900,2,27,36,20,11,12,NA
"59",1900,2,28,40,10,0,0,NA
"60",1900,3,1,52,30,0,0,NA
"61",1900,3,2,51,27,0,0,NA
"62",1900,3,3,58,29,0,0,NA
"63",1900,3,4,48,26,0,0,NA
"64",1900,3,5,42,22,0.0000000000000001,0.0000000000000001,NA
"65",1900,3,6,42,21,0,0,NA
"66",1900,3,7,55,21,0,0,NA
"67",1900,3,8,65,26,0,0,NA
"68",1900,3,9,61,33,0,0,NA
"69",1900,3,10,77,33,0,0,NA
"70",1900,3,11,75,30,0,0,NA
"71",1900,3,12,73,27,0,0,NA
"72",1900,3,13,61,28,0,0,NA
"73",1900,3,14,44,25,22,26,NA
"74",1900,3,15,37,22,14,18,NA
"75",1900,3,16,30,21,7,7,NA
"76",1900,3,17,48,16,0,0,NA
"77",1900,3,18,60,20,0,0,NA
"78",1900,3,19,56,24,0,0,NA
"79",1900,3,20,46,25,0,0,NA
"80",1900,3,21,58,20,0,0,NA
"81",1900,3,22,63,21,0,0,NA
"82",1900,3,23,59,27,0,0,NA
"83",1900,3,24,62,29,0.0000000000000001,0,NA
"84",1900,3,25,60,23,0,0,NA
"85",1900,3,26,67,26,0,0,NA
"86",1900,3,27,50,30,57,35,NA
