"","Year","MTMAX","MTMIN","STDTMAX","STDMIN","TMX1","TMN0","MDTR","AOindex"
"1",1945,4.68152,-5.45978,5.5697,9.1955,16.7,-31.7,10.1413,0.50059
"2",1946,4.77143,-6.81957,5.82255,8.0061,18.3,-31.1,11.6176,0.16131
"3",1947,2.90217,-8.51413,4.3538,7.0699,12.8,-23.3,11.4163,0.45474
"4",1948,2.37065,-8.79457,7.1914,10.2808,18.3,-31.7,11.1652,1.93607
"5",1949,3.58152,-5.59674,5.74974,7.4677,16.7,-25,9.1783,0.50178
"6",1950,4.12283,-6.56522,8.5141,8.7548,23.9,-25.6,10.688,0.51847
"7",1951,5.89783,-3.33696,5.68029,7.2601,22.8,-26.1,9.2348,-1.67905
"8",1952,5.82065,-3.16413,5.79222,5.9244,22.2,-20,8.9848,-1.05622
"9",1953,5.42283,-3.04674,6.60508,7.8255,16.7,-26.7,8.4696,0.08237
"10",1954,3.68043,-5.96739,6.47318,8.1399,16.7,-26.7,9.6478,-0.20825
"11",1955,4.375,-4.68152,7.31713,8.0017,22.2,-27.8,9.0565,-0.85189
"12",1956,2.5413,-7.09891,5.93829,7.8054,16.1,-27.8,9.6402,0.74552
"13",1957,4.7663,-3.89022,4.91513,5.3096,20,-19.4,8.6565,-1.12398
"14",1958,6.97826,-3.03261,3.91104,4.4567,15.6,-12.8,10.0109,-1.57016
"15",1959,3.68587,-5.63696,7.33808,7.6126,28.3,-23.3,9.3228,0.92899
"16",1960,4.47609,-4.39891,7.24506,7.5442,26.1,-23.3,8.875,-1.40021
"17",1961,4.94891,-4.15652,7.13035,8.043,23.3,-27.8,9.1054,0.2742
"18",1962,5.95652,-3.68043,5.10342,4.9442,21.1,-15,9.637,-0.87021
"19",1963,4.13696,-6.07391,7.64666,8.446,20,-28.3,10.2109,0.90306
"20",1964,4.13043,-6.21957,7.1176,7.4683,25.6,-22.2,10.35,0.6566
"21",1965,4.78261,-4.39348,5.86245,6.1125,18.3,-21.1,9.1761,-0.05741
"22",1966,4.91087,-3.40435,4.85797,4.9957,17.2,-16.7,8.3152,-0.99422
"23",1967,1.72609,-8.08152,6.61425,8.9636,14.4,-26.7,9.8076,1.93755
"24",1968,4.82283,-5.02609,7.79341,8.1589,24.4,-27.8,9.8489,1.203
"25",1969,3.79239,-5.93261,5.80642,6.8259,20,-20.6,9.725,-0.71948
"26",1970,4.56848,-5.33804,5.92243,6.3626,23.9,-22.2,9.9065,-0.87439
"27",1971,5.30761,-3.48043,5.83857,6.3018,21.1,-17.2,8.788,-0.41297
"28",1972,2.34674,-7.53261,7.89152,8.6792,25.6,-31.1,9.8793,0.45627
"29",1973,3.52065,-4.34022,5.35571,7.3261,16.1,-26.1,7.8609,-0.3701
"30",1974,1.75761,-7.26522,6.58499,8.5428,13.9,-31.7,9.0228,-0.19189
"31",1975,4.08152,-5.29674,6.3816,7.3975,17.8,-22.8,9.3783,-0.06146
"32",1976,2.60326,-5.625,7.174,8.7578,16.7,-26.1,8.2283,0.49097
"33",1977,5.45761,-3.71413,6.68814,6.0806,26.2,-19.6,9.1717,0.86575
"34",1978,3.1337,-5.94783,6.89573,8.6759,16.8,-24.4,9.0815,-0.18415
"35",1979,5.8837,-1.82935,6.46839,6.9795,20,-25.3,7.713,-1.31613
"36",1980,4.36739,-4.25217,6.15494,7.5511,19.5,-22.1,8.6196,-1.45682
"37",1981,5.29457,-2.4413,4.92054,4.9661,19.1,-17,7.7359,-0.22607
"38",1982,2.9837,-6.13478,6.92034,7.4492,22,-27.2,9.1185,1.09088
"39",1983,4.13804,-3.03478,5.32698,5.835,18.3,-18.3,7.1728,-0.77471
"40",1984,3.81413,-5.16739,7.01021,8.0671,16.9,-28.8,8.9815,-0.92737
"41",1985,3.40543,-6.175,6.7272,8.1478,17,-27.2,9.5804,0.26367
"42",1986,4.29891,-5.54457,7.7826,8.9734,20.8,-30.5,9.8435,1.32092
"43",1987,5.9087,-3.09239,6.58826,6.7644,19.4,-22.8,9.0011,-0.43765
"44",1988,4.98804,-3.48913,6.91079,7.2862,21.8,-22.6,8.4772,-0.82116
"45",1989,4.06739,-4.74348,7.33928,9.0509,20.8,-25.1,8.8109,1.03002
"46",1990,3.22935,-6.23261,6.24045,8.3447,15.5,-30.6,9.462,3.34758
"47",1991,4.6413,-4.8663,6.44466,6.1813,21.2,-20.7,9.5076,0.48828
"48",1992,3.30543,-6.15978,7.93755,8.1312,22.6,-29.5,9.4652,1.10757
"49",1993,3.42826,-5.61304,6.86578,8.8816,17.8,-28.8,9.0413,-0.17392
"50",1994,2.76739,-5.78152,6.4981,7.7098,16.8,-27.5,8.5489,1.10918
"51",1995,3.70543,-4.88152,6.95217,8.1342,16.6,-31.6,8.587,-0.59176
