"","Time","Year","Mon","Day","Min"
"1",1,1949,1,1,26
"2",2,1949,1,2,7
"3",3,1949,1,3,1
"4",4,1949,1,4,4
"5",5,1949,1,5,14
"6",6,1949,1,6,18
"7",7,1949,1,7,18
"8",8,1949,1,8,19
"9",9,1949,1,9,1
"10",10,1949,1,10,-8
"11",11,1949,1,11,-10
"12",12,1949,1,12,9
"13",13,1949,1,13,14
"14",14,1949,1,14,18
"15",15,1949,1,15,14
"16",16,1949,1,16,4
"17",17,1949,1,17,0
"18",18,1949,1,18,7
"19",19,1949,1,19,4
"20",20,1949,1,20,-3
"21",21,1949,1,21,-4
"22",22,1949,1,22,8
"23",23,1949,1,23,-5
"24",24,1949,1,24,-9
"25",25,1949,1,25,-9
"26",26,1949,1,26,2
"27",27,1949,1,27,16
"28",28,1949,1,28,-8
"29",29,1949,1,29,-19
"30",30,1949,1,30,1
"31",31,1949,1,31,-5
"32",32,1949,2,1,-6
"33",33,1949,2,2,-6
"34",34,1949,2,3,1
"35",35,1949,2,4,2
"36",36,1949,2,5,7
"37",37,1949,2,6,0
"38",38,1949,2,7,15
"39",39,1949,2,8,9
"40",40,1949,2,9,14
"41",41,1949,2,10,19
"42",42,1949,2,11,26
"43",43,1949,2,12,4
"44",44,1949,2,13,-1
"45",45,1949,2,14,9
"46",46,1949,2,15,14
"47",47,1949,2,16,22
"48",48,1949,2,17,28
"49",49,1949,2,18,29
"50",50,1949,2,19,28
"51",51,1949,2,20,27
"52",52,1949,2,21,29
"53",53,1949,2,22,32
"54",54,1949,2,23,32
"55",55,1949,2,24,25
"56",56,1949,2,25,27
"57",57,1949,2,26,28
"58",58,1949,2,27,22
"59",59,1949,2,28,25
"60",60,1949,3,1,28
"61",61,1949,3,2,27
"62",62,1949,3,3,29
"63",63,1949,3,4,31
"64",64,1949,3,5,34
"65",65,1949,3,6,32
"66",66,1949,3,7,35
"67",67,1949,3,8,26
"68",68,1949,3,9,25
"69",69,1949,3,10,21
"70",70,1949,3,11,21
"71",71,1949,3,12,24
"72",72,1949,3,13,29
"73",73,1949,3,14,16
"74",74,1949,3,15,18
"75",75,1949,3,16,27
"76",76,1949,3,17,27
"77",77,1949,3,18,31
"78",78,1949,3,19,32
"79",79,1949,3,20,40
"80",80,1949,3,21,34
"81",81,1949,3,22,32
"82",82,1949,3,23,29
"83",83,1949,3,24,27
"84",84,1949,3,25,24
"85",85,1949,3,26,29
"86",86,1949,3,27,30
"87",87,1949,3,28,27
"88",88,1949,3,29,23
"89",89,1949,3,30,23
"90",90,1949,3,31,10
"91",91,1949,4,1,24
"92",92,1949,4,2,24
"93",93,1949,4,3,25
"94",94,1949,4,4,25
"95",95,1949,4,5,34
"96",96,1949,4,6,43
"97",97,1949,4,7,36
"98",98,1949,4,8,43
"99",99,1949,4,9,26
"100",100,1949,4,10,25
"101",101,1949,4,11,31
"102",102,1949,4,12,39
"103",103,1949,4,13,32
"104",104,1949,4,14,29
"105",105,1949,4,15,27
"106",106,1949,4,16,34
"107",107,1949,4,17,37
"108",108,1949,4,18,36
"109",109,1949,4,19,38
"110",110,1949,4,20,36
"111",111,1949,4,21,40
"112",112,1949,4,22,46
"113",113,1949,4,23,41
"114",114,1949,4,24,49
"115",115,1949,4,25,51
"116",116,1949,4,26,43
"117",117,1949,4,27,42
"118",118,1949,4,28,41
"119",119,1949,4,29,46
"120",120,1949,4,30,43
"121",121,1949,5,1,37
"122",122,1949,5,2,49
"123",123,1949,5,3,50
"124",124,1949,5,4,51
"125",125,1949,5,5,36
"126",126,1949,5,6,33
"127",127,1949,5,7,37
"128",128,1949,5,8,39
"129",129,1949,5,9,40
"130",130,1949,5,10,45
"131",131,1949,5,11,46
"132",132,1949,5,12,42
"133",133,1949,5,13,45
