"","Year","MTMAX","MTMIN","STDTMAX","STDMIN","TMX1","TMN0","MDTR","AOindex"
"1",1927,1.99383,-7.9383,4.93324,5.52504,12.7778,-22.2222,9.9321,0.12931
"2",1928,3.35802,-6.9568,4.85031,5.76282,15,-22.2222,10.3148,0.67006
"3",1929,3.81481,-6.4815,5.00672,5.3689,17.2222,-20,10.2963,-1.25931
"4",1930,3.40741,-6.8395,6.44029,6.9247,23.8889,-22.2222,10.2469,0.74026
"5",1931,2.76543,-7.6173,3.89911,5.09396,13.3333,-17.7778,10.3827,-0.67714
"6",1932,6.20879,-3.2112,4.68602,4.56308,21.6667,-13.8889,9.42,1.20636
"7",1933,5.14815,-5.8457,6.18797,5.70172,18.3333,-21.6667,10.9938,-0.03696
"8",1934,0.87654,-9.9753,6.33101,7.64553,13.8889,-28.3333,10.8519,0.9481
"9",1935,1.79012,-8.0185,5.20743,7.31315,17.2222,-26.1111,9.8086,0.71711
"10",1936,-0.3602,-9.4567,5.33473,7.36002,12.7778,-22.2222,9.0965,-2.61315
"11",1937,5.20988,-4.1975,3.91385,4.66086,17.7778,-17.7778,9.4074,1.3027
"12",1938,2.58642,-6.4012,4.70164,5.05499,14.4444,-26.1111,8.9877,-0.2464
"13",1939,3.25926,-5.9877,5.14676,6.19804,18.8889,-19.4444,9.2469,0.04351
"14",1940,1.42593,-7.5309,4.46162,6.07332,13.3333,-17.7778,8.9568,-1.50197
"15",1941,2.52469,-6.642,3.78647,5.63607,18.8889,-20,9.1667,-1.04563
"16",1942,2.7963,-6.8333,5.21653,6.45548,16.1111,-23.8889,9.6296,-0.61855
"17",1943,2.2284,-7.4198,5.30097,6.38845,16.6667,-28.8889,9.6481,0.67054
"18",1944,3.31502,-7.5763,4.2208,5.44112,17.2222,-18.8889,10.8913,0.77755
"19",1945,1.17901,-8.7716,4.15225,6.18948,10,-20,9.9506,-1.5681
"20",1946,2.11728,-7.6914,4.68519,5.81892,18.3333,-18.3333,9.8086,-0.84968
"21",1947,4.12963,-6.2901,5.56619,4.88729,20,-16.6667,10.4198,-1.88483
"22",1948,1.35531,-9.591,4.7251,6.82268,16.6667,-26.6667,10.9463,-0.022
"23",1949,5.75309,-4.4195,5.09673,5.3431,19.4444,-20.5556,10.206,1.59912
"24",1950,4.3633,-5.202,4.84579,6.71501,17.7778,-20.5556,9.5275,0.09742
"25",1951,3.5,-6.4198,5.08933,5.8083,15.5556,-22.7778,9.9198,-0.50204
"26",1952,4.27778,-6.1975,4.70996,6.24882,17.7778,-23.3333,10.4753,0.3827
"27",1953,5.10612,-5.5247,4.20344,4.28017,19.4444,-14.4444,10.568,-0.53099
"28",1954,5.35185,-5.3025,6.2096,6.09899,23.8889,-24.4444,10.6543,0.7289
"29",1955,2.90123,-6.537,4.72857,5.46623,14.4444,-21.1111,9.4383,-0.57961
"30",1956,2.24054,-6.7033,4.0057,5.383,12.2222,-20,8.9438,-1.02715
"31",1957,3.6358,-6.3148,5.24749,6.46085,15,-26.6667,9.9506,0.344
"32",1958,2.65432,-5.8302,5.35388,6.29383,16.6667,-22.2222,8.5705,-0.51696
"33",1959,1.73457,-8.6728,4.82013,4.91479,18.3333,-19.4444,10.4074,0.0413
"34",1961,1.74074,-10.6679,6.07908,7.84655,16.6667,-28.8889,12.5094,0.12069
"35",1962,2.11728,-7.7654,4.18723,5.75303,12.2222,-23.8889,9.8827,0.22286
"36",1963,1.2037,-10.5617,5.04265,6.57843,15.5556,-26.1111,11.7654,-1.04612
"37",1964,2.00855,-8.6508,4.20886,5.46352,11.1111,-21.1111,10.6593,0.30159
"38",1965,2.2716,-8.1173,5.05048,6.36745,16.1111,-21.6667,10.3889,-0.68624
"39",1966,3.1358,-6.8272,4.3747,5.83459,15.5556,-21.6667,9.963,-1.13925
"40",1967,3.32099,-7.037,5.25661,5.68086,16.6667,-23.3333,10.358,0.07399
"41",1968,1.52625,-8.6813,5.28839,7.00756,13.8889,-28.3333,10.2076,-0.72126
"42",1969,1.53704,-7.2593,3.97405,5.11879,13.3333,-18.3333,8.7963,-2.18756
"43",1970,0.55556,-9.5679,4.86465,5.94209,11.6667,-23.3333,10.1235,-1.38675
"44",1971,1.2284,-8.2593,5.44363,6.41006,16.6667,-24.4444,9.4877,-0.36334
"45",1972,3.38828,-6.221,4.99249,5.7665,14.4444,-21.1111,9.6093,0.40168
"46",1973,3.82099,-5.6914,4.9346,5.75263,15.5556,-18.8889,9.5123,1.44478
"47",1974,3.54938,-6.5556,6.07137,5.42365,16.6667,-20.5556,10.1049,-0.04324
"48",1975,4.26543,-4.963,3.83983,4.90639,17.2222,-19.4444,9.2284,0.91017
"49",1976,3.56532,-7.558,6.86489,6.15354,21.1111,-22.7778,11.1233,1.36617
"50",1977,0.73856,-10.3889,5.17151,5.81984,12.7778,-23.3333,11.1438,-2.37245
"51",1978,0.62963,-10.1481,4.34278,5.77398,15,-23.3333,10.7778,-0.63281
"52",1979,1.17901,-8.8202,5.92576,6.46627,15,-25.5556,10.0499,-1.04064
"53",1980,3.40659,-7.1306,5.08313,5.29271,17.7778,-20.5556,10.5372,-0.12525
"54",1981,2.94444,-9.3704,7.33937,8.19938,19.4444,-28.3333,12.3148,0.31745
"55",1982,1,-9.037,4.65273,6.6222,10.5556,-25.5556,10.037,-0.03324
"56",1983,4.60494,-5.2901,5.95344,6.39762,20.5556,-18.8889,9.8951,0.70636
"57",1984,2.6801,-6.5873,5.59406,7.10521,17.7778,-25,9.2674,0.51237
"58",1985,4.0679,-6.2037,6.62169,5.99177,23.3333,-22.7778,10.2716,-1.02534
"59",1986,1.32716,-7.5432,4.46522,5.58294,13.8889,-17.7778,8.8704,-1.27902
"60",1987,2.7037,-6.6543,3.67307,5.68085,10,-23.3333,9.358,-0.28869
"61",1988,2.66789,-7.1429,4.99329,6.41691,12.7778,-22.7778,9.8107,-0.13407
"62",1989,4.17284,-5.8642,5.1062,4.73688,20,-18.8889,10.037,2.90473
"63",1990,3.22222,-6.4691,6.19212,6.31474,17.7778,-25,9.6914,1.33421
"64",1991,5.48148,-4.9012,5.19104,5.22591,17.7778,-18.3333,10.3827,0.79263
"65",1992,4.52991,-4.5604,4.93436,5.83584,16.6667,-18.3333,9.0904,1.82478
"66",1993,2.82716,-6.2963,4.00673,5.49846,16.1111,-19.4444,9.1235,2.25177
"67",1994,0.7284,-9.8272,6.53355,7.25296,15.5556,-28.3333,10.5556,-0.17221
"68",1995,4.53704,-5.2531,5.4562,6.35189,17.2222,-20,9.7901,1.09526
