"","Year","Day","Hour","Prec"
"1",49,1,2,0
"2",49,1,3,0
"3",49,1,4,0
"4",49,1,5,0
"5",49,1,6,0
"6",49,1,7,0
"7",49,1,8,0
"8",49,1,9,0
"9",49,1,10,0
"10",49,1,11,0
"11",49,1,12,0
"12",49,1,13,0
"13",49,1,14,0
"14",49,1,15,0
"15",49,1,16,0.04
"16",49,1,17,0.03
"17",49,1,18,0
"18",49,1,19,0
"19",49,1,20,0
"20",49,1,21,0
"21",49,1,22,0
"22",49,1,23,0
"23",49,1,24,0
"24",49,2,1,0
"25",49,2,2,0
"26",49,2,3,0
"27",49,2,4,0
"28",49,2,5,0
"29",49,2,6,0
"30",49,2,7,0
"31",49,2,8,0
"32",49,2,9,0
"33",49,2,10,0
"34",49,2,11,0
"35",49,2,12,0
"36",49,2,13,0
"37",49,2,14,0
"38",49,2,15,0
"39",49,2,16,0
"40",49,2,17,0
"41",49,2,18,0
"42",49,2,19,0
"43",49,2,20,0
"44",49,2,21,0
"45",49,2,22,0
"46",49,2,23,0
"47",49,2,24,0
"48",49,3,1,0
"49",49,3,2,0
"50",49,3,3,0
"51",49,3,4,0
"52",49,3,5,0
"53",49,3,6,0
"54",49,3,7,0
"55",49,3,8,0
"56",49,3,9,0
"57",49,3,10,0
"58",49,3,11,0
"59",49,3,12,0
"60",49,3,13,0
"61",49,3,14,0
"62",49,3,15,0
"63",49,3,16,0
"64",49,3,17,0.03
"65",49,3,18,0
"66",49,3,19,0
"67",49,3,20,0
"68",49,3,21,0
"69",49,3,22,0
"70",49,3,23,0
"71",49,3,24,0
"72",49,4,1,0
"73",49,4,2,0
"74",49,4,3,0
"75",49,4,4,0
"76",49,4,5,0
"77",49,4,6,0
"78",49,4,7,0
"79",49,4,8,0
"80",49,4,9,0
"81",49,4,10,0
"82",49,4,11,0
"83",49,4,12,0
"84",49,4,13,0
"85",49,4,14,0
"86",49,4,15,0
"87",49,4,16,0
"88",49,4,17,0
"89",49,4,18,0
"90",49,4,19,0
"91",49,4,20,0
"92",49,4,21,0
"93",49,4,22,0
"94",49,4,23,0
"95",49,4,24,0
"96",49,5,1,0
"97",49,5,2,0
"98",49,5,3,0
"99",49,5,4,0
"100",49,5,5,0
"101",49,5,6,0
"102",49,5,7,0
"103",49,5,8,0
"104",49,5,9,0
"105",49,5,10,0
"106",49,5,11,0
"107",49,5,12,0
"108",49,5,13,0
"109",49,5,14,0.47
"110",49,5,15,0.04
"111",49,5,16,0
"112",49,5,17,0
"113",49,5,18,0.02
"114",49,5,19,0
"115",49,5,20,0
"116",49,5,21,0
"117",49,5,22,0
"118",49,5,23,0
"119",49,5,24,0
"120",49,6,1,0
"121",49,6,2,0
"122",49,6,3,0
"123",49,6,4,0
"124",49,6,5,0
"125",49,6,6,0
"126",49,6,7,0
"127",49,6,8,0
"128",49,6,9,0
"129",49,6,10,0
"130",49,6,11,0
"131",49,6,12,0
"132",49,6,13,0
"133",49,6,14,0
"134",49,6,15,0
"135",49,6,16,0
"136",49,6,17,0.02
"137",49,6,18,0
"138",49,6,19,0
"139",49,6,20,0
"140",49,6,21,0.05
"141",49,6,22,0
"142",49,6,23,0
"143",49,6,24,0
"144",49,7,1,0
"145",49,7,2,0
"146",49,7,3,0
