"","Year","Flow"
"1",1895,68500
"2",1896,56000
"3",1897,204000
"4",1898,127000
"5",1899,128000
"6",1900,57700
"7",1901,161000
"8",1902,219000
"9",1903,110000
"10",1904,44500
"11",1905,71400
"12",1906,81300
"13",1907,119000
"14",1908,152000
"15",1909,83000
"16",1910,168000
"17",1911,106000
"18",1912,95400
"19",1913,139000
"20",1914,73900
"21",1915,139000
"22",1916,124000
"23",1917,123000
"24",1918,127000
"25",1919,80500
"26",1920,109000
"27",1921,88800
"28",1922,78800
"29",1923,40700
"30",1924,277000
"31",1925,89000
"32",1926,60500
"33",1927,89900
"34",1928,145000
"35",1929,180000
"36",1930,110000
"37",1931,36800
"38",1932,158000
"39",1933,123000
"40",1934,36700
"41",1935,128000
"42",1936,480000
"43",1937,310000
"44",1938,175000
"45",1939,124000
"46",1940,93600
"47",1941,69000
"48",1942,125000
"49",1943,418000
"50",1944,70300
"51",1945,139000
"52",1946,53100
"53",1947,42100
"54",1948,87000
"55",1949,132000
"56",1950,64700
"57",1951,128000
"58",1952,127000
"59",1952,118000
"60",1954,109000
"61",1955,214000
"62",1956,60800
"63",1957,69200
"64",1958,72000
"65",1959,55700
"66",1960,124000
"67",1961,102000
"68",1962,116000
"69",1963,125000
"70",1964,87000
"71",1965,97800
"72",1966,71300
"73",1967,144000
"74",1968,76800
"75",1969,27800
"76",1970,92100
"77",1971,86400
"78",1972,347000
"79",1973,106000
"80",1974,132000
"81",1975,181000
"82",1976,109000
"83",1977,193000
"84",1978,139000
"85",1979,178000
"86",1980,69500
"87",1981,41900
"88",1982,92000
"89",1983,115000
"90",1984,199000
"91",1985,84700
"92",1986,309000
"93",1987,153000
"94",1988,96100
"95",1989,80900
"96",1990,39800
"97",1991,85000
"98",1992,90000
"99",1993,167000
"100",1994,115000
"101",1995,87200
"102",1996,310000
"103",1997,85200
"104",1998,123000
"105",1999,40600
"106",2000,61600
