"","Year","EN","Ct","TDam"
"1",1925,1,0,0
"2",1926,0,3,74385
"3",1927,0,0,0
"4",1928,0,1,13795
"5",1929,1,2,135
"6",1930,1,0,0
"7",1931,0,0,0
"8",1932,0,1,1814
"9",1933,-1,4,3468
"10",1934,0,3,367
"11",1935,0,2,3172
"12",1936,0,2,95
"13",1937,0,0,0
"14",1938,-1,1,16629
"15",1939,0,0,0
"16",1940,1,2,511
"17",1941,1,2,999
"18",1942,-1,2,1168
"19",1943,0,1,1512
"20",1944,-1,3,23493
"21",1945,-1,2,7060
"22",1946,0,2,2243
"23",1947,0,5,10775
"24",1948,-1,3,1691
"25",1949,-1,2,6174
"26",1950,-1,2,2807
"27",1951,1,1,182
"28",1952,0,1,63
"29",1953,1,1,23
"30",1954,-1,3,17520
"31",1955,-1,3,13193
"32",1956,-1,1,349
"33",1957,1,2,2444
"34",1958,0,0,0
"35",1959,0,4,446
"36",1960,0,4,12208
"37",1961,-1,2,7163
"38",1962,0,1,33
"39",1963,1,1,149
"40",1964,-1,5,7051
"41",1965,1,2,12698
"42",1966,0,2,166
"43",1967,-1,1,2050
"44",1968,0,3,320
"45",1969,1,1,10965
"46",1970,-1,1,3338
"47",1971,-1,4,1212
"48",1972,1,2,10719
"49",1973,-1,1,95
"50",1974,-1,2,715
"51",1975,-1,1,1757
"52",1976,1,1,307
"53",1977,1,1,33
"54",1978,-1,1,76
"55",1979,0,5,8638
"56",1980,0,1,865
"57",1981,0,1,78
"58",1982,1,1,24
"59",1983,0,1,4056
"60",1984,0,1,128
"61",1985,0,5,6522
"62",1986,1,0,0
"63",1987,1,1,11
"64",1988,-1,1,75
"65",1989,0,4,10304
"66",1990,1,1,74
"67",1991,1,1,1714
"68",1992,0,1,33094
"69",1993,1,2,64
"70",1994,1,3,1031
"71",1995,-1,3,3726
