"","id","clusterid","y1","y2","int","x1","x2","x3"
"1",1,1,12,5,1,35,24,10
"2",2,1,10,4,1,28,21,31
"3",3,2,NA,12,1,57,58,34
"4",4,2,NA,9,1,97,44,27
"5",5,3,26,6,1,75,28,55
"6",6,3,22,16,1,63,77,95
"7",7,4,8,8,1,21,38,72
"8",8,4,NA,NA,1,57,100,60
"9",9,5,16,16,1,44,74,17
"10",10,5,11,10,1,27,46,53
"11",11,6,28,15,1,77,67,39
"12",12,6,14,9,1,37,37,22
"13",13,7,NA,18,1,100,84,71
"14",14,7,27,15,1,73,70,31
"15",15,8,18,NA,1,46,30,93
"16",16,8,25,NA,1,66,88,66
"17",17,9,NA,14,1,37,61,38
"18",18,9,31,4,1,83,12,58
"19",19,10,27,22,1,70,101,28
"20",20,10,13,NA,1,29,74,74
"21",21,11,33,12,1,88,47,60
"22",22,11,NA,16,1,60,67,19
"23",23,12,8,10,1,12,38,77
"24",24,12,8,19,1,12,84,49
