"","subj","y","occ","int","dummy1","dummy2","dummy3","dummy4","dummy5"
"1",1,16,1,1,1,0,0,0,0
"2",1,20,2,1,0,1,0,0,0
"3",1,16,3,1,0,0,1,0,0
"4",1,20,4,1,0,0,0,1,0
"5",1,-6,5,1,0,0,0,0,1
"6",1,-4,6,1,0,0,0,0,0
"7",2,12,1,1,1,0,0,0,0
"8",2,24,2,1,0,1,0,0,0
"9",2,12,3,1,0,0,1,0,0
"10",2,-6,4,1,0,0,0,1,0
"11",2,4,5,1,0,0,0,0,1
"12",2,-8,6,1,0,0,0,0,0
"13",3,8,1,1,1,0,0,0,0
"14",3,8,2,1,0,1,0,0,0
"15",3,26,3,1,0,0,1,0,0
"16",3,-4,4,1,0,0,0,1,0
"17",3,4,5,1,0,0,0,0,1
"18",3,8,6,1,0,0,0,0,0
"19",4,20,1,1,1,0,0,0,0
"20",4,8,2,1,0,1,0,0,0
"21",4,NA,3,1,0,0,1,0,0
"22",4,NA,4,1,0,0,0,1,0
"23",4,20,5,1,0,0,0,0,1
"24",4,-4,6,1,0,0,0,0,0
"25",5,8,1,1,1,0,0,0,0
"26",5,4,2,1,0,1,0,0,0
"27",5,-8,3,1,0,0,1,0,0
"28",5,NA,4,1,0,0,0,1,0
"29",5,22,5,1,0,0,0,0,1
"30",5,-8,6,1,0,0,0,0,0
"31",6,10,1,1,1,0,0,0,0
"32",6,20,2,1,0,1,0,0,0
"33",6,28,3,1,0,0,1,0,0
"34",6,-20,4,1,0,0,0,1,0
"35",6,-4,5,1,0,0,0,0,1
"36",6,-4,6,1,0,0,0,0,0
"37",7,4,1,1,1,0,0,0,0
"38",7,28,2,1,0,1,0,0,0
"39",7,24,3,1,0,0,1,0,0
"40",7,12,4,1,0,0,0,1,0
"41",7,8,5,1,0,0,0,0,1
"42",7,18,6,1,0,0,0,0,0
"43",8,-8,1,1,1,0,0,0,0
"44",8,20,2,1,0,1,0,0,0
"45",8,24,3,1,0,0,1,0,0
"46",8,-3,4,1,0,0,0,1,0
"47",8,8,5,1,0,0,0,0,1
"48",8,-24,6,1,0,0,0,0,0
"49",9,NA,1,1,1,0,0,0,0
"50",9,20,2,1,0,1,0,0,0
"51",9,24,3,1,0,0,1,0,0
"52",9,8,4,1,0,0,0,1,0
"53",9,12,5,1,0,0,0,0,1
"54",9,NA,6,1,0,0,0,0,0
