"","id","time","event"
"1",1,0,"PartTime"
"2",2,0,"NoActivity"
"3",2,4,"Start"
"4",2,4,"FullTime"
"5",2,11,"Stop"
"6",3,0,"PartTime"
"7",4,0,"LowPartTime"
"8",4,9,"Increase"
"9",4,9,"PartTime"
"10",5,0,"FullTime"
"11",6,0,"NoActivity"
"12",6,1,"Start"
"13",6,1,"PartTime"
"14",7,0,"NoActivity"
"15",8,0,"FullTime"
"16",9,0,"FullTime"
"17",10,0,"FullTime"
"18",11,0,"PartTime"
"19",12,0,"PartTime"
"20",13,0,"FullTime"
"21",14,0,"LowPartTime"
"22",14,9,"Increase"
"23",14,9,"PartTime"
"24",15,0,"PartTime"
"25",15,11,"Decrease"
"26",15,11,"LowPartTime"
"27",16,0,"LowPartTime"
"28",17,0,"NoActivity"
"29",18,0,"FullTime"
"30",19,0,"PartTime"
"31",20,0,"PartTime"
"32",21,0,"NoActivity"
"33",22,0,"FullTime"
"34",23,0,"NoActivity"
"35",23,6,"Start"
"36",23,6,"FullTime"
"37",23,7,"Stop"
"38",24,0,"NoActivity"
"39",25,0,"PartTime"
"40",25,9,"Decrease"
"41",25,9,"LowPartTime"
"42",26,0,"FullTime"
"43",27,0,"NoActivity"
"44",28,0,"FullTime"
"45",28,8,"Stop"
"46",28,10,"Start"
"47",28,10,"PartTime"
"48",29,0,"LowPartTime"
"49",30,0,"NoActivity"
"50",31,0,"FullTime"
"51",32,0,"PartTime"
"52",32,10,"Decrease"
"53",32,10,"LowPartTime"
"54",33,0,"LowPartTime"
"55",33,8,"Increase"
"56",33,8,"PartTime"
"57",33,9,"Stop"
"58",34,0,"NoActivity"
"59",35,0,"FullTime"
"60",36,0,"NoActivity"
"61",37,0,"LowPartTime"
"62",38,0,"FullTime"
"63",39,0,"FullTime"
"64",40,0,"FullTime"
"65",41,0,"LowPartTime"
"66",42,0,"NoActivity"
"67",42,10,"Start"
"68",42,10,"LowPartTime"
"69",42,11,"Stop"
"70",43,0,"PartTime"
"71",44,0,"PartTime"
"72",44,11,"Increase"
"73",44,11,"FullTime"
"74",45,0,"FullTime"
"75",46,0,"FullTime"
"76",47,0,"FullTime"
"77",48,0,"FullTime"
"78",49,0,"FullTime"
"79",50,0,"FullTime"
"80",51,0,"NoActivity"
"81",52,0,"NoActivity"
"82",52,7,"Start"
"83",52,7,"FullTime"
"84",52,8,"Stop"
"85",53,0,"PartTime"
"86",54,0,"FullTime"
"87",54,10,"Stop"
"88",55,0,"NoActivity"
"89",56,0,"LowPartTime"
"90",57,0,"NoActivity"
"91",58,0,"NoActivity"
"92",59,0,"NoActivity"
"93",60,0,"NoActivity"
"94",61,0,"NoActivity"
"95",62,0,"FullTime"
"96",63,0,"NoActivity"
"97",64,0,"FullTime"
"98",65,0,"LowPartTime"
"99",65,4,"Stop"
"100",66,0,"NoActivity"
"101",67,0,"PartTime"
"102",67,11,"Decrease"
"103",67,11,"LowPartTime"
"104",68,0,"PartTime"
"105",69,0,"FullTime"
"106",70,0,"FullTime"
"107",71,0,"NoActivity"
"108",72,0,"NoActivity"
