"","educ","orig","dest","Freq"
"1","1","1","1",7
"2","2","1","1",3
"3","3","1","1",16
"4","4","1","1",14
"5","5","1","1",135
"6","1","2","1",5
"7","2","2","1",9
"8","3","2","1",5
"9","4","2","1",9
"10","5","2","1",54
"11","1","3","1",13
"12","2","3","1",13
"13","3","3","1",18
"14","4","3","1",30
"15","5","3","1",139
"16","1","4","1",2
"17","2","4","1",2
"18","3","4","1",4
"19","4","4","1",26
"20","5","4","1",48
"21","1","5","1",1
"22","2","5","1",3
"23","3","5","1",9
"24","4","5","1",17
"25","5","5","1",64
"26","1","6","1",9
"27","2","6","1",5
"28","3","6","1",10
"29","4","6","1",20
"30","5","6","1",82
"31","1","7","1",2
"32","2","7","1",0
"33","3","7","1",1
"34","4","7","1",6
"35","5","7","1",1
"36","1","1","2",3
"37","2","1","2",1
"38","3","1","2",14
"39","4","1","2",6
"40","5","1","2",19
"41","1","2","2",4
"42","2","2","2",7
"43","3","2","2",6
"44","4","2","2",4
"45","5","2","2",8
"46","1","3","2",43
"47","2","3","2",26
"48","3","3","2",44
"49","4","3","2",10
"50","5","3","2",4
"51","1","4","2",5
"52","2","4","2",6
"53","3","4","2",9
"54","4","4","2",3
"55","5","4","2",2
"56","1","5","2",8
"57","2","5","2",14
"58","3","5","2",15
"59","4","5","2",10
"60","5","5","2",5
"61","1","6","2",26
"62","2","6","2",26
"63","3","6","2",22
"64","4","6","2",13
"65","5","6","2",12
"66","1","7","2",9
"67","2","7","2",2
"68","3","7","2",3
"69","4","7","2",2
"70","5","7","2",0
"71","1","1","3",8
"72","2","1","3",9
"73","3","1","3",16
"74","4","1","3",6
"75","5","1","3",5
"76","1","2","3",4
"77","2","2","3",1
"78","3","2","3",14
"79","4","2","3",2
"80","5","2","3",8
"81","1","3","3",139
"82","2","3","3",43
"83","3","3","3",50
"84","4","3","3",18
"85","5","3","3",20
"86","1","4","3",46
"87","2","4","3",10
"88","3","4","3",10
"89","4","4","3",3
"90","5","4","3",5
"91","1","5","3",25
"92","2","5","3",21
"93","3","5","3",12
"94","4","5","3",14
"95","5","5","3",6
"96","1","6","3",46
"97","2","6","3",28
"98","3","6","3",23
"99","4","6","3",6
"100","5","6","3",1
"101","1","7","3",4
"102","2","7","3",1
"103","3","7","3",4
"104","4","7","3",3
"105","5","7","3",0
"106","1","1","4",4
"107","2","1","4",2
"108","3","1","4",2
"109","4","1","4",1
"110","5","1","4",0
"111","1","2","4",0
"112","2","2","4",1
"113","3","2","4",0
"114","4","2","4",0
"115","5","2","4",0
"116","1","3","4",7
"117","2","3","4",2
"118","3","3","4",6
"119","4","3","4",1
"120","5","3","4",0
"121","1","4","4",18
"122","2","4","4",13
"123","3","4","4",8
"124","4","4","4",2
"125","5","4","4",2
"126","1","5","4",0
"127","2","5","4",2
"128","3","5","4",5
"129","4","5","4",0
"130","5","5","4",0
"131","1","6","4",4
"132","2","6","4",2
"133","3","6","4",0
"134","4","6","4",0
"135","5","6","4",1
"136","1","7","4",1
"137","2","7","4",0
"138","3","7","4",0
"139","4","7","4",0
"140","5","7","4",0
"141","1","1","5",11
"142","2","1","5",14
"143","3","1","5",13
"144","4","1","5",12
"145","5","1","5",18
"146","1","2","5",12
"147","2","2","5",20
"148","3","2","5",13
"149","4","2","5",17
"150","5","2","5",2
"151","1","3","5",117
"152","2","3","5",51
"153","3","3","5",57
"154","4","3","5",47
"155","5","3","5",11
"156","1","4","5",38
"157","2","4","5",16
"158","3","4","5",7
"159","4","4","5",11
"160","5","4","5",0
"161","1","5","5",83
"162","2","5","5",51
"163","3","5","5",35
"164","4","5","5",42
"165","5","5","5",13
"166","1","6","5",110
"167","2","6","5",56
"168","3","6","5",25
"169","4","6","5",39
"170","5","6","5",10
"171","1","7","5",17
"172","2","7","5",5
"173","3","7","5",1
"174","4","7","5",1
"175","5","7","5",1
"176","1","1","6",11
"177","2","1","6",5
"178","3","1","6",16
"179","4","1","6",1
"180","5","1","6",2
"181","1","2","6",11
"182","2","2","6",4
"183","3","2","6",4
"184","4","2","6",2
"185","5","2","6",1
"186","1","3","6",110
"187","2","3","6",20
"188","3","3","6",18
"189","4","3","6",3
"190","5","3","6",2
"191","1","4","6",69
"192","2","4","6",6
"193","3","4","6",12
"194","4","4","6",0
"195","5","4","6",1
"196","1","5","6",39
"197","2","5","6",17
"198","3","5","6",18
"199","4","5","6",2
"200","5","5","6",2
"201","1","6","6",85
"202","2","6","6",28
"203","3","6","6",24
"204","4","6","6",2
"205","5","6","6",1
"206","1","7","6",11
"207","2","7","6",1
"208","3","7","6",4
"209","4","7","6",0
"210","5","7","6",0
"211","1","1","7",0
"212","2","1","7",0
"213","3","1","7",0
"214","4","1","7",0
"215","5","1","7",0
"216","1","2","7",0
"217","2","2","7",0
"218","3","2","7",1
"219","4","2","7",0
"220","5","2","7",0
"221","1","3","7",1
"222","2","3","7",0
"223","3","3","7",0
"224","4","3","7",0
"225","5","3","7",0
"226","1","4","7",1
"227","2","4","7",0
"228","3","4","7",0
"229","4","4","7",0
"230","5","4","7",0
"231","1","5","7",0
"232","2","5","7",0
"233","3","5","7",1
"234","4","5","7",0
"235","5","5","7",0
"236","1","6","7",1
"237","2","6","7",1
"238","3","6","7",0
"239","4","6","7",0
"240","5","6","7",0
"241","1","7","7",0
"242","2","7","7",0
"243","3","7","7",0
"244","4","7","7",0
"245","5","7","7",0
