"","height","year","genotype"
"1",81,"1974","1"
"2",72.3,"1974","2"
"3",79.3,"1974","3"
"4",88.5,"1974","4"
"5",78.5,"1974","5"
"6",89.3,"1974","6"
"7",94.3,"1974","7"
"8",88.8,"1974","8"
"9",91.3,"1974","9"
"10",91.8,"1974","10"
"11",86,"1974","11"
"12",91,"1974","12"
"13",75.5,"1974","13"
"14",96.8,"1974","14"
"15",97,"1974","15"
"16",67.3,"1975","1"
"17",60.3,"1975","2"
"18",67.8,"1975","3"
"19",70.8,"1975","4"
"20",67.5,"1975","5"
"21",74.5,"1975","6"
"22",73,"1975","7"
"23",63.8,"1975","8"
"24",67,"1975","9"
"25",65.5,"1975","10"
"26",69.8,"1975","11"
"27",71.8,"1975","12"
"28",56.5,"1975","13"
"29",81.5,"1975","14"
"30",83.3,"1975","15"
"31",71.5,"1976","1"
"32",60.8,"1976","2"
"33",64.8,"1976","3"
"34",76.3,"1976","4"
"35",72.5,"1976","5"
"36",80.5,"1976","6"
"37",80.3,"1976","7"
"38",66.8,"1976","8"
"39",73.8,"1976","9"
"40",77,"1976","10"
"41",73.8,"1976","11"
"42",81,"1976","12"
"43",67,"1976","13"
"44",86.3,"1976","14"
"45",86.8,"1976","15"
"46",64.3,"1977","1"
"47",55.3,"1977","2"
"48",57.5,"1977","3"
"49",69.5,"1977","4"
"50",61,"1977","5"
"51",67.8,"1977","6"
"52",68.5,"1977","7"
"53",78.5,"1977","8"
"54",75.8,"1977","9"
"55",80,"1977","10"
"56",77.3,"1977","11"
"57",65.5,"1977","12"
"58",64.3,"1977","13"
"59",73.3,"1977","14"
"60",72,"1977","15"
"61",55.8,"1978","1"
"62",48.8,"1978","2"
"63",46.8,"1978","3"
"64",64,"1978","4"
"65",50.3,"1978","5"
"66",60.8,"1978","6"
"67",63.8,"1978","7"
"68",70.3,"1978","8"
"69",71.5,"1978","9"
"70",73.5,"1978","10"
"71",75.5,"1978","11"
"72",54.5,"1978","12"
"73",58.8,"1978","13"
"74",59.3,"1978","14"
"75",49.3,"1978","15"
"76",84.9,"1979","1"
"77",78.1,"1979","2"
"78",80.2,"1979","3"
"79",90.8,"1979","4"
"80",78.7,"1979","5"
"81",86.3,"1979","6"
"82",96,"1979","7"
"83",86.1,"1979","8"
"84",90.5,"1979","9"
"85",88,"1979","10"
"86",88.8,"1979","11"
"87",87.9,"1979","12"
"88",86.7,"1979","13"
"89",97,"1979","14"
"90",91.3,"1979","15"
"91",86.2,"1980","1"
"92",80.4,"1980","2"
"93",81.8,"1980","3"
"94",97.3,"1980","4"
"95",82.7,"1980","5"
"96",90.2,"1980","6"
"97",100.7,"1980","7"
"98",104.3,"1980","8"
"99",100.6,"1980","9"
"100",104.7,"1980","10"
"101",106.4,"1980","11"
"102",84.8,"1980","12"
"103",85.2,"1980","13"
"104",96.1,"1980","14"
"105",94.6,"1980","15"
"106",88,"1981","1"
"107",85.3,"1981","2"
"108",87.8,"1981","3"
"109",97.8,"1981","4"
"110",87.3,"1981","5"
"111",100,"1981","6"
"112",106.5,"1981","7"
"113",102,"1981","8"
"114",102.8,"1981","9"
"115",102,"1981","10"
"116",103.8,"1981","11"
"117",91.8,"1981","12"
"118",91.8,"1981","13"
"119",95.8,"1981","14"
"120",95.5,"1981","15"
"121",72,"1982","1"
"122",69.8,"1982","2"
"123",71.8,"1982","3"
"124",86,"1982","4"
"125",66,"1982","5"
"126",81.3,"1982","6"
"127",85.3,"1982","7"
"128",82.5,"1982","8"
"129",86.3,"1982","9"
"130",87.3,"1982","10"
"131",86.8,"1982","11"
"132",77.8,"1982","12"
"133",76,"1982","13"
"134",90.3,"1982","14"
"135",80.8,"1982","15"
