"","vote","class","religion","election","Freq"
"1","1","1","1","1",37
"2","2","1","1","1",5
"3","1","2","1","1",19
"4","2","2","1","1",4
"5","1","3","1","1",30
"6","2","3","1","1",4
"7","1","4","1","1",22
"8","2","4","1","1",8
"9","1","5","1","1",38
"10","2","5","1","1",9
"11","1","6","1","1",38
"12","2","6","1","1",6
"13","1","1","2","1",20
"14","2","1","2","1",11
"15","1","2","2","1",20
"16","2","2","2","1",3
"17","1","3","2","1",8
"18","2","3","2","1",1
"19","1","4","2","1",8
"20","2","4","2","1",6
"21","1","5","2","1",33
"22","2","5","2","1",16
"23","1","6","2","1",33
"24","2","6","2","1",37
"25","1","1","3","1",10
"26","2","1","3","1",15
"27","1","2","3","1",22
"28","2","2","3","1",18
"29","1","3","3","1",7
"30","2","3","3","1",9
"31","1","4","3","1",24
"32","2","4","3","1",30
"33","1","5","3","1",43
"34","2","5","3","1",55
"35","1","6","3","1",40
"36","2","6","3","1",104
"37","1","1","4","1",0
"38","2","1","4","1",4
"39","1","2","4","1",2
"40","2","2","4","1",3
"41","1","3","4","1",2
"42","2","3","4","1",3
"43","1","4","4","1",1
"44","2","4","4","1",4
"45","1","5","4","1",3
"46","2","5","4","1",6
"47","1","6","4","1",5
"48","2","6","4","1",28
"49","1","1","1","2",86
"50","2","1","1","2",4
"51","1","2","1","2",52
"52","2","2","1","2",0
"53","1","3","1","2",47
"54","2","3","1","2",2
"55","1","4","1","2",80
"56","2","4","1","2",20
"57","1","5","1","2",113
"58","2","5","1","2",31
"59","1","6","1","2",55
"60","2","6","1","2",18
"61","1","1","2","2",57
"62","2","1","2","2",13
"63","1","2","2","2",35
"64","2","2","2","2",5
"65","1","3","2","2",19
"66","2","3","2","2",9
"67","1","4","2","2",45
"68","2","4","2","2",24
"69","1","5","2","2",90
"70","2","5","2","2",53
"71","1","6","2","2",53
"72","2","6","2","2",54
"73","1","1","3","2",69
"74","2","1","3","2",29
"75","1","2","3","2",106
"76","2","2","3","2",45
"77","1","3","3","2",67
"78","2","3","3","2",29
"79","1","4","3","2",118
"80","2","4","3","2",118
"81","1","5","3","2",212
"82","2","5","3","2",258
"83","1","6","3","2",144
"84","2","6","3","2",333
"85","1","1","4","2",3
"86","2","1","4","2",8
"87","1","2","4","2",9
"88","2","2","4","2",9
"89","1","3","4","2",17
"90","2","3","4","2",31
"91","1","4","4","2",16
"92","2","4","4","2",78
"93","1","5","4","2",23
"94","2","5","4","2",72
"95","1","6","4","2",15
"96","2","6","4","2",102
"97","1","1","1","3",61
"98","2","1","1","3",11
"99","1","2","1","3",22
"100","2","2","1","3",11
"101","1","3","1","3",32
"102","2","3","1","3",7
"103","1","4","1","3",59
"104","2","4","1","3",21
"105","1","5","1","3",79
"106","2","5","1","3",55
"107","1","6","1","3",31
"108","2","6","1","3",37
"109","1","1","2","3",34
"110","2","1","2","3",13
"111","1","2","2","3",27
"112","2","2","2","3",16
"113","1","3","2","3",20
"114","2","3","2","3",10
"115","1","4","2","3",42
"116","2","4","2","3",37
"117","1","5","2","3",79
"118","2","5","2","3",85
"119","1","6","2","3",40
"120","2","6","2","3",69
"121","1","1","3","3",49
"122","2","1","3","3",34
"123","1","2","3","3",60
"124","2","2","3","3",59
"125","1","3","3","3",51
"126","2","3","3","3",61
"127","1","4","3","3",98
"128","2","4","3","3",159
"129","1","5","3","3",145
"130","2","5","3","3",317
"131","1","6","3","3",88
"132","2","6","3","3",318
"133","1","1","4","3",2
"134","2","1","4","3",6
"135","1","2","4","3",7
"136","2","2","4","3",10
"137","1","3","4","3",3
"138","2","3","4","3",37
"139","1","4","4","3",8
"140","2","4","4","3",70
"141","1","5","4","3",12
"142","2","5","4","3",81
"143","1","6","4","3",10
"144","2","6","4","3",84
"145","1","1","1","4",50
"146","2","1","1","4",4
"147","1","2","1","4",30
"148","2","2","1","4",5
"149","1","3","1","4",33
"150","2","3","1","4",12
"151","1","4","1","4",63
"152","2","4","1","4",17
"153","1","5","1","4",73
"154","2","5","1","4",18
"155","1","6","1","4",31
"156","2","6","1","4",17
"157","1","1","2","4",35
"158","2","1","2","4",11
"159","1","2","2","4",37
"160","2","2","2","4",5
"161","1","3","2","4",32
"162","2","3","2","4",13
"163","1","4","2","4",58
"164","2","4","2","4",24
"165","1","5","2","4",89
"166","2","5","2","4",52
"167","1","6","2","4",43
"168","2","6","2","4",40
"169","1","1","3","4",28
"170","2","1","3","4",18
"171","1","2","3","4",98
"172","2","2","3","4",27
"173","1","3","3","4",52
"174","2","3","3","4",58
"175","1","4","3","4",114
"176","2","4","3","4",122
"177","1","5","3","4",186
"178","2","5","3","4",196
"179","1","6","3","4",116
"180","2","6","3","4",196
"181","1","1","4","4",5
"182","2","1","4","4",3
"183","1","2","4","4",16
"184","2","2","4","4",14
"185","1","3","4","4",10
"186","2","3","4","4",56
"187","1","4","4","4",20
"188","2","4","4","4",91
"189","1","5","4","4",44
"190","2","5","4","4",59
"191","1","6","4","4",26
"192","2","6","4","4",95
