"","origin","destination","country","Freq"
"1","I","I","EW",311
"2","II","I","EW",161
"3","III","I","EW",128
"4","IVa","I","EW",88
"5","IVb","I","EW",36
"6","IVc","I","EW",43
"7","V/VI","I","EW",356
"8","VIIa","I","EW",150
"9","VIIb","I","EW",12
"10","I","II","EW",130
"11","II","II","EW",128
"12","III","II","EW",109
"13","IVa","II","EW",83
"14","IVb","II","EW",45
"15","IVc","II","EW",23
"16","V/VI","II","EW",375
"17","VIIa","II","EW",180
"18","VIIb","II","EW",14
"19","I","III","EW",79
"20","II","III","EW",66
"21","III","III","EW",89
"22","IVa","III","EW",43
"23","IVb","III","EW",38
"24","IVc","III","EW",25
"25","V/VI","III","EW",325
"26","VIIa","III","EW",187
"27","VIIb","III","EW",18
"28","I","IVa","EW",24
"29","II","IVa","EW",22
"30","III","IVa","EW",26
"31","IVa","IVa","EW",72
"32","IVb","IVa","EW",27
"33","IVc","IVa","EW",16
"34","V/VI","IVa","EW",108
"35","VIIa","IVa","EW",48
"36","VIIb","IVa","EW",5
"37","I","IVb","EW",22
"38","II","IVb","EW",11
"39","III","IVb","EW",25
"40","IVa","IVb","EW",41
"41","IVb","IVb","EW",47
"42","IVc","IVb","EW",14
"43","V/VI","IVb","EW",140
"44","VIIa","IVb","EW",74
"45","VIIb","IVb","EW",18
"46","I","IVc","EW",7
"47","II","IVc","EW",6
"48","III","IVc","EW",3
"49","IVa","IVc","EW",5
"50","IVb","IVc","EW",3
"51","IVc","IVc","EW",99
"52","V/VI","IVc","EW",5
"53","VIIa","IVc","EW",9
"54","VIIb","IVc","EW",10
"55","I","V/VI","EW",70
"56","II","V/VI","EW",112
"57","III","V/VI","EW",197
"58","IVa","V/VI","EW",112
"59","IVb","V/VI","EW",110
"60","IVc","V/VI","EW",86
"61","V/VI","V/VI","EW",1506
"62","VIIa","V/VI","EW",802
"63","VIIb","V/VI","EW",96
"64","I","VIIa","EW",44
"65","II","VIIa","EW",47
"66","III","VIIa","EW",113
"67","IVa","VIIa","EW",64
"68","IVb","VIIa","EW",80
"69","IVc","VIIa","EW",81
"70","V/VI","VIIa","EW",839
"71","VIIa","VIIa","EW",685
"72","VIIb","VIIa","EW",114
"73","I","VIIb","EW",1
"74","II","VIIb","EW",1
"75","III","VIIb","EW",4
"76","IVa","VIIb","EW",4
"77","IVb","VIIb","EW",4
"78","IVc","VIIb","EW",40
"79","V/VI","VIIb","EW",22
"80","VIIa","VIIb","EW",15
"81","VIIb","VIIb","EW",56
"82","I","I","F",105
"83","II","I","F",59
"84","III","I","F",40
"85","IVa","I","F",38
"86","IVb","I","F",40
"87","IVc","I","F",27
"88","V/VI","I","F",36
"89","VIIa","I","F",22
"90","VIIb","I","F",4
"91","I","II","F",72
"92","II","II","F",113
"93","III","II","F",86
"94","IVa","II","F",37
"95","IVb","II","F",68
"96","IVc","II","F",74
"97","V/VI","II","F",138
"98","VIIa","II","F",88
"99","VIIb","II","F",18
"100","I","III","F",19
"101","II","III","F",37
"102","III","III","F",64
"103","IVa","III","F",17
"104","IVb","III","F",55
"105","IVc","III","F",77
"106","V/VI","III","F",93
"107","VIIa","III","F",79
"108","VIIb","III","F",26
"109","I","IVa","F",9
"110","II","IVa","F",9
"111","III","IVa","F",10
"112","IVa","IVa","F",38
"113","IVb","IVa","F",38
"114","IVc","IVa","F",27
"115","V/VI","IVa","F",22
"116","VIIa","IVa","F",18
"117","VIIb","IVa","F",9
"118","I","IVb","F",8
"119","II","IVb","F",14
"120","III","IVb","F",20
"121","IVa","IVb","F",23
"122","IVb","IVb","F",95
"123","IVc","IVb","F",52
"124","V/VI","IVb","F",38
"125","VIIa","IVb","F",24
"126","VIIb","IVb","F",14
"127","I","IVc","F",3
"128","II","IVc","F",0
"129","III","IVc","F",4
"130","IVa","IVc","F",2
"131","IVb","IVc","F",10
"132","IVc","IVc","F",461
"133","V/VI","IVc","F",5
"134","VIIa","IVc","F",8
"135","VIIb","IVc","F",19
"136","I","V/VI","F",26
"137","II","V/VI","F",54
"138","III","V/VI","F",103
"139","IVa","V/VI","F",36
"140","IVb","V/VI","F",92
"141","IVc","V/VI","F",156
"142","V/VI","V/VI","F",339
"143","VIIa","V/VI","F",235
"144","VIIb","V/VI","F",68
"145","I","VIIa","F",11
"146","II","VIIa","F",34
"147","III","VIIa","F",61
"148","IVa","VIIa","F",22
"149","IVb","VIIa","F",74
"150","IVc","VIIa","F",286
"151","V/VI","VIIa","F",189
"152","VIIa","VIIa","F",209
"153","VIIb","VIIa","F",107
"154","I","VIIb","F",1
"155","II","VIIb","F",2
"156","III","VIIb","F",4
"157","IVa","VIIb","F",1
"158","IVb","VIIb","F",7
"159","IVc","VIIb","F",73
"160","V/VI","VIIb","F",9
"161","VIIa","VIIb","F",11
"162","VIIb","VIIb","F",47
"163","I","I","S",52
"164","II","I","S",30
"165","III","I","S",10
"166","IVa","I","S",26
"167","IVb","I","S",8
"168","IVc","I","S",24
"169","V/VI","I","S",33
"170","VIIa","I","S",32
"171","VIIb","I","S",5
"172","I","II","S",15
"173","II","II","S",27
"174","III","II","S",19
"175","IVa","II","S",24
"176","IVb","II","S",13
"177","IVc","II","S",47
"178","V/VI","II","S",89
"179","VIIa","II","S",49
"180","VIIb","II","S",10
"181","I","III","S",13
"182","II","III","S",14
"183","III","III","S",10
"184","IVa","III","S",5
"185","IVb","III","S",6
"186","IVc","III","S",44
"187","V/VI","III","S",40
"188","VIIa","III","S",28
"189","VIIb","III","S",3
"190","I","IVa","S",3
"191","II","IVa","S",3
"192","III","IVa","S",2
"193","IVa","IVa","S",20
"194","IVb","IVa","S",3
"195","IVc","IVa","S",17
"196","V/VI","IVa","S",13
"197","VIIa","IVa","S",14
"198","VIIb","IVa","S",0
"199","I","IVb","S",2
"200","II","IVb","S",4
"201","III","IVb","S",4
"202","IVa","IVb","S",8
"203","IVb","IVb","S",9
"204","IVc","IVb","S",22
"205","V/VI","IVb","S",18
"206","VIIa","IVb","S",17
"207","VIIb","IVb","S",6
"208","I","IVc","S",0
"209","II","IVc","S",0
"210","III","IVc","S",0
"211","IVa","IVc","S",1
"212","IVb","IVc","S",4
"213","IVc","IVc","S",92
"214","V/VI","IVc","S",5
"215","VIIa","IVc","S",5
"216","VIIb","IVc","S",3
"217","I","V/VI","S",11
"218","II","V/VI","S",27
"219","III","V/VI","S",16
"220","IVa","V/VI","S",33
"221","IVb","V/VI","S",31
"222","IVc","V/VI","S",132
"223","V/VI","V/VI","S",188
"224","VIIa","V/VI","S",159
"225","VIIb","V/VI","S",33
"226","I","VIIa","S",7
"227","II","VIIa","S",12
"228","III","VIIa","S",11
"229","IVa","VIIa","S",22
"230","IVb","VIIa","S",20
"231","IVc","VIIa","S",144
"232","V/VI","VIIa","S",104
"233","VIIa","VIIa","S",109
"234","VIIb","VIIa","S",42
"235","I","VIIb","S",0
"236","II","VIIb","S",2
"237","III","VIIb","S",1
"238","IVa","VIIb","S",0
"239","IVb","VIIb","S",1
"240","IVc","VIIb","S",21
"241","V/VI","VIIb","S",5
"242","VIIa","VIIb","S",4
"243","VIIb","VIIb","S",8
