"","SM","MPS","OMO","GMA","PDM","TPE","SET","HP","API","APH","APB","AOA","NCC","FRC","OCW","SDC","SEC","SMC","SMM","SMO","CW","HW","CCW","PSP","PSW","BSR","SW","PMO","TO","RWS","GL"
"SM",37,10,9,12,16,18,8,17,20,8,18,4,10,2,9,1,6,5,5,2,0,1,3,3,7,0,3,4,1,5,1
"MPS",11,63,4,13,8,10,2,11,10,19,14,9,11,5,10,6,27,14,15,13,12,5,4,11,8,9,32,10,9,20,11
"OMO",14,12,21,3,7,11,6,13,5,9,7,1,6,2,4,1,8,7,8,3,1,2,5,5,1,4,6,3,7,3,1
"GMA",20,13,11,14,2,12,6,14,10,11,12,6,12,4,6,1,18,5,8,3,2,3,3,7,4,3,11,2,1,3,2
"PDM",9,8,14,2,36,13,4,13,6,8,7,1,6,2,6,3,7,19,12,7,1,2,0,4,3,6,4,7,9,3,21
"TPE",13,13,5,12,5,146,7,31,7,26,21,12,9,12,7,2,17,5,3,9,2,3,13,2,6,1,6,7,3,8,2
"SET",8,4,8,8,10,11,23,9,20,6,5,3,4,1,6,1,5,9,5,3,1,2,1,0,0,7,6,5,3,1,2
"HP",16,10,1,13,8,31,8,67,17,29,16,0,14,2,5,1,7,8,4,4,1,2,2,3,3,12,2,6,1,7,0
"API",22,15,6,15,9,22,13,23,42,22,20,5,9,5,15,3,10,9,15,9,1,3,4,8,3,9,11,15,2,8,5
"APH",8,14,9,13,9,25,2,15,14,128,14,10,10,3,13,1,17,4,4,12,6,22,11,5,4,6,29,6,2,11,8
"APB",14,13,6,9,9,19,9,20,9,8,44,5,10,5,4,2,13,2,2,4,1,3,2,4,0,9,5,2,2,2,2
"AOA",1,5,6,8,2,16,2,2,7,17,5,17,11,1,14,2,11,5,5,1,1,3,8,5,0,2,15,3,4,7,3
"NCC",17,20,6,12,3,13,2,13,15,15,14,7,43,3,18,3,25,4,8,9,8,12,10,2,8,0,24,8,4,15,2
"FRC",7,9,4,7,2,11,1,6,9,13,6,2,16,12,10,3,9,1,4,2,3,3,3,3,4,1,10,3,4,6,4
"OCW",11,11,5,10,3,14,3,9,8,18,4,4,20,4,40,9,27,6,7,7,4,14,8,1,5,8,27,5,3,14,7
"SDC",2,5,8,1,5,3,3,0,4,5,4,2,5,5,11,20,7,11,10,8,4,4,4,5,7,5,11,8,6,6,13
"SEC",6,8,9,8,1,17,2,9,8,18,8,6,9,2,18,2,53,3,4,7,10,10,11,4,12,6,25,8,3,8,5
"SMC",4,10,7,5,11,4,6,5,9,3,3,4,4,4,6,3,3,71,20,24,4,5,2,7,5,7,11,20,18,13,24
"SMM",4,11,5,3,12,5,7,5,9,2,1,3,7,2,4,2,3,28,79,21,5,3,0,10,5,6,14,25,14,8,19
"SMO",1,9,8,5,7,11,5,4,11,10,11,2,7,1,6,1,11,26,20,58,10,10,5,4,9,4,19,25,22,20,12
"CW",1,19,5,3,5,6,0,0,3,8,4,0,6,2,3,2,6,3,1,10,31,10,3,3,9,4,21,11,3,21,9
"HW",2,7,1,4,1,6,1,4,1,26,3,3,7,1,9,4,11,3,5,13,5,44,5,5,11,1,19,7,7,20,6
"CCW",4,10,0,4,0,16,0,3,3,27,4,1,16,5,9,0,17,1,2,5,6,12,39,3,3,3,15,5,2,15,5
"PSP",4,8,5,4,5,6,0,5,1,6,2,1,6,0,5,1,3,3,8,6,2,2,3,38,4,2,6,10,8,5,11
"PSW",2,7,1,7,2,4,0,2,3,7,6,2,8,1,8,1,6,6,4,8,11,8,6,8,30,4,14,8,4,13,9
"BSR",10,10,4,6,4,7,3,5,8,5,2,3,5,1,6,1,4,10,3,7,2,1,0,1,4,13,6,2,1,2,5
"SW",3,25,7,7,5,14,4,11,12,27,9,4,26,6,31,4,39,10,13,21,18,24,20,5,20,10,118,14,9,48,11
"PMO",4,20,4,4,20,4,3,7,13,14,8,4,10,6,12,7,14,34,40,39,12,20,3,14,8,9,26,106,28,37,41
"TO",1,13,9,3,8,8,4,1,8,8,7,1,7,3,4,3,5,16,17,12,6,4,4,6,7,3,12,16,79,12,14
"RWS",4,16,2,7,3,7,3,8,6,35,6,5,14,3,21,6,26,18,13,22,26,31,25,8,15,2,38,14,19,135,22
"GL",1,11,2,1,14,2,2,2,3,7,0,0,3,0,2,3,8,22,12,11,6,4,0,3,3,0,5,10,15,13,38
