"","region","bush","dukakis","other","proportion"
"1","Northeast I",0.298,0.617,0.085,0.032
"2","Northeast II",0.5,0.478,0.022,0.032
"3","Northeast III",0.467,0.413,0.12,0.115
"4","Northeast IV",0.464,0.522,0.014,0.048
"5","Midwest I",0.404,0.489,0.106,0.032
"6","Midwest II",0.447,0.447,0.106,0.065
"7","Midwest III",0.509,0.388,0.103,0.08
"8","Midwest IV",0.552,0.338,0.11,0.1
"9","South I",0.571,0.286,0.143,0.015
"10","South II",0.469,0.406,0.125,0.066
"11","South III",0.515,0.404,0.081,0.068
"12","South IV",0.555,0.352,0.093,0.126
"13","West I",0.5,0.471,0.029,0.023
"14","West II",0.532,0.351,0.117,0.053
"15","West III",0.54,0.371,0.089,0.086
"16","West IV",0.554,0.361,0.084,0.057
