"","adults","preference","lines.1","lines.2","lines.3","lines.4","lines.Q"
"1",1,"Bush",124,3,0,2,2
"2",1,"Dukakis",134,2,0,0,0
"3",1,"No opinion/other",32,0,0,0,1
"4",2,"Bush",332,21,3,0,5
"5",2,"Dukakis",229,15,0,0,3
"6",2,"No opinion/other",47,0,0,0,6
"7",3,"Bush",71,9,1,0,0
"8",3,"Dukakis",47,7,1,0,0
"9",3,"No opinion/other",4,1,0,0,0
"10",4,"Bush",23,4,0,1,0
"11",4,"Dukakis",11,3,0,0,0
"12",4,"No opinion/other",3,0,0,0,0
"13",5,"Bush",3,0,0,0,0
"14",5,"Dukakis",4,0,0,0,0
"15",5,"No opinion/other",1,0,0,0,0
"16",6,"Bush",1,0,0,0,0
"17",6,"Dukakis",1,0,0,0,0
"18",6,"No opinion/other",0,0,0,0,0
"19",7,"Bush",2,0,0,0,0
"20",7,"Dukakis",0,0,0,0,0
"21",7,"No opinion/other",0,0,0,0,0
"22",8,"Bush",1,0,0,0,0
"23",8,"Dukakis",0,0,0,0,0
"24",8,"No opinion/other",0,0,0,0,0
"25",NA,"Bush",0,1,0,0,0
"26",NA,"Dukakis",1,0,0,0,0
"27",NA,"No opinion/other",0,0,0,0,0
