"","study","control.deaths","control.total","treated.deaths","treated.total"
"1",1,3,39,3,38
"2",2,14,116,7,114
"3",3,11,93,5,69
"4",4,127,1520,102,1533
"5",5,27,365,28,355
"6",6,6,52,4,59
"7",7,152,939,98,945
"8",8,48,471,60,632
"9",9,37,282,25,278
"10",10,188,1921,138,1916
"11",11,52,583,64,873
"12",12,47,266,45,263
"13",13,16,293,9,291
"14",14,45,883,57,858
"15",15,31,147,25,154
"16",16,38,213,33,207
"17",17,12,122,28,251
"18",18,6,154,8,151
"19",19,3,134,6,174
"20",20,40,218,32,209
"21",21,43,364,27,391
"22",22,39,674,22,680
