"","x"
"1",28
"2",26
"3",33
"4",24
"5",34
"6",-44
"7",27
"8",16
"9",40
"10",-2
"11",29
"12",22
"13",24
"14",21
"15",25
"16",30
"17",23
"18",29
"19",31
"20",19
"21",24
"22",20
"23",36
"24",32
"25",36
"26",28
"27",25
"28",21
"29",28
"30",29
"31",37
"32",25
"33",28
"34",26
"35",30
"36",32
"37",36
"38",26
"39",30
"40",22
"41",36
"42",23
"43",27
"44",27
"45",28
"46",27
"47",31
"48",27
"49",26
"50",33
"51",26
"52",32
"53",32
"54",24
"55",39
"56",28
"57",24
"58",25
"59",32
"60",25
"61",29
"62",27
"63",28
"64",29
"65",16
"66",23
