"","y","N","Current"
"1",0,20,"0"
"2",0,20,"0"
"3",0,20,"0"
"4",0,20,"0"
"5",0,20,"0"
"6",0,20,"0"
"7",0,20,"0"
"8",0,19,"0"
"9",0,19,"0"
"10",0,19,"0"
"11",0,19,"0"
"12",0,18,"0"
"13",0,18,"0"
"14",0,17,"0"
"15",1,20,"0"
"16",1,20,"0"
"17",1,20,"0"
"18",1,20,"0"
"19",1,19,"0"
"20",1,19,"0"
"21",1,18,"0"
"22",1,18,"0"
"23",3,27,"0"
"24",2,25,"0"
"25",2,24,"0"
"26",2,23,"0"
"27",2,20,"0"
"28",2,20,"0"
"29",2,20,"0"
"30",2,20,"0"
"31",2,20,"0"
"32",2,20,"0"
"33",1,10,"0"
"34",5,49,"0"
"35",2,19,"0"
"36",5,46,"0"
"37",2,17,"0"
"38",7,49,"0"
"39",7,47,"0"
"40",3,20,"0"
"41",3,20,"0"
"42",2,13,"0"
"43",9,48,"0"
"44",10,50,"0"
"45",4,20,"0"
"46",4,20,"0"
"47",4,20,"0"
"48",4,20,"0"
"49",4,20,"0"
"50",4,20,"0"
"51",4,20,"0"
"52",10,48,"0"
"53",4,19,"0"
"54",4,19,"0"
"55",4,19,"0"
"56",5,22,"0"
"57",11,46,"0"
"58",12,49,"0"
"59",5,20,"0"
"60",5,20,"0"
"61",6,23,"0"
"62",5,19,"0"
"63",6,22,"0"
"64",6,20,"0"
"65",6,20,"0"
"66",6,20,"0"
"67",16,52,"0"
"68",15,46,"0"
"69",15,47,"0"
"70",9,24,"0"
"71",4,14,"1"
