"","population","code"
"1",2627319,100
"2",1809578,300
"3",1698281,100
"4",1424815,400
"5",532759,100
"6",318611,100
"7",221991,100
"8",216038,100
"9",190634,100
"10",172959,100
"11",129726,100
"12",102394,100
"13",100410,100
"14",81682,100
"15",76812,300
"16",76010,100
"17",75941,100
"18",70000,100
"19",67492,100
"20",65276,100
"21",65128,100
"22",51646,100
"23",50485,100
"24",50405,400
"25",46517,100
"26",46036,100
"27",45000,100
"28",44807,400
"29",41818,100
"30",38629,400
"31",38330,100
"32",35249,300
"33",34757,100
"34",34641,300
"35",34419,100
"36",34172,100
"37",33306,100
"38",32900,100
"39",30979,100
"40",30448,100
"41",30204,100
"42",30138,100
"43",29564,100
"44",29260,100
"45",28799,100
"46",28772,300
"47",27710,100
"48",26473,100
"49",26443,200
"50",26355,100
"51",3653,100
"52",3622,100
"53",3616,100
"54",3576,100
"55",3568,100
"56",3566,100
"57",3548,100
"58",3533,100
"59",3533,100
"60",3487,100
"61",3476,100
"62",3471,100
"63",3352,300
"64",3348,400
"65",3343,100
"66",3330,100
"67",3323,100
"68",3320,300
"69",3310,100
"70",3284,100
"71",3278,100
"72",3262,100
"73",3250,100
"74",3218,100
"75",3193,100
"76",3193,200
"77",3180,100
"78",3113,100
"79",3070,100
"80",3060,100
"81",3058,100
"82",3041,100
"83",3035,100
"84",2998,200
"85",2954,300
"86",2940,100
"87",2931,100
"88",2922,100
"89",2921,200
"90",2915,200
"91",2849,100
"92",2847,100
"93",2841,100
"94",2813,100
"95",2809,400
"96",2807,100
"97",2788,100
"98",2785,100
"99",2772,100
"100",2767,100
"101",907,100
"102",905,100
"103",904,100
"104",903,100
"105",900,100
"106",900,100
"107",900,100
"108",900,100
"109",900,400
"110",900,100
"111",900,100
"112",900,100
"113",900,100
"114",898,100
"115",898,100
"116",896,400
"117",887,200
"118",886,300
"119",881,100
"120",876,100
"121",876,100
"122",876,400
"123",875,100
"124",873,100
"125",868,100
"126",868,100
"127",862,100
"128",850,300
"129",850,100
"130",850,100
"131",850,100
"132",842,400
"133",837,100
"134",834,100
"135",834,200
"136",833,100
"137",828,100
"138",827,100
"139",824,100
"140",821,100
"141",820,100
"142",818,100
"143",815,100
"144",810,100
"145",803,100
"146",800,100
"147",800,100
"148",800,100
"149",800,200
"150",800,100
"151",25000,100
"152",24960,100
"153",23948,100
"154",23817,200
"155",23475,200
"156",23438,100
"157",23138,300
"158",22155,100
"159",21868,100
"160",21741,100
"161",21561,100
"162",21261,100
"163",20905,100
"164",20519,100
"165",20515,200
"166",20172,300
"167",20129,400
"168",19904,100
"169",19881,100
"170",19181,100
"171",19118,100
"172",18789,100
"173",18775,200
"174",18737,100
