"","ID","x","y","DA30","CO30","COB1r","S_UDS","COSha30","Cor4DAidep","CorT"
"1","S1",669030,448722,1.65,0.99,"P","LBa4",49.19,43.28,1.36704433925476
"2","S2",669330,448734,1.6,1.33,"P","CNa1",63.99,56.3,1.3860778406104
"3","S4",670292,448697,1.5,1.33,"Ci","LBa4",59.81,53.97,1.38324323121602
"4","S7",669709,448952,1.32,1.09,"P","CNa1",43.1,37.92,1.35610993511296
"5","S8",671321,448700,1.41,1.04,"Ci","LBa2",44.16,39.85,1.36032967760322
"6","S9",670881,448699,1.39,1.19,"P","LBa4",49.46,43.52,1.36747216712939
"7","S10",670548,448700,1.51,1.21,"Ci","LBa4",54.81,49.45,1.37711836120369
"8","S11",671340,448969,1.39,1.36,"Ci","LBa4",56.56,51.03,1.37936079035649
"9","S12",671082,448966,1.55,1.09,"Ci","LBa4",50.85,45.88,1.3715662220961
"10","S13",670862,448968,1.63,1.19,"P","LBa4",58.02,51.05,1.37938362815528
"11","S14",672432,449002,1.42,1.09,"P","ss",46.49,40.91,1.36250062589481
"12","S15",672162,448976,1.32,0.92,"Ctv","LBa4",36.38,32.38,1.34173760837855
"13","S16",671899,448965,1.42,1.14,"Ctv","LBa4",48.58,43.24,1.36697726979318
"14","S17",671611,448967,1.52,1.14,"Ctv","LBa4",52,46.29,1.37223046562755
"15","S18",670561,448982,1.17,1.09,"Ci","LBa4",38.28,34.54,1.34779745276564
"16","S19",669213,449523,1.27,1.48,"P","CHa3",56.29,49.52,1.37721575728089
"17","S20",669838,449510,0.8,2.57,"P","CPa1",62.01,54.55,1.38397456984925
"18","S21",670021,449522,1.45,0.95,"P","RTa3",41.09,36.15,1.35193556086552
"19","S22",670292,449525,1.31,1.36,"P","RTa3",53.34,46.93,1.37327096508459
"20","S23",670613,449523,1.43,1.41,"P","RTa3",60.49,53.22,1.38228682368379
"21","S24",670831,449522,1.49,1.19,"P","RTa3",53.12,46.74,1.37296104544967
"22","S25",670831,449792,1.47,1.31,"P","RTa3",57.57,50.65,1.37883239323477
"23","S26",670827,449248,1.24,1.14,"P","LBa4",42.29,37.21,1.35447349709317
"24","S27",671101,449252,1.51,1.02,"P","LBa4",46.23,40.68,1.36203669304362
"25","S28",671371,449252,1.49,1.28,"Ctv","LBa4",57.46,51.15,1.37951798863248
"26","S29",671641,449252,1.38,1.48,"P","LBa4",61.25,53.89,1.38314427080774
"27","S31",672170,449298,1.23,1.14,"Cpf","LBa4",42.18,38.06,1.3564263308931
"28","S32",672721,451142,1.56,1.14,"P","RTa3",53.23,46.83,1.37311225728849
"29","S33",672451,450872,1.23,2.06,"P","RTa1",76.02,66.88,1.39684023824004
"30","S34",672181,450872,1.62,1.45,"P","RTa3",70.64,62.15,1.39240868818252
"31","S35",672181,450602,1.21,2.04,"P","RTa1",74.1,65.19,1.39532242567959
"32","S36",672181,450332,1.4,1.5,"P","RTa3",63.14,55.55,1.38518900090407
"33","S40",671891,449798,1.53,1.28,"P","RTa3",58.8,51.73,1.38031978877255
"34","S41",671911,450062,1.42,1.55,"P","RTa3",66.08,58.14,1.38818318927628
"35","S43",671371,449792,1.51,1.28,"P","RTa3",58.23,51.23,1.37963466505556
"36","S44",671641,450062,1.42,1.48,"P","CQa1",62.79,55.24,1.38481587756253
"37","S45",671364,450079,1.41,1.28,"P","CQa1",54.43,47.89,1.37477328926167
