"","ID","x","y","DA10","CO10","COB1r","S_UDS","COSha10","Cor4DAidep","CorT"
"1","S1",669030,448722,1.57,1.33,"P","LBa4",20.92,17.9,1.23036130199811
"2","S2",669330,448734,1.45,1.72,"P","CNa1",24.89,21.3,1.25161595289501
"3","S4",670292,448697,1.49,1.45,"Ci","LBa4",21.71,19.28,1.23976529960171
"4","S5",669330,449102,1.16,1.24,"P","CHab3",14.4,12.32,1.17472430561387
"5","S7",669709,448952,1.27,1.09,"P","CNa1",13.83,11.84,1.16785993275783
"6","S8",671321,448700,1.28,1.04,"Ci","LBa2",13.34,11.85,1.16805403102238
"7","S9",670881,448699,1.4,1.31,"P","LBa4",18.37,15.72,1.21262493326424
"8","S10",670548,448700,1.49,1.5,"Ci","LBa4",22.34,19.84,1.24324500843266
"9","S11",671340,448969,1.27,1.41,"Ci","LBa4",17.79,15.8,1.21332726951993
"10","S12",671082,448966,1.53,1.38,"Ci","LBa4",21.15,18.78,1.23649382270245
"11","S13",670862,448968,1.61,1.12,"P","LBa4",18,15.41,1.20974249692388
"12","S14",672432,449002,1.55,1.31,"P","ss",20.3,17.37,1.22640232348959
"13","S15",672162,448976,1.43,1.09,"Ctv","LBa4",15.64,13.28,1.1871293706198
"14","S16",671899,448965,1.34,1.19,"Ctv","LBa4",15.9,13.51,1.18979256567323
"15","S17",671611,448967,1.33,1.38,"Ctv","LBa4",18.35,15.59,1.21141499934014
"16","S18",670561,448982,1.41,1.07,"Ci","LBa4",15.09,13.4,1.18854240350979
"17","S19",669213,449523,1.37,1.79,"P","CHa3",24.53,20.99,1.2499235112978
"18","S20",669838,449510,0.96,3.35,"P","CPa1",32.05,27.43,1.27824102138213
"19","S21",670021,449522,1.41,1.33,"P","RTa3",18.82,16.1,1.21604143280968
"20","S22",670292,449525,1.38,1.72,"P","RTa3",23.81,20.37,1.24640190255632
"21","S23",670613,449523,1.24,1.7,"P","RTa3",21.07,18.03,1.23126128265338
"22","S24",670831,449522,1.39,1.33,"P","RTa3",18.6,15.91,1.21436633405998
"23","S25",670831,449792,1.38,1.55,"P","RTa3",21.34,18.26,1.23287062413184
"24","S26",670827,449248,1.27,1.45,"P","LBa4",18.48,15.81,1.21345955985316
"25","S27",671101,449252,1.52,1.26,"P","LBa4",19.19,16.42,1.2187368762355
"26","S28",671371,449252,1.26,1.62,"Ctv","LBa4",20.54,17.44,1.22691512504849
"27","S29",671641,449252,1.29,1.7,"P","LBa4",21.88,18.72,1.23605281178082
"28","S31",672170,449298,1.19,1.41,"Cpf","LBa4",16.75,14.88,1.20464018437051
"29","S32",672721,451142,1.6,1.55,"P","RTa3",24.84,21.25,1.25135553504581
"30","S33",672451,450872,1.15,2.79,"P","RTa1",31.98,27.36,1.27801288851021
"31","S34",672181,450872,1.52,1.55,"P","RTa3",23.56,20.16,1.2451799279049
"32","S35",672181,450602,1.3,3.3,"P","RTa1",42.77,36.6,1.30334182983287
"33","S36",672181,450332,1.3,2.28,"P","RTa3",29.64,25.36,1.27050114681097
"34","S40",671891,449798,1.59,1.41,"P","RTa3",22.36,19.13,1.23879463795742
"35","S41",671911,450062,1.3,2.16,"P","RTa3",28.07,24.02,1.26486623681031
"36","S43",671371,449792,1.52,1.65,"P","RTa3",25.11,21.49,1.25261935443585
"37","S44",671641,450062,1.16,1.89,"P","CQa1",21.87,18.72,1.23604429405124
"38","S45",671364,450079,1.3,2.18,"P","CQa1",28.41,24.31,1.266124805453
"39","S46",671095,450076,1.32,1.21,"P","RTa3",16.02,13.71,1.19213360410181
"40","S47",670838,450012,1.24,1.67,"P","CQa1",20.81,17.8,1.22962113873649
"41","S48",670561,449792,1.28,1.94,"P","RTa1",24.73,21.16,1.25084621153878
"42","S49",670021,449252,1.37,1.28,"Ctv","RTa3",17.65,14.99,1.20570059336825
"43","S50",669737,449210,1.39,1.04,"P","CHa3",14.53,12.43,1.17627776862184
"44","S51",669482,449250,1.33,1.24,"P","CHa3",16.45,14.08,1.19626261152631
"45","S52",669223,449236,1.14,2.16,"P","CNa1",24.58,21.03,1.2501349988916
"46","S53",670559,450872,1.37,1.58,"P","CPa3",21.58,18.47,1.23433275312724
"47","S55",670291,450602,1.3,1.5,"Ctv","CPa3",19.58,16.63,1.22047950542524
"48","S56",670014,450329,1.42,1.67,"P","CPa3",23.83,20.39,1.24650301543158
"49","S57",669786,448532,1.46,1.62,"P","LBat4",23.68,20.27,1.24578651283853
"50","S58",669502,448517,1.19,1.33,"P","LBat4",15.91,13.62,1.19109420160739
"51","S59",669373,448526,1.19,1.67,"Cpf","LBat4",19.88,17.66,1.22855570126112
"52","S60",669298,448687,1.28,1.19,"Cpf","LBa4",15.23,13.53,1.19005145871021
"53","S61",668910,448520,1.39,1.26,"P","LBat4",17.52,14.99,1.20572165946131
"54","S62",670682,448659,1.16,1.24,"Pl","LBa4",14.29,12.69,1.17972534538936
"55","S63",670694,448961,1.34,1.26,"Pl","LBa4",16.94,15.05,1.20630215475457
"56","S64",672136,449657,1.35,1.21,"Cpf","LBa4",16.41,14.58,1.20159964020279
"57","S65",672646,449669,1.44,1.14,"Ctv","LBa4",16.37,13.9,1.19434305062656
"58","S66",672643,449209,1.35,1.91,"P","LBa2",25.94,22.2,1.25629320284288
"59","S67",672595,448835,1.15,2.16,"P","ss",24.91,21.31,1.25166999720572
"60","S68",671859,448748,1.37,1.43,"P","LBa4",19.63,16.79,1.22184131251391
"61","S69",671745,453293,1.38,1.33,"Pl","BQa2",18.35,16.3,1.21773992837151
"62","S70",672183,453305,1.36,1.09,"Pl","BQa1",14.8,13.14,1.18544868468024
"63","S71",672463,453303,1.24,1.75,"Pl","CQa1",21.59,19.17,1.2390560091937
"64","S72",672713,453296,1.26,1.38,"Pl","CQa1",17.42,15.47,1.21034608328046
"65","S73",672437,453025,1.27,1.16,"Pl","ENa3",14.83,13.17,1.18574205024146
"66","S74",672179,453034,1.17,2.23,"Pl","BJa1",26.02,23.11,1.2607245569382
"67","S75",671903,453028,1.38,0.95,"Pl","ENa3",13.01,11.55,1.16360666658533
"68","S76",671637,453033,1.29,1.04,"Pl","ENa3",13.42,11.92,1.16902985795068
"69","S77",671649,452756,1.41,1.55,"Pl","BJa1",21.8,19.36,1.24028138736903
"70","S78",671923,452767,1.2,1.84,"Pl","BJa1",22.02,19.56,1.24149789696148
"71","S79",672184,452752,1.14,1.77,"Pl","BJa1",20.16,17.9,1.23035935982795
"72","S80",672451,452762,1.26,1.33,"Pl","ENa3",16.84,14.95,1.2053868988978
