"","LeadPetrol","RiverSea","RadioWaste","AirPollution","Chemicals","Nuclear"
"1","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"2","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"3","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"4","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"5","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"6","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"7","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"8","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"9","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"10","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"11","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"12","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"13","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"14","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"15","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"16","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"17","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"18","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"19","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"20","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"21","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"22","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"23","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"24","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"25","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"26","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"27","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"28","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"29","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"30","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"31","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"32","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"33","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"34","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"35","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"36","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"37","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"38","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"39","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"40","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"41","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"42","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"43","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"44","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"45","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"46","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"47","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"48","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"49","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"50","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"51","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"52","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"53","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"54","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"55","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"56","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"57","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"58","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"59","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"60","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"61","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"62","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"63","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"64","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"65","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"66","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"67","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"68","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"69","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"70","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"71","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"72","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"73","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"74","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"75","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"76","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"77","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"78","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"79","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"80","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"81","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"82","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"83","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"84","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"85","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"86","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"87","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"88","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"89","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"90","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"91","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"92","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"93","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"94","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"95","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"96","very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"97","slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"98","slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"99","slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"100","slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"101","slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"102","slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"103","slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"104","slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"105","slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"106","slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"107","slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"108","slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"109","slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"110","slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"111","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"112","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"113","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"114","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"115","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"116","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"117","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"118","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"119","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"120","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"121","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"122","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"123","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"124","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"125","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"126","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"127","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"128","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"129","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"130","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"131","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"132","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"133","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"134","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"135","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"136","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"137","very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"138","very concerned","slightly concerned","very concerned","very concerned","very concerned","very concerned"
"139","very concerned","slightly concerned","very concerned","very concerned","very concerned","very concerned"
"140","not very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"141","not very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"142","not very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"143","very concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"144","very concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"145","very concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"146","very concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"147","slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"148","slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"149","slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"150","slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"151","slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"152","slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"153","slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"154","slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"155","slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"156","very concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"157","very concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"158","very concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"159","very concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"160","very concerned","very concerned","slightly concerned","very concerned","very concerned","very concerned"
"161","very concerned","very concerned","slightly concerned","very concerned","very concerned","very concerned"
"162","very concerned","very concerned","slightly concerned","very concerned","very concerned","very concerned"
"163","slightly concerned","slightly concerned","very concerned","very concerned","very concerned","very concerned"
"164","very concerned","very concerned","very concerned","very concerned","slightly concerned","very concerned"
"165","slightly concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"166","slightly concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"167","slightly concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"168","slightly concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"169","slightly concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"170","slightly concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"171","slightly concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"172","slightly concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"173","slightly concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"174","very concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"175","very concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"176","very concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"177","very concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"178","very concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"179","very concerned","very concerned","slightly concerned","very concerned","very concerned","slightly concerned"
"180","very concerned","very concerned","slightly concerned","very concerned","very concerned","slightly concerned"
"181","not very concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"182","slightly concerned","very concerned","very concerned","very concerned","slightly concerned","very concerned"
"183","slightly concerned","slightly concerned","very concerned","very concerned","very concerned","slightly concerned"
"184","very concerned","very concerned","very concerned","very concerned","slightly concerned","slightly concerned"
"185","very concerned","very concerned","very concerned","very concerned","slightly concerned","slightly concerned"
"186","not very concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"187","not very concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"188","slightly concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"189","slightly concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"190","slightly concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"191","slightly concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"192","very concerned","very concerned","slightly concerned","very concerned","very concerned","not very concerned"
"193","slightly concerned","slightly concerned","very concerned","very concerned","very concerned","not very concerned"
"194","slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","very concerned"
"195","slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","very concerned"
"196","slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","very concerned"
"197","slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","very concerned"
"198","slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","very concerned"
"199","slightly concerned","very concerned","very concerned","very concerned","slightly concerned","slightly concerned"
"200","slightly concerned","very concerned","very concerned","very concerned","slightly concerned","slightly concerned"
"201","very concerned","very concerned","very concerned","slightly concerned","slightly concerned","very concerned"
"202","very concerned","very concerned","very concerned","slightly concerned","slightly concerned","very concerned"
"203","very concerned","very concerned","very concerned","slightly concerned","slightly concerned","very concerned"
"204","very concerned","slightly concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"205","very concerned","very concerned","slightly concerned","very concerned","slightly concerned","very concerned"
"206","slightly concerned","very concerned","slightly concerned","very concerned","very concerned","not very concerned"
"207","very concerned","very concerned","very concerned","very concerned","not very concerned","not very concerned"
"208","slightly concerned","very concerned","slightly concerned","slightly concerned","very concerned","very concerned"
"209","slightly concerned","very concerned","slightly concerned","slightly concerned","very concerned","very concerned"
