"","Comfort","Environment","Work","Future","Technology","Industry","Benefit"
"1","strongly agree","strongly agree","strongly agree","agree","strongly agree","agree","disagree"
"2","agree","strongly agree","agree","agree","agree","agree","agree"
"3","agree","disagree","disagree","disagree","strongly agree","strongly agree","agree"
"4","agree","agree","disagree","disagree","strongly agree","strongly agree","agree"
"5","agree","strongly disagree","strongly agree","strongly agree","disagree","agree","strongly disagree"
"6","strongly agree","agree","strongly agree","agree","agree","strongly agree","agree"
"7","agree","disagree","disagree","agree","strongly agree","strongly agree","strongly agree"
"8","agree","disagree","disagree","agree","agree","strongly agree","strongly agree"
"9","agree","agree","agree","strongly agree","strongly agree","strongly agree","disagree"
"10","strongly agree","agree","agree","agree","agree","agree","agree"
"11","agree","agree","agree","strongly agree","disagree","agree","agree"
"12","agree","agree","strongly disagree","disagree","disagree","strongly agree","agree"
"13","agree","disagree","agree","agree","strongly agree","agree","agree"
"14","agree","disagree","agree","agree","disagree","disagree","disagree"
"15","agree","strongly agree","disagree","agree","strongly agree","agree","disagree"
"16","agree","strongly agree","agree","agree","strongly agree","strongly agree","agree"
"17","agree","agree","strongly disagree","disagree","agree","disagree","disagree"
"18","agree","agree","agree","agree","disagree","agree","agree"
"19","agree","disagree","disagree","agree","agree","agree","disagree"
"20","agree","agree","agree","agree","disagree","disagree","agree"
"21","disagree","agree","agree","strongly disagree","disagree","agree","agree"
"22","agree","agree","strongly disagree","agree","agree","strongly agree","agree"
"23","agree","agree","agree","agree","agree","agree","agree"
"24","strongly disagree","disagree","strongly agree","disagree","disagree","agree","agree"
"25","agree","strongly disagree","agree","agree","agree","agree","disagree"
"26","agree","agree","disagree","agree","agree","agree","disagree"
"27","agree","strongly agree","disagree","agree","agree","agree","agree"
"28","strongly agree","agree","agree","agree","agree","agree","agree"
"29","agree","strongly agree","strongly disagree","agree","strongly agree","strongly agree","disagree"
"30","agree","strongly agree","disagree","agree","agree","agree","agree"
"31","agree","strongly disagree","agree","agree","strongly agree","strongly agree","agree"
"32","agree","disagree","agree","disagree","agree","agree","disagree"
"33","strongly agree","strongly disagree","disagree","agree","strongly agree","strongly agree","strongly agree"
"34","agree","strongly agree","agree","agree","agree","strongly agree","strongly agree"
"35","agree","strongly agree","disagree","agree","strongly agree","strongly agree","strongly agree"
"36","strongly agree","strongly disagree","disagree","agree","agree","agree","agree"
"37","agree","agree","agree","agree","agree","agree","agree"
"38","agree","disagree","agree","agree","disagree","agree","agree"
"39","strongly agree","agree","strongly agree","agree","agree","agree","agree"
"40","disagree","disagree","agree","disagree","agree","disagree","disagree"
"41","agree","agree","agree","agree","agree","agree","agree"
"42","disagree","strongly agree","disagree","strongly agree","agree","disagree","agree"
"43","strongly agree","strongly agree","disagree","disagree","disagree","agree","strongly disagree"
"44","agree","disagree","agree","disagree","disagree","agree","agree"
"45","agree","strongly agree","agree","disagree","agree","agree","disagree"
"46","strongly agree","strongly agree","agree","strongly agree","strongly agree","strongly agree","disagree"
"47","agree","disagree","strongly agree","agree","agree","agree","agree"
"48","disagree","agree","disagree","strongly disagree","agree","strongly agree","strongly disagree"
"49","disagree","agree","agree","strongly agree","disagree","strongly agree","agree"
"50","agree","disagree","agree","agree","disagree","disagree","agree"
"51","agree","agree","agree","strongly agree","agree","agree","agree"
"52","agree","strongly agree","agree","agree","strongly agree","strongly agree","agree"
"53","agree","agree","agree","strongly agree","agree","agree","agree"
"54","agree","strongly agree","agree","strongly agree","strongly agree","strongly agree","strongly agree"
"55","agree","strongly agree","agree","strongly agree","strongly agree","strongly agree","strongly agree"
"56","agree","disagree","agree","agree","agree","agree","agree"
"57","agree","agree","disagree","agree","agree","agree","disagree"
"58","disagree","agree","strongly agree","disagree","agree","strongly disagree","strongly disagree"
"59","strongly agree","disagree","agree","agree","disagree","disagree","strongly agree"
"60","agree","strongly agree","strongly agree","disagree","strongly agree","strongly agree","agree"
"61","agree","strongly agree","agree","strongly agree","strongly agree","strongly agree","disagree"
"62","strongly agree","strongly agree","strongly disagree","disagree","strongly agree","strongly agree","strongly agree"
"63","strongly agree","strongly agree","agree","agree","agree","agree","agree"
"64","agree","strongly agree","strongly disagree","strongly disagree","strongly agree","strongly agree","agree"
