"","L-CV","L-skewness","L-kurtosis"
"350304",0.1209,0.0488,0.1433
"351433",0.0915,0.0105,0.1569
"351862",0.1124,0.0614,0.1541
"351897",0.1032,0.0417,0.1429
"352997",0.0967,-0.0134,0.1568
"353445",0.1328,-0.0176,0.1206
"353770",0.1008,0.0943,0.1967
"356907",0.1143,0.0555,0.121
"357169",0.1107,0.0478,0.1371
"357331",0.1179,0.0492,0.09
"357354",0.1308,0.094,0.1273
"358466",0.1119,-0.0429,0.0927
"450945",0.1018,0.0435,0.1446
"451233",0.1025,0.0182,0.1047
"453284",0.1054,-0.0224,0.1664
"454764",0.1174,0.0124,0.1317
"454769",0.1115,-0.0346,0.1032
"457773",0.1003,0.0446,0.145
"458773",0.1046,0.0128,0.1583
