"","V1","V2","V3","V4","V5","MPROB"
"1",111,145,188,190,260,0
"2",113,147,187,190,259,0
"3",113,150,195,192,259,0
"4",110,147,211,195,262,0
"5",101,136,240,200,266,0
"6",93,125,262,203,271,0
"7",92,110,46,165,235,0
"8",94,95,29,113,190,0
"9",94,94,29,110,188,0
"10",100,104,21,133,208,0
"11",108,115,17,144,215,0
"12",134,156,10,163,233,0
"13",149,181,68,180,247,0
"14",108,154,305,222,285,0
"15",81,137,426,251,306,0
"16",86,138,381,246,300,0
"17",89,137,378,246,301,0
"18",88,133,366,244,298,0
"19",88,131,370,243,298,0
"20",89,133,380,246,302,0
"21",92,137,362,244,300,0
"22",94,139,355,240,299,0
"23",115,156,231,215,276,0
"24",128,167,181,201,265,0
"25",113,156,242,212,273,0
"26",112,155,236,209,271,0
"27",121,162,224,205,268,0
"28",126,166,248,212,273,0
"29",136,174,259,217,278,0
"30",146,177,203,212,272,0
"31",136,155,322,246,301,0
"32",103,97,552,320,364,0
"33",80,66,576,340,377,0
"34",79,66,572,340,376,0
"35",79,66,577,341,379,0
"36",78,66,574,342,377,0
"37",78,66,571,343,379,0
"38",78,66,572,344,380,0
"39",111,145,188,NA,260,10
"40",113,147,187,190,259,10
"41",113,NA,195,192,259,10
"42",110,147,211,195,262,10
"43",101,136,240,200,266,10
"44",93,125,262,203,271,10
"45",92,110,46,165,NA,10
"46",94,95,29,113,190,10
"47",94,94,29,110,188,10
"48",100,104,21,133,208,10
"49",108,115,NA,144,215,10
"50",134,156,10,163,233,10
"51",149,181,68,180,247,10
"52",108,154,305,222,285,10
"53",NA,137,426,251,306,10
"54",86,138,381,246,300,10
"55",89,137,378,246,301,10
"56",88,133,366,244,298,10
"57",88,131,NA,243,298,10
"58",89,133,380,NA,302,10
"59",92,NA,362,244,300,10
"60",94,139,355,240,299,10
"61",115,156,231,215,276,10
"62",128,167,181,201,NA,10
"63",113,156,242,212,273,10
"64",112,155,236,209,271,10
"65",NA,162,224,205,268,10
"66",126,166,248,212,273,10
"67",136,NA,259,217,278,10
"68",146,177,203,212,272,10
"69",136,155,322,246,301,10
"70",103,97,552,NA,364,10
"71",80,66,NA,340,377,10
"72",79,66,572,340,376,10
"73",NA,66,577,341,NA,10
"74",78,66,574,342,377,10
"75",NA,66,571,343,379,10
"76",78,66,572,344,380,10
"77",111,145,188,190,260,20
"78",113,147,NA,190,NA,20
"79",NA,150,195,192,259,20
"80",NA,147,211,195,262,20
"81",NA,136,240,200,266,20
"82",93,125,262,203,NA,20
"83",92,110,NA,165,235,20
"84",94,NA,29,113,190,20
"85",94,94,NA,110,188,20
"86",100,104,21,133,208,20
"87",108,NA,17,NA,215,20
"88",NA,NA,10,163,233,20
"89",149,181,68,180,247,20
"90",108,NA,305,222,285,20
"91",81,137,NA,NA,306,20
"92",86,138,381,246,300,20
"93",89,137,378,246,301,20
"94",NA,133,366,244,298,20
"95",88,131,370,243,NA,20
"96",89,133,380,246,302,20
"97",NA,137,362,244,300,20
"98",94,139,355,240,299,20
"99",115,156,231,215,276,20
"100",128,167,181,201,265,20
