"","SI","AL","FE","MG","CA","TI","origin"
"1",55.8,14,10.2,4.9,5,0.88,"Attic"
"2",51.2,12.5,10.1,4.4,4.8,0.86,"Attic"
"3",57.1,14,8.3,6.4,11.2,0.75,"Attic"
"4",53.8,13.1,9.3,4.9,6.6,0.81,"Attic"
"5",59.4,14.8,9.8,5.5,5.4,0.89,"Attic"
"6",56.2,14,9.9,4.9,5.4,0.89,"Attic"
"7",54.3,13.7,10.3,6.3,5.1,0.89,"Attic"
"8",52.9,13.4,9.9,7.5,8.5,0.89,"Attic"
"9",58.5,17,9.3,2.9,5.2,0.9,"Attic"
"10",56.7,14.7,9.8,4.6,4.6,0.87,"Attic"
"11",57.9,14.7,10.4,5.3,4.4,0.88,"Attic"
"12",69.9,13.1,9.8,4.4,4.4,0.89,"Attic"
"13",55,13.1,10,4.4,3.9,0.89,"Attic"
"14",50.9,15.7,9.5,2.5,5.8,0.86,"Eritrean"
"15",50.8,15.5,9.5,2.3,4.9,0.85,"Eritrean"
"16",51.5,17.2,9.3,5.5,8.7,0.78,"Eritrean"
"17",53.2,14.3,7.4,2.4,7,0.76,"Eritrean"
"18",58.8,17.7,8.1,2.5,5.7,0.86,"Eritrean"
"19",53.9,16.5,9.5,2.5,4.7,0.85,"Eritrean"
"20",63.1,17.6,9.3,2.7,4.2,0.87,"Eritrean"
"21",54.5,17.3,9.8,2.6,4.9,0.85,"Eritrean"
"22",48.1,15.8,9.8,2,5.6,0.83,"Eritrean"
"23",52.7,16.3,8.4,5.1,7.7,0.76,"Eritrean"
"24",54.1,13.6,8.1,4.4,12.8,0.71,"Eritrean"
"25",51,13,8.5,4.2,9.4,0.71,"Eritrean"
"26",57.2,17.3,9.3,2.7,5.6,0.83,"Eritrean"
"27",52.4,16.4,8.8,3.3,7.7,0.77,"Eritrean"
