"","Favor","Appearance","Taste","Stickiness","Toughness","Overall_evaluation"
"1",0.523,0.913,1.571,1.6,0,1.784
"2",0.699,1.543,1.76,1.944,-0.875,1.706
"3",-0.72,-2.022,-1.733,-1.864,1.2,-2.217
"4",-0.309,-0.377,-0.766,-0.96,0.326,-0.875
"5",0.192,0.885,-0.166,-0.106,0.234,0.218
"6",-0.163,-0.094,-0.315,0.083,0.034,-0.655
"7",-0.274,0.044,-0.194,-0.401,1.57,-0.545
"8",0.291,0.984,0.935,0.68,-0.652,1.033
"9",-2.687,-2.853,-3.067,-1.75,2.392,-3.101
"10",-0.704,-0.424,-0.518,-0.779,0.052,-0.652
"11",1.094,1.987,1.613,1.514,-1.156,1.552
"12",-0.247,0.334,0.122,-0.705,0.694,-0.416
"13",-0.673,0.032,-0.838,-0.837,0.354,-0.784
"14",-1.103,-1.046,-1.678,-1.335,-0.46,-1.71
"15",-0.033,0.162,-0.541,-0.159,0.616,-0.529
"16",-0.351,0.119,-0.786,-0.435,0.129,-0.635
"17",0.594,0.266,0.885,1,-0.548,1.105
"18",-0.156,0.173,0.272,0.092,0.163,0.145
"19",-0.256,-0.593,-1.012,-1.403,1.165,-1.901
"20",-0.183,-0.496,-0.77,-1.538,1.78,-1.188
"21",-0.871,-1.27,-1.655,-1.307,1.281,-2.037
"22",-0.06,-0.11,-0.95,-0.719,1.159,-0.788
"23",-1.135,0.163,-0.47,0.285,-0.023,-0.911
"24",-0.609,-0.215,-0.681,-0.534,0.963,-0.612
"25",0.393,0.388,-0.232,0.154,-0.42,-0.127
"26",-2.163,-0.911,-1.61,-1.328,0.145,-1.952
"27",0.831,0.6,0.953,0.953,-0.163,1.141
"28",0.081,1.712,0.946,0.678,-0.257,1.723
"29",0.836,0.799,0.782,1.529,-0.769,1.038
"30",0.214,0.544,0.679,0.314,-0.347,0.51
"31",-0.827,-0.759,-1.012,-0.517,0.197,-0.788
"32",0.221,0.708,0.737,0.923,-0.495,0.899
"33",-0.558,-0.343,-0.331,0.266,-0.756,-0.157
"34",-0.684,-0.33,-0.185,0.349,-0.545,-0.155
"35",-1.816,-0.952,-1.409,-1.882,0.639,-1.783
"36",0.013,1.01,0.927,1.135,-0.387,0.937
"37",0.344,0.856,0.372,0.327,0.227,0.36
"38",-0.323,-0.772,-0.895,-1.002,0.517,-1.286
"39",-0.82,0.608,-0.288,-0.311,0.386,-0.837
"40",0.24,-0.906,-0.715,-1.467,1.626,-1.646
"41",-0.571,-0.151,-0.635,-0.093,0.956,-0.73
"42",0.789,0.821,-0.769,0.428,-1.815,-0.508
"43",-0.353,0.115,-0.394,0.722,-0.089,-0.731
"44",-0.467,-0.622,-0.661,-0.302,0.698,-0.986
"45",-0.491,0.021,-0.221,-0.563,0.385,-0.672
"46",0.848,0.837,1.54,1.112,-0.475,1.113
"47",0.099,0.12,0.387,1.252,-0.638,0.655
"48",-0.738,0.989,0.415,0.574,-0.647,0.093
"49",-0.82,-0.702,1.203,1.579,-1.212,0.483
"50",-0.629,-1.049,-1.271,-1.116,1.637,-1.407
"51",-0.593,-0.898,-0.883,-0.647,0.323,-1.235
"52",0.14,0.181,0.06,0.136,-0.234,0.146
"53",-1.022,-0.827,-1.294,-0.583,0.437,-1.357
"54",-0.649,-0.288,-0.257,0.327,-0.412,-0.653
"55",-0.413,0.026,-0.108,0.393,-0.291,0.019
"56",-0.358,0.106,-1.275,-1.059,0.505,-1.168
"57",-1.825,-2.018,-1.867,-1.517,0.114,-2.136
"58",-0.002,-1.144,0.545,0.674,-0.111,0.641
"59",0.158,0.163,0.03,0.359,-0.128,0.135
"60",0.516,0.73,1.218,1.662,-0.366,1.44
"61",-0.235,-0.566,-0.289,-0.763,0.048,-0.749
"62",-1.085,-0.614,-1.24,-1.12,0.958,-0.65
"63",-1.283,0.09,-0.651,-0.19,-0.131,-1.067
"64",0.25,0.232,0.378,1.983,-1.231,0.519
"65",0.288,0.205,0.147,0.399,0.365,0.352
"66",0.567,1.502,0.824,0.53,-0.387,0.842
"67",0.011,0.26,0.102,0.487,-0.402,0.067
"68",-0.912,-0.911,-1.448,-1.666,1.375,-1.524
"69",-0.588,0.792,1.023,0.995,-0.489,0.901
"70",-0.686,-0.682,-0.514,-0.088,-0.43,-0.466
"71",-2.871,0.59,-0.117,0.195,0.051,-1.084
"72",-1.208,-0.257,-0.426,-0.237,0.24,-0.628
