"","Gender","Freshwater","Marine","Origin"
"1",2,108,368,"Alaskan"
"2",1,131,355,"Alaskan"
"3",1,105,469,"Alaskan"
"4",2,86,506,"Alaskan"
"5",1,99,402,"Alaskan"
"6",2,87,423,"Alaskan"
"7",1,94,440,"Alaskan"
"8",2,117,489,"Alaskan"
"9",2,79,432,"Alaskan"
"10",1,99,403,"Alaskan"
"11",1,114,428,"Alaskan"
"12",2,123,372,"Alaskan"
"13",1,123,372,"Alaskan"
"14",2,109,420,"Alaskan"
"15",2,112,394,"Alaskan"
"16",1,104,407,"Alaskan"
"17",2,111,422,"Alaskan"
"18",2,126,423,"Alaskan"
"19",2,105,434,"Alaskan"
"20",1,119,474,"Alaskan"
"21",1,114,396,"Alaskan"
"22",2,100,470,"Alaskan"
"23",2,84,399,"Alaskan"
"24",2,102,429,"Alaskan"
"25",2,101,469,"Alaskan"
"26",2,85,444,"Alaskan"
"27",1,109,397,"Alaskan"
"28",2,106,442,"Alaskan"
"29",1,82,431,"Alaskan"
"30",2,118,381,"Alaskan"
"31",1,105,388,"Alaskan"
"32",1,121,403,"Alaskan"
"33",1,85,451,"Alaskan"
"34",1,83,453,"Alaskan"
"35",1,53,427,"Alaskan"
"36",1,95,411,"Alaskan"
"37",1,76,442,"Alaskan"
"38",1,95,426,"Alaskan"
"39",2,87,402,"Alaskan"
"40",1,70,397,"Alaskan"
"41",2,84,511,"Alaskan"
"42",2,91,469,"Alaskan"
"43",1,74,451,"Alaskan"
"44",2,101,474,"Alaskan"
"45",1,80,398,"Alaskan"
"46",1,95,433,"Alaskan"
"47",2,92,404,"Alaskan"
"48",1,99,481,"Alaskan"
"49",2,94,491,"Alaskan"
"50",1,87,480,"Alaskan"
"51",1,129,420,"Canadian"
"52",1,148,371,"Canadian"
"53",1,179,407,"Canadian"
"54",2,152,381,"Canadian"
"55",2,166,377,"Canadian"
"56",2,124,389,"Canadian"
"57",1,156,419,"Canadian"
"58",2,131,345,"Canadian"
"59",1,140,362,"Canadian"
"60",2,144,345,"Canadian"
"61",2,149,393,"Canadian"
"62",1,108,330,"Canadian"
"63",1,135,355,"Canadian"
"64",2,170,386,"Canadian"
"65",1,152,301,"Canadian"
"66",1,153,397,"Canadian"
"67",1,152,301,"Canadian"
"68",2,136,438,"Canadian"
"69",2,122,306,"Canadian"
"70",1,148,383,"Canadian"
"71",2,90,385,"Canadian"
"72",1,145,337,"Canadian"
"73",1,123,364,"Canadian"
"74",2,145,376,"Canadian"
"75",2,115,354,"Canadian"
"76",2,134,383,"Canadian"
"77",1,117,355,"Canadian"
"78",2,126,345,"Canadian"
"79",1,118,379,"Canadian"
"80",2,120,369,"Canadian"
"81",1,153,403,"Canadian"
"82",2,150,354,"Canadian"
"83",1,154,390,"Canadian"
"84",1,155,349,"Canadian"
"85",2,109,325,"Canadian"
"86",2,117,344,"Canadian"
"87",1,128,400,"Canadian"
"88",1,144,403,"Canadian"
"89",2,163,370,"Canadian"
"90",2,145,355,"Canadian"
"91",1,133,375,"Canadian"
"92",1,128,383,"Canadian"
"93",2,123,349,"Canadian"
"94",1,144,373,"Canadian"
"95",2,140,388,"Canadian"
"96",2,150,339,"Canadian"
"97",2,124,341,"Canadian"
"98",1,125,346,"Canadian"
"99",1,153,352,"Canadian"
"100",1,108,339,"Canadian"
